keyword,cpe_vendor,cpe,cve
Android 4.1,9folders,cpe:2.3:a:9folders:nine:4.1.0:*:*:*:*:android:*:*,CVE-2019-12366
Android 4.1,9folders,cpe:2.3:a:9folders:nine:4.1.1:*:*:*:*:android:*:*,CVE-2019-12366
Android 4.1,9folders,cpe:2.3:a:9folders:nine:4.1.1a:*:*:*:*:android:*:*,CVE-2019-12366
Android 4.1,9folders,cpe:2.3:a:9folders:nine:4.1.2:*:*:*:*:android:*:*,CVE-2019-12366
Android 4.1,9folders,cpe:2.3:a:9folders:nine:4.1.3b:*:*:*:*:android:*:*,CVE-2019-12366
Android 4.1,9folders,cpe:2.3:a:9folders:nine:4.1.4a:*:*:*:*:android:*:*,CVE-2019-12366
Android 4.1,9folders,cpe:2.3:a:9folders:nine:4.1.5a:*:*:*:*:android:*:*,CVE-2019-12366
Android 4.1,9folders,cpe:2.3:a:9folders:nine:4.1.6a:*:*:*:*:android:*:*,CVE-2019-12366
Android 4.1,9folders,cpe:2.3:a:9folders:nine:4.1.7:*:*:*:*:android:*:*,CVE-2019-12366
Android 4.1,9folders,cpe:2.3:a:9folders:nine:4.1.8:*:*:*:*:android:*:*,CVE-2019-12366
Android 4.1,9folders,cpe:2.3:a:9folders:nine:4.1.9a:*:*:*:*:android:*:*,CVE-2019-12366
Android 4.1,airdroid,cpe:2.3:a:airdroid:airdroid:4.1.0:*:*:*:*:*:android:*,CVE-2019-9599
Android 4.1,airdroid,cpe:2.3:a:airdroid:airdroid:4.1.0.4:*:*:*:*:*:android:*,CVE-2019-9599
Android 4.1,airdroid,cpe:2.3:a:airdroid:airdroid:4.1.1.1:*:*:*:*:*:android:*,CVE-2019-9599
Android 4.1,airdroid,cpe:2.3:a:airdroid:airdroid:4.1.2:*:*:*:*:*:android:*,CVE-2019-9599
Android 4.1,airdroid,cpe:2.3:a:airdroid:airdroid:4.1.3:*:*:*:*:*:android:*,CVE-2019-9599
Android 4.1,airdroid,cpe:2.3:a:airdroid:airdroid:4.1.4:*:*:*:*:*:android:*,CVE-2019-9599
Android 4.1,airdroid,cpe:2.3:a:airdroid:airdroid:4.1.4.1:*:*:*:*:*:android:*,CVE-2019-9599
Android 4.1,airdroid,cpe:2.3:a:airdroid:airdroid:4.1.5.0:*:*:*:*:*:android:*,CVE-2019-9599
Android 4.1,airdroid,cpe:2.3:a:airdroid:airdroid:4.1.5.1:*:*:*:*:*:android:*,CVE-2019-9599
