keyword,cpe_vendor,cpe,cve
android 7.1.1,1password,cpe:2.3:a:1password:1password:7.1.1:*:*:*:*:android:*:*,CVE-2022-32550
android 7.1.1,tasks,cpe:2.3:a:tasks:tasks:7.1.1:*:*:*:*:android:*:*,CVE-2022-39349
android 7.1.1,tasks,cpe:2.3:a:tasks:tasks:7.1.1:*:*:*:*:android:*:*,CVE-2020-22475
android 7.1.1,telegram,cpe:2.3:a:telegram:telegram:7.1.1:*:*:*:*:android:*:*,CVE-2021-36769
android 7.1.1,telegram,cpe:2.3:a:telegram:telegram:7.1.1:*:*:*:*:android:*:*,CVE-2021-27351
android 7.1.1,telegram,cpe:2.3:a:telegram:telegram:7.1.1:*:*:*:*:android:*:*,CVE-2021-27205
android 7.1.1,telegram,cpe:2.3:a:telegram:telegram:7.1.1:*:*:*:*:android:*:*,CVE-2021-27204
android 7.1.1,telegram,cpe:2.3:a:telegram:telegram:7.1.1:*:*:*:*:android:*:*,CVE-2019-10044
android 7.1.1,google,cpe:2.3:o:google:android:7.1.1:*:*:*:*:*:*:*,CVE-2023-52160
android 7.1.1,google,cpe:2.3:o:google:android:7.1.1:*:*:*:*:*:*:*,CVE-2023-45780
android 7.1.1,google,cpe:2.3:o:google:android:7.1.1:*:*:*:*:*:*:*,CVE-2023-40101
android 7.1.1,google,cpe:2.3:o:google:android:7.1.1:*:*:*:*:*:*:*,CVE-2023-21398
android 7.1.1,google,cpe:2.3:o:google:android:7.1.1:*:*:*:*:*:*:*,CVE-2023-21397
android 7.1.1,google,cpe:2.3:o:google:android:7.1.1:*:*:*:*:*:*:*,CVE-2023-21396
android 7.1.1,google,cpe:2.3:o:google:android:7.1.1:*:*:*:*:*:*:*,CVE-2023-21395
android 7.1.1,google,cpe:2.3:o:google:android:7.1.1:*:*:*:*:*:*:*,CVE-2023-21394
android 7.1.1,google,cpe:2.3:o:google:android:7.1.1:*:*:*:*:*:*:*,CVE-2023-21393
android 7.1.1,google,cpe:2.3:o:google:android:7.1.1:*:*:*:*:*:*:*,CVE-2023-21392
android 7.1.1,google,cpe:2.3:o:google:android:7.1.1:*:*:*:*:*:*:*,CVE-2023-21391
android 7.1.1,google,cpe:2.3:o:google:android:7.1.1:*:*:*:*:*:*:*,CVE-2023-21390
android 7.1.1,google,cpe:2.3:o:google:android:7.1.1:*:*:*:*:*:*:*,CVE-2023-21389
