keyword,cpe_vendor,cpe,cve
5 nm,nmap,cpe:2.3:a:nmap:nmap:2.3:beta5:*:*:*:*:*:*,CVE-2018-15173
5 nm,nmap,cpe:2.3:a:nmap:nmap:2.3:beta5:*:*:*:*:*:*,CVE-2013-4885
5 nm,nmap,cpe:2.3:a:nmap:nmap:2.54:beta5:*:*:*:*:*:*,CVE-2018-15173
5 nm,nmap,cpe:2.3:a:nmap:nmap:2.54:beta5:*:*:*:*:*:*,CVE-2013-4885
5 nm,nmap,cpe:2.3:a:nmap:nmap:3.10:alpha5:*:*:*:*:*:*,CVE-2018-15173
5 nm,nmap,cpe:2.3:a:nmap:nmap:3.10:alpha5:*:*:*:*:*:*,CVE-2013-4885
5 nm,nmap,cpe:2.3:a:nmap:nmap:4.20:alpha5:*:*:*:*:*:*,CVE-2018-15173
5 nm,nmap,cpe:2.3:a:nmap:nmap:4.20:alpha5:*:*:*:*:*:*,CVE-2013-4885
5 nm,nmap,cpe:2.3:a:nmap:nmap:4.22:soc5:*:*:*:*:*:*,CVE-2018-15173
5 nm,nmap,cpe:2.3:a:nmap:nmap:4.22:soc5:*:*:*:*:*:*,CVE-2013-4885
5 nm,nmap,cpe:2.3:a:nmap:nmap:4.49:rc5:*:*:*:*:*:*,CVE-2018-15173
5 nm,nmap,cpe:2.3:a:nmap:nmap:4.49:rc5:*:*:*:*:*:*,CVE-2013-4885
5 nm,nmap,cpe:2.3:a:nmap:nmap:4.85:beta5:*:*:*:*:*:*,CVE-2018-15173
5 nm,nmap,cpe:2.3:a:nmap:nmap:4.85:beta5:*:*:*:*:*:*,CVE-2013-4885
5 nm,nmap,cpe:2.3:a:nmap:nmap:5.00:*:*:*:*:*:*:*,CVE-2018-15173
5 nm,nmap,cpe:2.3:a:nmap:nmap:5.00:*:*:*:*:*:*:*,CVE-2013-4885
5 nm,nmap,cpe:2.3:a:nmap:nmap:5.10:beta1:*:*:*:*:*:*,CVE-2018-15173
5 nm,nmap,cpe:2.3:a:nmap:nmap:5.10:beta1:*:*:*:*:*:*,CVE-2013-4885
5 nm,nmap,cpe:2.3:a:nmap:nmap:5.10:beta2:*:*:*:*:*:*,CVE-2018-15173
5 nm,nmap,cpe:2.3:a:nmap:nmap:5.10:beta2:*:*:*:*:*:*,CVE-2013-4885
5 nm,nmap,cpe:2.3:a:nmap:nmap:5.20:*:*:*:*:*:*:*,CVE-2018-15173
5 nm,nmap,cpe:2.3:a:nmap:nmap:5.20:*:*:*:*:*:*:*,CVE-2013-4885
5 nm,nmap,cpe:2.3:a:nmap:nmap:5.21:*:*:*:*:*:*:*,CVE-2018-15173
5 nm,nmap,cpe:2.3:a:nmap:nmap:5.21:*:*:*:*:*:*:*,CVE-2013-4885
5 nm,nmap,cpe:2.3:a:nmap:nmap:5.30:beta1:*:*:*:*:*:*,CVE-2018-15173
5 nm,nmap,cpe:2.3:a:nmap:nmap:5.30:beta1:*:*:*:*:*:*,CVE-2013-4885
5 nm,nmap,cpe:2.3:a:nmap:nmap:5.35:dc1:*:*:*:*:*:*,CVE-2018-15173
5 nm,nmap,cpe:2.3:a:nmap:nmap:5.35:dc1:*:*:*:*:*:*,CVE-2013-4885
5 nm,nmap,cpe:2.3:a:nmap:nmap:5.50:*:*:*:*:*:*:*,CVE-2018-15173
5 nm,nmap,cpe:2.3:a:nmap:nmap:5.50:*:*:*:*:*:*:*,CVE-2013-4885
5 nm,nmap,cpe:2.3:a:nmap:nmap:5.51:*:*:*:*:*:*:*,CVE-2018-15173
5 nm,nmap,cpe:2.3:a:nmap:nmap:5.51:*:*:*:*:*:*:*,CVE-2013-4885
5 nm,nmap,cpe:2.3:a:nmap:nmap:5.59:beta1:*:*:*:*:*:*,CVE-2018-15173
5 nm,nmap,cpe:2.3:a:nmap:nmap:5.59:beta1:*:*:*:*:*:*,CVE-2013-4885
5 nm,nmap,cpe:2.3:a:nmap:nmap:5.61:test1:*:*:*:*:*:*,CVE-2018-15173
5 nm,nmap,cpe:2.3:a:nmap:nmap:5.61:test1:*:*:*:*:*:*,CVE-2013-4885
5 nm,nmap,cpe:2.3:a:nmap:nmap:5.61:test2:*:*:*:*:*:*,CVE-2018-15173
5 nm,nmap,cpe:2.3:a:nmap:nmap:5.61:test2:*:*:*:*:*:*,CVE-2013-4885
5 nm,nmap,cpe:2.3:a:nmap:nmap:5.61:test4:*:*:*:*:*:*,CVE-2018-15173
5 nm,nmap,cpe:2.3:a:nmap:nmap:5.61:test4:*:*:*:*:*:*,CVE-2013-4885
5 nm,nmap,cpe:2.3:a:nmap:nmap:5.61:test5:*:*:*:*:*:*,CVE-2018-15173
5 nm,nmap,cpe:2.3:a:nmap:nmap:5.61:test5:*:*:*:*:*:*,CVE-2013-4885
5 nm,nmap,cpe:2.3:a:nmap:nmap:6.49:beta5:*:*:*:*:*:*,CVE-2018-15173
