keyword,cpe_vendor,cpe,cve
Exynos 8890,samsung,cpe:2.3:h:samsung:exynos_8890:-:*:*:*:*:*:*:*,CVE-2018-21076
Exynos 8890,samsung,cpe:2.3:h:samsung:exynos_8890:-:*:*:*:*:*:*:*,CVE-2018-21058
Exynos 8890,samsung,cpe:2.3:h:samsung:exynos_8890:-:*:*:*:*:*:*:*,CVE-2017-18691
Exynos 8890,samsung,cpe:2.3:h:samsung:exynos_8890:-:*:*:*:*:*:*:*,CVE-2017-18690
Exynos 8890,samsung,cpe:2.3:h:samsung:exynos_8890:-:*:*:*:*:*:*:*,CVE-2017-18696
Exynos 8890,samsung,cpe:2.3:h:samsung:exynos_8890:-:*:*:*:*:*:*:*,CVE-2017-18692
Exynos 8890,samsung,cpe:2.3:h:samsung:exynos_8890:-:*:*:*:*:*:*:*,CVE-2019-20610
Exynos 8890,samsung,cpe:2.3:h:samsung:exynos_8890:-:*:*:*:*:*:*:*,CVE-2019-20607
Exynos 8890,samsung,cpe:2.3:h:samsung:exynos_8890:-:*:*:*:*:*:*:*,CVE-2019-20601
Exynos 8890,samsung,cpe:2.3:h:samsung:exynos_8890:-:*:*:*:*:*:*:*,CVE-2019-20600
