keyword,cpe_vendor,cpe,cve
Qualcomm SM8150,qualcomm,cpe:2.3:h:qualcomm:sm8150:-:*:*:*:*:*:*:*,CVE-2023-33080
Qualcomm SM8150,qualcomm,cpe:2.3:h:qualcomm:sm8150:-:*:*:*:*:*:*:*,CVE-2023-33070
Qualcomm SM8150,qualcomm,cpe:2.3:h:qualcomm:sm8150:-:*:*:*:*:*:*:*,CVE-2023-33063
Qualcomm SM8150,qualcomm,cpe:2.3:h:qualcomm:sm8150:-:*:*:*:*:*:*:*,CVE-2023-33054
Qualcomm SM8150,qualcomm,cpe:2.3:h:qualcomm:sm8150:-:*:*:*:*:*:*:*,CVE-2023-33024
Qualcomm SM8150,qualcomm,cpe:2.3:h:qualcomm:sm8150:-:*:*:*:*:*:*:*,CVE-2023-33022
Qualcomm SM8150,qualcomm,cpe:2.3:h:qualcomm:sm8150:-:*:*:*:*:*:*:*,CVE-2023-33018
Qualcomm SM8150,qualcomm,cpe:2.3:h:qualcomm:sm8150:-:*:*:*:*:*:*:*,CVE-2023-33017
Qualcomm SM8150,qualcomm,cpe:2.3:h:qualcomm:sm8150:-:*:*:*:*:*:*:*,CVE-2023-33059
Qualcomm SM8150,qualcomm,cpe:2.3:h:qualcomm:sm8150:-:*:*:*:*:*:*:*,CVE-2023-33055
Qualcomm SM8150,qualcomm,cpe:2.3:h:qualcomm:sm8150:-:*:*:*:*:*:*:*,CVE-2023-33031
Qualcomm SM8150,qualcomm,cpe:2.3:h:qualcomm:sm8150:-:*:*:*:*:*:*:*,CVE-2023-33027
Qualcomm SM8150,qualcomm,cpe:2.3:h:qualcomm:sm8150:-:*:*:*:*:*:*:*,CVE-2023-28540
Qualcomm SM8150,qualcomm,cpe:2.3:h:qualcomm:sm8150:-:*:*:*:*:*:*:*,CVE-2023-28560
Qualcomm SM8150,qualcomm,cpe:2.3:h:qualcomm:sm8150:-:*:*:*:*:*:*:*,CVE-2022-33275
Qualcomm SM8150,qualcomm,cpe:2.3:h:qualcomm:sm8150:-:*:*:*:*:*:*:*,CVE-2023-21670
Qualcomm SM8150,qualcomm,cpe:2.3:h:qualcomm:sm8150:-:*:*:*:*:*:*:*,CVE-2023-21669
