keyword,cpe_vendor,cpe,cve
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730:-:*:*:*:*:*:*:*,CVE-2023-33021
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730:-:*:*:*:*:*:*:*,CVE-2023-28567
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730:-:*:*:*:*:*:*:*,CVE-2023-28565
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730:-:*:*:*:*:*:*:*,CVE-2023-28564
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730:-:*:*:*:*:*:*:*,CVE-2023-28562
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730:-:*:*:*:*:*:*:*,CVE-2023-28542
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730:-:*:*:*:*:*:*:*,CVE-2023-22667
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730:-:*:*:*:*:*:*:*,CVE-2023-22387
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730:-:*:*:*:*:*:*:*,CVE-2023-21633
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730:-:*:*:*:*:*:*:*,CVE-2023-21629
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43536
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43533
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43522
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43519
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43518
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43513
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43511
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33120
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33114
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33110
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33109
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33062
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33040
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33038
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33033
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33032
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33030
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33107
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33092
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33088
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28588
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28586
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28585
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28551
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28550
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28546
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28569
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28568
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28566
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28563
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28556
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-24852
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-22388
Snapdragon 730,qualcomm,cpe:2.3:h:qualcomm:snapdragon_730_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28557
