keyword,cpe_vendor,cpe,cve
mediatek mt6769,mediatek,cpe:2.3:h:mediatek:mt6769:-:*:*:*:*:*:*:*,CVE-2024-20015
mediatek mt6769,mediatek,cpe:2.3:h:mediatek:mt6769:-:*:*:*:*:*:*:*,CVE-2024-20013
mediatek mt6769,mediatek,cpe:2.3:h:mediatek:mt6769:-:*:*:*:*:*:*:*,CVE-2024-20012
mediatek mt6769,mediatek,cpe:2.3:h:mediatek:mt6769:-:*:*:*:*:*:*:*,CVE-2024-20010
mediatek mt6769,mediatek,cpe:2.3:h:mediatek:mt6769:-:*:*:*:*:*:*:*,CVE-2023-32889
mediatek mt6769,mediatek,cpe:2.3:h:mediatek:mt6769:-:*:*:*:*:*:*:*,CVE-2023-32883
mediatek mt6769,mediatek,cpe:2.3:h:mediatek:mt6769:-:*:*:*:*:*:*:*,CVE-2023-32876
mediatek mt6769,mediatek,cpe:2.3:h:mediatek:mt6769:-:*:*:*:*:*:*:*,CVE-2023-32875
mediatek mt6769,mediatek,cpe:2.3:h:mediatek:mt6769:-:*:*:*:*:*:*:*,CVE-2023-32872
mediatek mt6769,mediatek,cpe:2.3:h:mediatek:mt6769:-:*:*:*:*:*:*:*,CVE-2023-32855
mediatek mt6769,mediatek,cpe:2.3:h:mediatek:mt6769:-:*:*:*:*:*:*:*,CVE-2023-32840
mediatek mt6769,mediatek,cpe:2.3:h:mediatek:mt6769:-:*:*:*:*:*:*:*,CVE-2023-32835
mediatek mt6769,mediatek,cpe:2.3:h:mediatek:mt6769:-:*:*:*:*:*:*:*,CVE-2023-32824
mediatek mt6769,mediatek,cpe:2.3:h:mediatek:mt6769:-:*:*:*:*:*:*:*,CVE-2023-32823
mediatek mt6769,mediatek,cpe:2.3:h:mediatek:mt6769:-:*:*:*:*:*:*:*,CVE-2023-32822
mediatek mt6769,mediatek,cpe:2.3:h:mediatek:mt6769:-:*:*:*:*:*:*:*,CVE-2023-20819
mediatek mt6769,mediatek,cpe:2.3:h:mediatek:mt6769:-:*:*:*:*:*:*:*,CVE-2023-20833
mediatek mt6769,mediatek,cpe:2.3:h:mediatek:mt6769:-:*:*:*:*:*:*:*,CVE-2023-20832
