keyword,cpe_vendor,cpe,cve
mediatek mt6769z,mediatek,cpe:2.3:h:mediatek:mt6769z:-:*:*:*:*:*:*:*,CVE-2023-32840
mediatek mt6769z,mediatek,cpe:2.3:h:mediatek:mt6769z:-:*:*:*:*:*:*:*,CVE-2023-20819
mediatek mt6769z,mediatek,cpe:2.3:h:mediatek:mt6769z:-:*:*:*:*:*:*:*,CVE-2022-26446
mediatek mt6769z,mediatek,cpe:2.3:h:mediatek:mt6769z:-:*:*:*:*:*:*:*,CVE-2022-21744
mediatek mt6769z,mediatek,cpe:2.3:h:mediatek:mt6769z:-:*:*:*:*:*:*:*,CVE-2022-20083
mediatek mt6769z,mediatek,cpe:2.3:h:mediatek:mt6769z:-:*:*:*:*:*:*:*,CVE-2021-40148
mediatek mt6769z,mediatek,cpe:2.3:h:mediatek:mt6769z:-:*:*:*:*:*:*:*,CVE-2021-32487
mediatek mt6769z,mediatek,cpe:2.3:h:mediatek:mt6769z:-:*:*:*:*:*:*:*,CVE-2021-32486
mediatek mt6769z,mediatek,cpe:2.3:h:mediatek:mt6769z:-:*:*:*:*:*:*:*,CVE-2021-32485
mediatek mt6769z,mediatek,cpe:2.3:h:mediatek:mt6769z:-:*:*:*:*:*:*:*,CVE-2021-32484
