keyword,cpe_vendor,cpe,cve
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2023-33080
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2023-33079
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2023-33063
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2023-33054
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2023-33044
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2023-33043
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2023-33042
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2023-33022
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2023-33018
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2023-33017
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2023-33059
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2023-33055
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2023-33031
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2023-33035
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2023-33034
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2023-33029
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2023-33027
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2023-28540
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2023-28560
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2022-33275
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2023-28555
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2023-21659
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2023-21657
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2023-21656
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2023-21628
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2022-40536
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2022-40529
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2022-40523
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2022-40521
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2022-40507
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2022-33264
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2022-33251
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2022-33230
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2022-22076
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2022-22060
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2022-40504
Qualcomm SM6375,qualcomm,cpe:2.3:h:qualcomm:sm6375:-:*:*:*:*:*:*:*,CVE-2023-21665
