keyword,cpe_vendor,cpe,cve
qualcomm apq8084,qualcomm,cpe:2.3:h:qualcomm:apq8084:-:*:*:*:*:*:*:*,CVE-2023-33033
qualcomm apq8084,qualcomm,cpe:2.3:h:qualcomm:apq8084:-:*:*:*:*:*:*:*,CVE-2023-28560
qualcomm apq8084,qualcomm,cpe:2.3:h:qualcomm:apq8084:-:*:*:*:*:*:*:*,CVE-2022-25655
qualcomm apq8084,qualcomm,cpe:2.3:h:qualcomm:apq8084:-:*:*:*:*:*:*:*,CVE-2022-25719
qualcomm apq8084,qualcomm,cpe:2.3:h:qualcomm:apq8084:-:*:*:*:*:*:*:*,CVE-2021-1924
qualcomm apq8084,qualcomm,cpe:2.3:h:qualcomm:apq8084:-:*:*:*:*:*:*:*,CVE-2021-30261
qualcomm apq8084,qualcomm,cpe:2.3:h:qualcomm:apq8084:-:*:*:*:*:*:*:*,CVE-2021-1909
qualcomm apq8084,qualcomm,cpe:2.3:h:qualcomm:apq8084:-:*:*:*:*:*:*:*,CVE-2021-1920
qualcomm apq8084,qualcomm,cpe:2.3:h:qualcomm:apq8084:-:*:*:*:*:*:*:*,CVE-2021-1919
qualcomm apq8084,qualcomm,cpe:2.3:h:qualcomm:apq8084:-:*:*:*:*:*:*:*,CVE-2021-1916
qualcomm apq8084,qualcomm,cpe:2.3:h:qualcomm:apq8084:-:*:*:*:*:*:*:*,CVE-2020-11292
qualcomm apq8084,qualcomm,cpe:2.3:h:qualcomm:apq8084:-:*:*:*:*:*:*:*,CVE-2020-11235
qualcomm apq8084,qualcomm,cpe:2.3:h:qualcomm:apq8084:-:*:*:*:*:*:*:*,CVE-2020-11159
qualcomm apq8084,qualcomm,cpe:2.3:h:qualcomm:apq8084:-:*:*:*:*:*:*:*,CVE-2020-11285
qualcomm apq8084,qualcomm,cpe:2.3:h:qualcomm:apq8084:-:*:*:*:*:*:*:*,CVE-2020-11279
qualcomm apq8084,qualcomm,cpe:2.3:h:qualcomm:apq8084:-:*:*:*:*:*:*:*,CVE-2020-11268
qualcomm apq8084,qualcomm,cpe:2.3:h:qualcomm:apq8084:-:*:*:*:*:*:*:*,CVE-2020-11191
qualcomm apq8084,qualcomm,cpe:2.3:h:qualcomm:apq8084:-:*:*:*:*:*:*:*,CVE-2020-11227
qualcomm apq8084,qualcomm,cpe:2.3:h:qualcomm:apq8084:-:*:*:*:*:*:*:*,CVE-2020-11226
qualcomm apq8084,qualcomm,cpe:2.3:h:qualcomm:apq8084:-:*:*:*:*:*:*:*,CVE-2020-11221
qualcomm apq8084,qualcomm,cpe:2.3:h:qualcomm:apq8084:-:*:*:*:*:*:*:*,CVE-2020-11199
qualcomm apq8084,qualcomm,cpe:2.3:h:qualcomm:apq8084:-:*:*:*:*:*:*:*,CVE-2020-11190
qualcomm apq8084,qualcomm,cpe:2.3:h:qualcomm:apq8084:-:*:*:*:*:*:*:*,CVE-2020-11189
qualcomm apq8084,qualcomm,cpe:2.3:h:qualcomm:apq8084:-:*:*:*:*:*:*:*,CVE-2020-11188
qualcomm apq8084,qualcomm,cpe:2.3:h:qualcomm:apq8084:-:*:*:*:*:*:*:*,CVE-2020-11166
qualcomm apq8084,qualcomm,cpe:2.3:h:qualcomm:apq8084:-:*:*:*:*:*:*:*,CVE-2020-11296
qualcomm apq8084,qualcomm,cpe:2.3:h:qualcomm:apq8084:-:*:*:*:*:*:*:*,CVE-2020-11276
