keyword,cpe_vendor,cpe,cve
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-10530
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-10520
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-2332
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-2331
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-2325
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-2324
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-2323
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-2285
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-2283
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-2275
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-2258
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-2249
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-2246
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-10541
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-10534
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-10533
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-10529
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-10528
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-10524
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-10522
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-10515
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-10512
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-10505
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-10502
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-10496
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-10495
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-10491
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-10488
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-2341
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-2333
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-2294
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-2284
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-2252
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-10540
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-10539
Snapdragon 855,qualcomm,cpe:2.3:h:qualcomm:sd_855:-:*:*:*:*:*:*:*,CVE-2019-10538
