keyword,cpe_vendor,cpe,cve
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2023-33059
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2023-33031
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2023-21670
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2023-21669
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2023-21659
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2023-21658
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2023-21657
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2023-21656
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2022-40521
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2022-33267
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2022-33264
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2022-33227
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2022-22076
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2022-40504
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2023-21666
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2023-21665
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2022-40532
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2022-40503
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2022-33302
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2022-33296
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2022-33289
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2020-3639
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2020-11196
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2020-11193
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2020-11168
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2020-11123
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2020-3703
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2020-3673
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2020-3670
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2020-3657
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2020-3654
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2020-11174
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2020-11173
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2020-11162
qualcomm sdm429,qualcomm,cpe:2.3:h:qualcomm:sdm429:-:*:*:*:*:*:*:*,CVE-2020-11157
