keyword,cpe_vendor,cpe,cve
Snapdragon 4+ Gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_4_gen_2:-:*:*:*:*:*:*:*,CVE-2023-28542
Snapdragon 4+ Gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_4_gen_2:-:*:*:*:*:*:*:*,CVE-2023-24854
Snapdragon 4+ Gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_4_gen_2:-:*:*:*:*:*:*:*,CVE-2023-24851
Snapdragon 4+ Gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_4_gen_2:-:*:*:*:*:*:*:*,CVE-2023-22667
Snapdragon 4+ Gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_4_gen_2:-:*:*:*:*:*:*:*,CVE-2023-22387
Snapdragon 4+ Gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_4_gen_2:-:*:*:*:*:*:*:*,CVE-2023-22386
Snapdragon 4+ Gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_4_gen_2:-:*:*:*:*:*:*:*,CVE-2023-21672
Snapdragon 4+ Gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_4_gen_2:-:*:*:*:*:*:*:*,CVE-2023-21631
Snapdragon 4+ Gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_4_gen_2:-:*:*:*:*:*:*:*,CVE-2023-21629
Snapdragon 4+ Gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_4_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-23380
Snapdragon 4+ Gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_4_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-23373
Snapdragon 4+ Gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_4_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-23372
Snapdragon 4+ Gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_4_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-23368
Snapdragon 4+ Gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_4_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-21469
Snapdragon 4+ Gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_4_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-21465
Snapdragon 4+ Gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_4_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-21462
Snapdragon 4+ Gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_4_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-21461
Snapdragon 4+ Gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_4_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43536
Snapdragon 4+ Gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_4_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43533
Snapdragon 4+ Gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_4_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43522
Snapdragon 4+ Gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_4_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43519
Snapdragon 4+ Gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_4_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43518
Snapdragon 4+ Gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_4_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43513
Snapdragon 4+ Gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_4_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33076
Snapdragon 4+ Gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_4_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33072
Snapdragon 4+ Gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_4_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33060
Snapdragon 4+ Gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_4_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33058
Snapdragon 4+ Gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_4_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33057
