keyword,cpe_vendor,cpe,cve
snapdragon 720g,qualcomm,cpe:2.3:h:qualcomm:snapdragon_720g:-:*:*:*:*:*:*:*,CVE-2023-33021
snapdragon 720g,qualcomm,cpe:2.3:h:qualcomm:snapdragon_720g:-:*:*:*:*:*:*:*,CVE-2023-28567
snapdragon 720g,qualcomm,cpe:2.3:h:qualcomm:snapdragon_720g:-:*:*:*:*:*:*:*,CVE-2023-28565
snapdragon 720g,qualcomm,cpe:2.3:h:qualcomm:snapdragon_720g:-:*:*:*:*:*:*:*,CVE-2023-28564
snapdragon 720g,qualcomm,cpe:2.3:h:qualcomm:snapdragon_720g:-:*:*:*:*:*:*:*,CVE-2023-28562
snapdragon 720g,qualcomm,cpe:2.3:h:qualcomm:snapdragon_720g:-:*:*:*:*:*:*:*,CVE-2023-28542
snapdragon 720g,qualcomm,cpe:2.3:h:qualcomm:snapdragon_720g:-:*:*:*:*:*:*:*,CVE-2023-22667
snapdragon 720g,qualcomm,cpe:2.3:h:qualcomm:snapdragon_720g:-:*:*:*:*:*:*:*,CVE-2023-22387
snapdragon 720g,qualcomm,cpe:2.3:h:qualcomm:snapdragon_720g:-:*:*:*:*:*:*:*,CVE-2023-21633
snapdragon 720g,qualcomm,cpe:2.3:h:qualcomm:snapdragon_720g:-:*:*:*:*:*:*:*,CVE-2023-21629
snapdragon 720g,qualcomm,cpe:2.3:h:qualcomm:snapdragon_720g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-23373
snapdragon 720g,qualcomm,cpe:2.3:h:qualcomm:snapdragon_720g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-23368
snapdragon 720g,qualcomm,cpe:2.3:h:qualcomm:snapdragon_720g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-21465
snapdragon 720g,qualcomm,cpe:2.3:h:qualcomm:snapdragon_720g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-21462
snapdragon 720g,qualcomm,cpe:2.3:h:qualcomm:snapdragon_720g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-21461
