keyword,cpe_vendor,cpe,cve
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2024-21461
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2023-43511
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2023-33033
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2023-33030
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2023-33080
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2023-33018
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2023-28586
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2023-28551
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2023-28550
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2023-28546
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2023-33059
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2023-28563
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2023-22388
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2023-24849
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2023-24848
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2023-22385
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2023-28565
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2023-28560
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2022-40510
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2023-22667
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2023-21628
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2022-40521
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2022-33264
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2022-22076
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2022-40532
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2022-33302
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2022-33289
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2022-40531
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2022-40515
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2022-33213
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2022-25709
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2022-25705
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2022-25694
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2022-25655
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2022-22075
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2022-40512
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2022-33271
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2022-33233
snapdragon 820,qualcomm,cpe:2.3:h:qualcomm:sd820:-:*:*:*:*:*:*:*,CVE-2022-40520
