keyword,cpe_vendor,cpe,cve
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g:-:*:*:*:*:*:*:*,CVE-2023-33021
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g:-:*:*:*:*:*:*:*,CVE-2023-33015
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g:-:*:*:*:*:*:*:*,CVE-2023-28581
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g:-:*:*:*:*:*:*:*,CVE-2023-28573
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g:-:*:*:*:*:*:*:*,CVE-2023-28567
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g:-:*:*:*:*:*:*:*,CVE-2023-28577
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g:-:*:*:*:*:*:*:*,CVE-2023-28576
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g:-:*:*:*:*:*:*:*,CVE-2023-28575
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g:-:*:*:*:*:*:*:*,CVE-2023-28542
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g:-:*:*:*:*:*:*:*,CVE-2023-28541
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g:-:*:*:*:*:*:*:*,CVE-2023-24854
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g:-:*:*:*:*:*:*:*,CVE-2023-24851
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g:-:*:*:*:*:*:*:*,CVE-2023-22667
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g:-:*:*:*:*:*:*:*,CVE-2023-22387
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g:-:*:*:*:*:*:*:*,CVE-2023-22386
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g:-:*:*:*:*:*:*:*,CVE-2023-21638
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g:-:*:*:*:*:*:*:*,CVE-2023-21637
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g:-:*:*:*:*:*:*:*,CVE-2023-21635
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g:-:*:*:*:*:*:*:*,CVE-2023-21633
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g:-:*:*:*:*:*:*:*,CVE-2023-21631
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g:-:*:*:*:*:*:*:*,CVE-2023-21629
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-23373
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-23368
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-21469
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-21465
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-21462
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-21461
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43536
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43533
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43523
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43522
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43519
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43518
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43513
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33077
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33076
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33072
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33069
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33068
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33067
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33065
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33064
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33057
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33049
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43511
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33120
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33118
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33117
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33114
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33110
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33109
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33094
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33062
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33040
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33038
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33037
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33036
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33033
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33030
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33107
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33106
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33098
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33092
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33089
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33088
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28588
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28587
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28586
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28585
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28551
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28550
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28546
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-22668
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-22383
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-21634
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28572
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28570
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28556
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28554
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28553
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28545
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-24852
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-22388
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33028
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28539
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-24853
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-24850
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-24849
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-24848
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-24847
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-24843
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-22385
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-21673
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28558
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28557
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28549
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28548
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865\+_5g:-:*:*:*:*:*:*:*,CVE-2023-33021
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865\+_5g:-:*:*:*:*:*:*:*,CVE-2023-33015
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865\+_5g:-:*:*:*:*:*:*:*,CVE-2023-28581
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865\+_5g:-:*:*:*:*:*:*:*,CVE-2023-28573
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865\+_5g:-:*:*:*:*:*:*:*,CVE-2023-28567
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865\+_5g:-:*:*:*:*:*:*:*,CVE-2023-28577
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865\+_5g:-:*:*:*:*:*:*:*,CVE-2023-28576
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865\+_5g:-:*:*:*:*:*:*:*,CVE-2023-28575
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865\+_5g:-:*:*:*:*:*:*:*,CVE-2023-28542
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865\+_5g:-:*:*:*:*:*:*:*,CVE-2023-28541
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865\+_5g:-:*:*:*:*:*:*:*,CVE-2023-24854
snapdragon 865 5g+,qualcomm,cpe:2.3:h:qualcomm:snapdragon_865\+_5g:-:*:*:*:*:*:*:*,CVE-2023-24851
