keyword,cpe_vendor,cpe,cve
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g:-:*:*:*:*:*:*:*,CVE-2023-33021
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g:-:*:*:*:*:*:*:*,CVE-2023-33015
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g:-:*:*:*:*:*:*:*,CVE-2023-28573
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g:-:*:*:*:*:*:*:*,CVE-2023-28567
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g:-:*:*:*:*:*:*:*,CVE-2023-28542
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g:-:*:*:*:*:*:*:*,CVE-2023-24854
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g:-:*:*:*:*:*:*:*,CVE-2023-24851
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g:-:*:*:*:*:*:*:*,CVE-2023-22667
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g:-:*:*:*:*:*:*:*,CVE-2023-22387
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g:-:*:*:*:*:*:*:*,CVE-2023-22386
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g:-:*:*:*:*:*:*:*,CVE-2023-21631
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g:-:*:*:*:*:*:*:*,CVE-2023-21629
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-23373
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-23372
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-23368
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-21469
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-21465
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-21462
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-21461
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43536
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43533
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43522
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43519
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43518
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43513
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33076
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33072
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33069
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33068
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33067
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33065
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33057
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33049
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43511
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33120
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33118
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33117
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33113
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33112
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33110
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33109
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33094
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33085
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33062
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33040
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33038
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33037
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33036
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33033
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33030
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33107
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33106
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33098
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33092
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33089
Snapdragon 888+ 5G,qualcomm,cpe:2.3:h:qualcomm:snapdragon_888_5g_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33088
