keyword,cpe_vendor,cpe,cve
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-23380
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-23373
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-23372
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-23368
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-21469
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-21465
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-21462
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-21461
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-21460
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43536
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43534
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43533
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43523
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43522
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43520
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43518
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43513
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33076
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33072
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33060
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33058
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33057
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33049
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33046
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43514
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43511
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33120
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33118
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33117
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33113
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33112
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33109
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33094
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33062
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33107
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33106
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33098
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33097
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33092
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33089
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33088
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33087
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33081
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33080
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33079
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33063
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33054
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33044
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33043
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33041
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33022
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33018
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33017
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28588
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28587
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28586
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28585
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28551
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28550
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28546
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33074
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33061
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33059
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33056
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33055
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33048
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33047
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33045
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33031
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28574
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28556
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28545
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-24852
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-22388
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33035
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33029
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33028
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33027
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33026
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28571
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-28540
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-24855
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-24853
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-24850
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-24849
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-24848
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-24847
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-24844
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-22385
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-21673
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-23380
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-23373
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-23372
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-23368
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-21469
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-21465
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-21462
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-21461
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2024-21460
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43536
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43534
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43533
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43523
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43522
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43520
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43518
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43513
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33076
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33072
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33060
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33058
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33057
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33049
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33046
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43514
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-43511
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33120
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33118
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33117
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33113
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33112
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33109
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33094
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33062
snapdragon 8 gen 2,qualcomm,cpe:2.3:h:qualcomm:snapdragon_8\+_gen_2_mobile_platform:-:*:*:*:*:*:*:*,CVE-2023-33107
