keyword,cpe_vendor,cpe,cve
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-48359
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-48358
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-48357
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-48356
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-48355
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-48354
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-48353
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-48352
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-48351
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-48350
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-48349
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-48348
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-48347
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-48346
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-48345
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-48344
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-48343
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-48342
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-48341
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-48340
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-48339
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-42751
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-42749
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-42748
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-42747
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-42746
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-42745
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-42744
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-42743
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-42742
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-42741
unisoc sc9863a,unisoc,cpe:2.3:h:unisoc:sc9863a:-:*:*:*:*:*:*:*,CVE-2023-42740
