keyword,cpe_vendor,cpe,cve
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-48359
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-48358
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-48357
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-48356
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-48355
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-48354
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-48353
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-48352
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-48351
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-48350
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-48349
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-48348
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-48347
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-48346
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-48345
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-48344
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-48343
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-48342
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-48341
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-48340
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-48339
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42751
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42749
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42748
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42747
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42746
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42745
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42744
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42743
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42742
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42741
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42740
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42739
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42738
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42737
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42736
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42735
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42734
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42733
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42732
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42731
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42730
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42729
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42728
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42727
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42726
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42725
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42724
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42723
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42722
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42719
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42718
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42717
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42716
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42715
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42714
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42713
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42712
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42711
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42710
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42709
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42708
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42707
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42706
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42705
Unisoc T606,unisoc,cpe:2.3:h:unisoc:t606:-:*:*:*:*:*:*:*,CVE-2023-42704
