ID,CVE,year,month,spl_type,date,bug,link,Type,Severity,vul_true,component,devices,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,cwe,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity,cwe_info,Date
1,CVE-2024-0029,2024,02,2/1/24,,A-305664128,"https://android.googlesource.com/platform/frameworks/base/+/9b10fd9718f4e6f6843adbfc14e46a93aab93aad"" rel=""noreferrer",EoP,High,13,,,"In multiple files, there is a possible way to capture the device screen when disallowed by device policy due to a logic error in the code. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T02:15:50.633,2024-02-16T13:37:55.033,,,,,,,,,,,,,2024-02-01
2,CVE-2024-0032,2024,02,2/1/24,,A-283962634,"https://android.googlesource.com/platform/packages/providers/DownloadProvider/+/5acd646e0cf63e2c9c0862da7e03531ef0074394"" rel=""noreferrer,https://android.googlesource.com/platform/frameworks/base/+/4af5db76f25348849252e0b8a08f4a517ef842b7"" rel=""noreferrer",EoP,High,"11, 12, 12L, 13, 14",,,"In queryChildDocuments of FileSystemProvider.java, there is a possible way to request access to directories that should be hidden due to improper input validation. This could lead to local escalation of privilege with User execution privileges needed. User interaction is needed for exploitation.",,2024-02-16T02:15:50.823,2024-02-16T13:37:55.033,,,,,,,,,,,,,2024-02-01
5,CVE-2024-0038,2024,02,2/1/24,,A-309426390,"https://android.googlesource.com/platform/frameworks/base/+/3e88d987235f5a2acd50a9b6bad78dbbf39cb079"" rel=""noreferrer",EoP,High,14,,,"In injectInputEventToInputFilter of AccessibilityManagerService.java, there is a possible arbitrary input event injection due to a missing permission check. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T02:15:51.157,2024-02-16T13:37:51.433,,,,,,,,,,,,,2024-02-01
6,CVE-2024-0041,2024,02,2/1/24,,A-300741186,"https://android.googlesource.com/platform/frameworks/base/+/d6f7188773409c8f5ad5fc7d3eea5b1751439e26"" rel=""noreferrer",EoP,High,14,,,"In removePersistentDot of SystemStatusAnimationSchedulerImpl.kt, there is a possible race condition due to a logic error in the code. This could lead to local escalation of privilege that fails to remove the persistent dot with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T02:15:51.253,2024-02-16T13:37:51.433,,,,,,,,,,,,,2024-02-01
7,CVE-2023-40122,2024,02,2/1/24,,A-286235483,"https://android.googlesource.com/platform/frameworks/base/+/55fc00a0788ea0995fe0851616b9ac21710a2931"" rel=""noreferrer",ID,High,"11, 12, 12L, 13, 14",,,"In applyCustomDescription of SaveUi.java, there is a possible way to view other user's images due to a confused deputy. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T02:15:50.513,2024-02-16T13:37:55.033,,,,,,,,,,,,,2024-02-01
8,CVE-2024-0037,2024,02,2/1/24,,A-292104015,"https://android.googlesource.com/platform/frameworks/base/+/55fc00a0788ea0995fe0851616b9ac21710a2931"" rel=""noreferrer",ID,High,"11, 12, 12L, 13, 14",,,"In applyCustomDescription of SaveUi.java, there is a possible way to view images belonging to a different user due to a missing permission check. This could lead to local information disclosure with User execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T02:15:51.097,2024-02-16T13:37:51.433,,,,,,,,,,,,,2024-02-01
11,CVE-2024-0014,2024,02,2/1/24,,A-304082474,,EoP,High,"11, 12, 12L, 13, 14",,,"In startInstall of UpdateFetcher.java, there is a possible way to trigger a malicious config update due to a logic error. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T02:15:50.580,2024-02-16T13:37:55.033,,,,,,,,,,,,,2024-02-01
14,CVE-2023-40093,2024,02,2/1/24,,A-279055389,"https://android.googlesource.com/platform/external/pdfium/+/03925281cf25fec70318bf2225356d022b12b566"" rel=""noreferrer,https://android.googlesource.com/platform/cts/+/a952c93009cc81c41a086d73a4030a83b7683a04"" rel=""noreferrer",ID,High,"11, 12, 12L, 13, 14",,,"In multiple files, there is a possible way that trimmed content could be included in PDF output due to a logic error in the code. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T02:15:49.963,2024-02-16T13:37:55.033,,,,,,,,,,,,,2024-02-01
28,CVE-2023-49667,2024,02,2/5/24,,"A-314033392,U-2455269",,,High,,Kernel,,CVE ID Not Found,,,,,,,,,,,,,,,,2024-02-01
29,CVE-2023-49668,2024,02,2/5/24,,"A-314032846,U-2455269",,,High,,Kernel,,CVE ID Not Found,,,,,,,,,,,,,,,,2024-02-01
