CVE,Severity,Year,Month,Patches,Affected Versions,cwe,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity
CVE-2017-1414,Medium,2018,1,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2017-13309,High,2018,5,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2017-13310,High,2018,5,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2017-13311,High,2018,5,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2017-13312,High,2018,5,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2017-13313,High,2018,5,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2017-13314,High,2018,5,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2017-13315,High,2018,5,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2017-13319,High,2018,5,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2017-13320,High,2018,5,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2017-13316,Medium,2018,5,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2017-13317,Medium,2018,5,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2017-13318,Medium,2018,5,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2017-13321,Medium,2018,5,Android Security Bulletins,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
