CVE,Severity,Year,Month,Patches,Affected Versions
CVE-2017-13177,Critical,2018,1,Android Security Bulletins,
CVE-2017-13178,Critical,2018,1,Android Security Bulletins,
CVE-2017-13179,Critical,2018,1,Android Security Bulletins,
CVE-2017-13208,Critical,2018,1,Android Security Bulletins,
CVE-2017-0770,High,2018,1,Android Security Bulletins,
CVE-2017-0855,High,2018,1,Android Security Bulletins,
CVE-2017-11069,High,2018,1,Android Security Bulletins,
CVE-2017-13176,High,2018,1,Android Security Bulletins,
CVE-2017-13180,High,2018,1,Android Security Bulletins,
CVE-2017-13181,High,2018,1,Android Security Bulletins,
CVE-2017-13182,High,2018,1,Android Security Bulletins,
CVE-2017-13184,High,2018,1,Android Security Bulletins,
CVE-2017-13185,High,2018,1,Android Security Bulletins,
CVE-2017-13186,High,2018,1,Android Security Bulletins,
CVE-2017-13187,High,2018,1,Android Security Bulletins,
CVE-2017-13188,High,2018,1,Android Security Bulletins,
CVE-2017-13189,High,2018,1,Android Security Bulletins,
CVE-2017-13190,High,2018,1,Android Security Bulletins,
CVE-2017-13191,High,2018,1,Android Security Bulletins,
CVE-2017-13192,High,2018,1,Android Security Bulletins,
CVE-2017-13193,High,2018,1,Android Security Bulletins,
CVE-2017-13194,High,2018,1,Android Security Bulletins,
CVE-2017-13195,High,2018,1,Android Security Bulletins,
CVE-2017-13196,High,2018,1,Android Security Bulletins,
CVE-2017-13197,High,2018,1,Android Security Bulletins,
CVE-2017-13198,High,2018,1,Android Security Bulletins,
CVE-2017-13199,High,2018,1,Android Security Bulletins,
CVE-2017-13203,High,2018,1,Android Security Bulletins,
CVE-2017-13204,High,2018,1,Android Security Bulletins,
CVE-2017-13205,High,2018,1,Android Security Bulletins,
CVE-2017-13209,High,2018,1,Android Security Bulletins,
CVE-2017-13210,High,2018,1,Android Security Bulletins,
CVE-2017-13211,High,2018,1,Android Security Bulletins,
CVE-2017-13216,High,2018,1,Android Security Bulletins,
CVE-2017-15849,High,2018,1,Android Security Bulletins,
CVE-2017-0846,Medium,2018,1,Android Security Bulletins,
CVE-2017-11003,Medium,2018,1,Android Security Bulletins,
CVE-2017-11047,Medium,2018,1,Android Security Bulletins,
CVE-2017-11066,Medium,2018,1,Android Security Bulletins,
CVE-2017-11079,Medium,2018,1,Android Security Bulletins,
CVE-2017-11080,Medium,2018,1,Android Security Bulletins,
CVE-2017-13163,Medium,2018,1,Android Security Bulletins,
CVE-2017-13200,Medium,2018,1,Android Security Bulletins,
CVE-2017-13201,Medium,2018,1,Android Security Bulletins,
CVE-2017-13202,Medium,2018,1,Android Security Bulletins,
CVE-2017-13206,Medium,2018,1,Android Security Bulletins,
CVE-2017-13207,Medium,2018,1,Android Security Bulletins,
CVE-2017-13212,Medium,2018,1,Android Security Bulletins,
CVE-2017-13213,Medium,2018,1,Android Security Bulletins,
CVE-2017-13219,Medium,2018,1,Android Security Bulletins,
CVE-2017-13220,Medium,2018,1,Android Security Bulletins,
CVE-2017-13221,Medium,2018,1,Android Security Bulletins,
CVE-2017-13222,Medium,2018,1,Android Security Bulletins,
CVE-2017-1414,Medium,2018,1,Android Security Bulletins,
CVE-2017-14869,Medium,2018,1,Android Security Bulletins,
CVE-2017-14870,Medium,2018,1,Android Security Bulletins,
CVE-2017-14873,Medium,2018,1,Android Security Bulletins,
CVE-2017-15845,Medium,2018,1,Android Security Bulletins,
CVE-2017-15847,Medium,2018,1,Android Security Bulletins,
CVE-2017-9689,Medium,2018,1,Android Security Bulletins,
CVE-2017-9708,Medium,2018,1,Android Security Bulletins,
CVE-2017-9718,Medium,2018,1,Android Security Bulletins,
CVE-2017-13228,Critical,2018,2,Android Security Bulletins,
CVE-2017-13230,Critical,2018,2,Android Security Bulletins,
CVE-2017-17760,Critical,2018,2,Android Security Bulletins,
CVE-2017-13229,Critical,2018,2,Android Security Bulletins,
CVE-2017-13233,High,2018,2,Android Security Bulletins,
CVE-2017-13234,High,2018,2,Android Security Bulletins,
CVE-2017-13232,High,2018,2,Android Security Bulletins,
CVE-2017-0837,High,2018,2,Android Security Bulletins,
CVE-2017-13231,High,2018,2,Android Security Bulletins,
CVE-2017-15265,High,2018,2,Android Security Bulletins,
CVE-2017-15820,High,2018,2,Android Security Bulletins,
CVE-2017-15829,High,2018,2,Android Security Bulletins,
CVE-2017-17761,High,2018,2,Android Security Bulletins,
CVE-2017-17762,High,2018,2,Android Security Bulletins,
CVE-2017-17764,High,2018,2,Android Security Bulletins,
CVE-2017-17765,High,2018,2,Android Security Bulletins,
CVE-2017-14884,High,2018,2,Android Security Bulletins,
CVE-2017-6258,High,2018,2,Android Security Bulletins,
CVE-2017-6279,High,2018,2,Android Security Bulletins,
CVE-2017-13235,High,2018,2,Android Security Bulletins,
CVE-2017-13236,Medium,2018,2,Android Security Bulletins,
CVE-2017-13241,Medium,2018,2,Android Security Bulletins,
CVE-2017-13239,Medium,2018,2,Android Security Bulletins,
CVE-2017-13240,Medium,2018,2,Android Security Bulletins,
CVE-2017-13243,Medium,2018,2,Android Security Bulletins,
CVE-2017-13242,Medium,2018,2,Android Security Bulletins,
CVE-2017-13244,Medium,2018,2,Android Security Bulletins,
CVE-2017-13246,Medium,2018,2,Android Security Bulletins,
CVE-2017-1000405,Medium,2018,2,Android Security Bulletins,
CVE-2017-14875,Medium,2018,2,Android Security Bulletins,
CVE-2017-14891,Medium,2018,2,Android Security Bulletins,
CVE-2017-15826,Medium,2018,2,Android Security Bulletins,
CVE-2017-14876,Medium,2018,2,Android Security Bulletins,
CVE-2017-14883,Medium,2018,2,Android Security Bulletins,
CVE-2017-11043,Medium,2018,2,Android Security Bulletins,
CVE-2017-15823,Medium,2018,2,Android Security Bulletins,
CVE-2017-17766,Medium,2018,2,Android Security Bulletins,
CVE-2017-14881,Medium,2018,2,Android Security Bulletins,
CVE-2017-14877,Medium,2018,2,Android Security Bulletins,
CVE-2017-15859,Medium,2018,2,Android Security Bulletins,
CVE-2017-14892,Medium,2018,2,Android Security Bulletins,
CVE-2017-13248,Critical,2018,3,Android Security Bulletins,
CVE-2017-13249,Critical,2018,3,Android Security Bulletins,
CVE-2017-13250,Critical,2018,3,Android Security Bulletins,
CVE-2017-13251,Critical,2018,3,Android Security Bulletins,
CVE-2017-13255,Critical,2018,3,Android Security Bulletins,
CVE-2017-13256,Critical,2018,3,Android Security Bulletins,
CVE-2017-13272,Critical,2018,3,Android Security Bulletins,
CVE-2017-18067,Critical,2018,3,Android Security Bulletins,
CVE-2017-13252,High,2018,3,Android Security Bulletins,
CVE-2017-13253,High,2018,3,Android Security Bulletins,
CVE-2017-13254,High,2018,3,Android Security Bulletins,
CVE-2017-13257,High,2018,3,Android Security Bulletins,
CVE-2017-13258,High,2018,3,Android Security Bulletins,
CVE-2017-13259,High,2018,3,Android Security Bulletins,
CVE-2017-13260,High,2018,3,Android Security Bulletins,
CVE-2017-13261,High,2018,3,Android Security Bulletins,
CVE-2017-13262,High,2018,3,Android Security Bulletins,
CVE-2017-13264,High,2018,3,Android Security Bulletins,
CVE-2017-16525,High,2018,3,Android Security Bulletins,
CVE-2017-16529,High,2018,3,Android Security Bulletins,
CVE-2017-16530,High,2018,3,Android Security Bulletins,
