Year,Month,Critical,High,Medium,Low
2017,12,,,,
2018,1,"CVE-2017-13177, CVE-2017-13178, CVE-2017-13179, CVE-2017-13208.","CVE-2017-0770, CVE-2017-0855, CVE-2017-11069, CVE-2017-13176, CVE-2017-13180, CVE-2017-13181, CVE-2017-13182, CVE-2017-13184, CVE-2017-13185, CVE-2017-13186, CVE-2017-13187, CVE-2017-13188, CVE-2017-13189, CVE-2017-13190, CVE-2017-13191, CVE-2017-13192, CVE-2017-13193, CVE-2017-13194, CVE-2017-13195, CVE-2017-13196, CVE-2017-13197, CVE-2017-13198, CVE-2017-13199, CVE-2017-13203, CVE-2017-13204, CVE-2017-13205, CVE-2017-13209, CVE-2017-13210, CVE-2017-13211, CVE-2017-13216, CVE-2017-15849.","CVE-2017-0846, CVE-2017-11003, CVE-2017-11047, CVE-2017-11066, CVE-2017-11079, CVE-2017-11080, CVE-2017-13163, CVE-2017-13200, CVE-2017-13201, CVE-2017-13202, CVE-2017-13206, CVE-2017-13207, CVE-2017-13212, CVE-2017-13213, CVE-2017-13219, CVE-2017-13220, CVE-2017-13221, CVE-2017-13222, CVE-2017-1414, CVE-2017-14869, CVE-2017-14870, CVE-2017-14873, CVE-2017-15845, CVE-2017-15847, CVE-2017-9689, CVE-2017-9708, CVE-2017-9718.",none
2018,2,"CVE-2017-13228, CVE-2017-13230, CVE-2017-17760, CVE-2017-13229","CVE-2017-13233, CVE-2017-13234, CVE-2017-13232, CVE-2017-0837, CVE-2017-13231, CVE-2017-15265, CVE-2017-15820, CVE-2017-15829, CVE-2017-17761, CVE-2017-17762, CVE-2017-17764, CVE-2017-17765, CVE-2017-14884, CVE-2017-6258, CVE-2017-6279, CVE-2017-13235","CVE-2017-13236, CVE-2017-13241, CVE-2017-13239, CVE-2017-13240, CVE-2017-13243, CVE-2017-13242, CVE-2017-13244, CVE-2017-13246, CVE-2017-1000405, CVE-2017-14875, CVE-2017-14891, CVE-2017-15826, CVE-2017-14876, CVE-2017-14883, CVE-2017-11043, CVE-2017-15823, CVE-2017-17766, CVE-2017-14881, CVE-2017-14877, CVE-2017-15859, CVE-2017-14892",none
2018,3,"CVE-2017-13248, CVE-2017-13249, CVE-2017-13250, CVE-2017-13251, CVE-2017-13255, CVE-2017-13256, CVE-2017-13272, CVE-2017-18067","CVE-2017-13252, CVE-2017-13253, CVE-2017-13254, CVE-2017-13257, CVE-2017-13258, CVE-2017-13259, CVE-2017-13260, CVE-2017-13261, CVE-2017-13262, CVE-2017-13264, CVE-2017-16525, CVE-2017-16529, CVE-2017-16530, CVE-2017-16531, CVE-2017-16533, CVE-2017-16535","CVE-2017-13263, CVE-2017-13266, CVE-2017-13268, CVE-2017-13269, CVE-2017-16527, CVE-2017-1000111",none
2018,4,"CVE-2017-13267, CVE-2017-13276, CVE-2017-13277, CVE-2017-13281, CVE-2017-13282, CVE-2017-13283, CVE-2017-13284, CVE-2017-13292","CVE-2017-13274, CVE-2017-13275, CVE-2017-13279, CVE-2017-13280, CVE-2017-13285, CVE-2017-13286, CVE-2017-13287, CVE-2017-13288, CVE-2017-13289, CVE-2017-13290, CVE-2017-13291, CVE-2017-13296, CVE-2017-13297, CVE-2017-13298, CVE-2017-13299, CVE-2017-1653, CVE-2017-17770, CVE-2018-3563","CVE-2017-13294, CVE-2017-13301, CVE-2017-13302, CVE-2017-13303, CVE-2017-13305, CVE-2017-13307, CVE-2017-15115, CVE-2017-17449, CVE-2017-17712, CVE-2017-8269, CVE-2018-3598, CVE-2018-3599, CVE-2018-5825",none
2018,5,CVE-2018-3580,"CVE-2017-13309, CVE-2017-13310, CVE-2017-13311, CVE-2017-13312, CVE-2017-13313, CVE-2017-13314, CVE-2017-13315, CVE-2017-13319, CVE-2017-13320, CVE-2017-18154, CVE-2018-5846","CVE-2017-0622, CVE-2017-13316, CVE-2017-13317, CVE-2017-13318, CVE-2017-13321, CVE-2017-13323, CVE-2017-15129, CVE-2017-15842, CVE-2017-15843, CVE-2018-3572, CVE-2018-5344, CVE-2018-5849, CVE-2018-5852",none
2018,6,"CVE-2018-3569, CVE-2018-5146, CVE-2018-9341, CVE-2018-9355, CVE-2018-9356","CVE-2017-0564, CVE-2017-17558, CVE-2017-17806, CVE-2017-17807, CVE-2018-5829, CVE-2018-5831, CVE-2018-5834, CVE-2018-5884, CVE-2018-9338, CVE-2018-9339, CVE-2018-9340, CVE-2018-9344, CVE-2018-9345, CVE-2018-9346, CVE-2018-9347, CVE-2018-9348, CVE-2018-9349, CVE-2018-9350, CVE-2018-9351, CVE-2018-9352, CVE-2018-9353, CVE-2018-9354, CVE-2018-9357, CVE-2018-9358, CVE-2018-9359, CVE-2018-9360, CVE-2018-9361, CVE-2018-9362","CVE-2016-5342, CVE-2016-5080, CVE-2017-14872, CVE-2017-14893, CVE-2017-18075, CVE-2018-3564, CVE-2018-3597, CVE-2018-5836, CVE-2018-5887, CVE-2018-5888, CVE-2018-5889, CVE-2018-5890, CVE-2018-5893, CVE-2018-5895, CVE-2018-5897, CVE-2018-7480, CVE-2018-9375, CVE-2018-9378, CVE-2018-9379, CVE-2018-9380, CVE-2018-9381, CVE-2018-9383, CVE-2018-9385, CVE-2018-9389",none
2018,7,"CVE-2018-9365, CVE-2018-9433, CVE-2018-9411","CVE-2018-5873, CVE-2018-6927, CVE-2018-9410, CVE-2018-9412, CVE-2018-9417, CVE-2018-9419, CVE-2018-9420, CVE-2018-9421, CVE-2018-9422, CVE-2018-9423, CVE-2018-9424, CVE-2018-9428, CVE-2018-9432","CVE-2017-0606, CVE-2017-1000, CVE-2018-1065, CVE-2018-3570, CVE-2018-5858, CVE-2018-5862, CVE-2018-5865, CVE-2018-9413, CVE-2018-9414, CVE-2018-9415, CVE-2018-9416, CVE-2018-9418, CVE-2018-9426, CVE-2018-9429, CVE-2018-9430, CVE-2018-9431",none
2018,8,"CVE-2018-9427, CVE-2018-9446, CVE-2018-9450","CVE-2018-5383, CVE-2018-9436, CVE-2018-9437, CVE-2018-9438, CVE-2018-9444, CVE-2018-9445, CVE-2018-9448, CVE-2018-9451, CVE-2018-9453, CVE-2018-9454, CVE-2018-9455, CVE-2018-9456, CVE-2018-9458, CVE-2018-9459, CVE-2018-9465","CVE-2017-1000100, CVE-2017-18307, CVE-2018-5904, CVE-2018-5905, CVE-2018-5908, CVE-2018-5909, CVE-2018-5910",none
2018,9,"CVE-2017-11004, CVE-2017-18141, CVE-2018-9411, CVE-2018-9427, CVE-2018-9475, CVE-2018-9478, CVE-2018-9479","CVE-2016-10408, CVE-2017-8276, CVE-2018-11836, CVE-2018-11842, CVE-2018-11898, CVE-2018-11951, CVE-2018-5871, CVE-2018-9456, CVE-2018-9466, CVE-2018-9467, CVE-2018-9469, CVE-2018-9470, CVE-2018-9471, CVE-2018-9472, CVE-2018-9474, CVE-2018-9477, CVE-2018-9480, CVE-2018-9481, CVE-2018-9482, CVE-2018-9483, CVE-2018-9484, CVE-2018-9485, CVE-2018-9486, CVE-2018-9487","CVE-2018-5390, CVE-2018-5391, CVE-2018-9440, CVE-2018-9488",none
