CVE,Severity,Year,Month,Patches,Affected Versions,cwe,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity,cwe_info,Date_huawei
CVE-2017-1414,Medium,2018,1,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-01-01
CVE-2017-13319,High,2018,5,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-05-01
CVE-2017-13320,High,2018,5,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-05-01
CVE-2017-13316,Medium,2018,5,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-05-01
CVE-2017-13317,Medium,2018,5,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-05-01
CVE-2017-13318,Medium,2018,5,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-05-01
CVE-2017-13321,Medium,2018,5,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-05-01
CVE-2017-13323,Medium,2018,5,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-05-01
CVE-2018-5852,Medium,2018,5,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-05-01
CVE-2018-9349,High,2018,6,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9350,High,2018,6,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9351,High,2018,6,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9352,High,2018,6,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9353,High,2018,6,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9354,High,2018,6,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9375,Medium,2018,6,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9378,Medium,2018,6,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9379,Medium,2018,6,Android Security Bulletins,,,CVE ID Not Found,,,,,,,,,,,,,,,2018-06-01
