timestamp,device,series,period
6/4/19,P30 Pro,HUAWEI P series,monthly
6/4/19,P30,HUAWEI P series,monthly
6/4/19,"P30 lite,P20 Pro",HUAWEI P series,monthly
6/4/19,P20,HUAWEI P series,monthly
6/4/19,P20 lite,HUAWEI P series,monthly
6/4/19,Mate 20 X,HUAWEI Mate series,monthly
6/4/19,Mate 20 RS,HUAWEI Mate series,monthly
6/4/19,Mate 20 Pro,HUAWEI Mate series,monthly
6/4/19,Mate 20,HUAWEI Mate series,monthly
6/4/19,Mate 20 Lite,HUAWEI Mate series,monthly
6/4/19,Mate 10 Pro,HUAWEI Mate series,monthly
6/4/19,Mate 10,HUAWEI Mate series,monthly
6/4/19,Mate 10 Lite,HUAWEI Mate series,monthly
6/4/19,PORSCHE DESIGN HUAWEI Mate RS,HUAWEI Mate series,monthly
6/4/19,Honor View20,HONOR series,monthly
6/4/19,Honor 10,HONOR series,monthly
6/4/19,Honor 10 Lite,HONOR series,monthly
6/4/19,Honor View10,HONOR series,monthly
6/4/19,Honor Play,HONOR series,monthly
6/4/19,Honor 9N,HONOR series,monthly
6/4/19,Honor 9,HONOR series,monthly
6/4/19,Honor 9 Lite,HONOR series,monthly
6/4/19,Honor 8A,HONOR series,monthly
6/4/19,Honor 8X,HONOR series,monthly
6/4/19,Honor 7X,HONOR series,monthly
6/4/19,nova 4,HUAWEI nova series,monthly
6/4/19,nova 3,HUAWEI nova series,monthly
6/4/19,nova 3e,HUAWEI nova series,monthly
6/4/19,nova 3i,HUAWEI nova series,monthly
6/4/19,nova Lite 3,HUAWEI nova series,monthly
6/4/19,nova 2 Plus,HUAWEI nova series,monthly
6/4/19,nova 2i,HUAWEI nova series,monthly
6/4/19,Y5 Lite,HUAWEI Y series,monthly
6/4/19,Y5 Lite 2018,HUAWEI Y series,monthly
6/4/19,Y3 2018,HUAWEI Y series,monthly
6/4/19,Y3 2018,HUAWEI Y series,monthly
6/4/19,Y9 2019,HUAWEI Y series,quarterly
6/4/19,Y9 2018,HUAWEI Y series,quarterly
6/4/19,Y7 2019,HUAWEI Y series,quarterly
6/4/19,Y7 prime 2018,HUAWEI Y series,quarterly
6/4/19,Y7 2018,HUAWEI Y series,quarterly
6/4/19,Y7,HUAWEI Y series,quarterly
6/4/19,Y6 prime 2018,HUAWEI Y series,quarterly
6/4/19,Y6 2019,HUAWEI Y series,quarterly
6/4/19,Y6 2018,HUAWEI Y series,quarterly
6/4/19,Y5 2018,HUAWEI Y series,quarterly
6/4/19,Honor 7A,HONOR series,quarterly
6/4/19,Honor 7S,HONOR series,quarterly
6/4/19,nova 2 Plus,HUAWEI nova series,quarterly
6/4/19,nova 2i,HUAWEI nova series,quarterly
6/4/19,nova 2,HUAWEI nova series,quarterly
6/4/19,nova 2 lite,HUAWEI nova series,quarterly
6/4/19,nova lite 2,HUAWEI nova series,quarterly
6/4/19,P Smart,Others,quarterly
6/4/19,P9 Lite mini,Others,quarterly
6/4/19,G Elite Plus,Others,quarterly
6/4/19,M5,Tablets,quarterly
6/4/19,M5 Pro,Tablets,quarterly
6/4/19,MediaPad T5 10,Tablets,quarterly
