timestamp,device,series,period,EMUI,Android
6/4/19,P30 Pro,HUAWEI P series,monthly,EMUI 12,Android 10
6/4/19,P30,HUAWEI P series,monthly,EMUI 12,Android 10
6/4/19,"P30 lite,P20 Pro",HUAWEI P series,monthly,nan,nan
6/4/19,P20,HUAWEI P series,monthly,EMUI 12,Android 9
6/4/19,P20 lite,HUAWEI P series,monthly,nan,nan
6/4/19,Mate 20 X,HUAWEI Mate series,monthly,EMUI 10.1,Android 10
6/4/19,Mate 20 RS,HUAWEI Mate series,monthly,nan,nan
6/4/19,Mate 20 Pro,HUAWEI Mate series,monthly,EMUI 10.1,Android 10
6/4/19,Mate 20,HUAWEI Mate series,monthly,EMUI 10.1,Android 10
6/4/19,Mate 20 Lite,HUAWEI Mate series,monthly,nan,nan
6/4/19,Mate 10 Pro,HUAWEI Mate series,monthly,,Android 10.0 Q
6/4/19,Mate 10,HUAWEI Mate series,monthly,,Android 10.0 Q
6/4/19,Mate 10 Lite,HUAWEI Mate series,monthly,,Android 10.0 Q
6/4/19,PORSCHE DESIGN HUAWEI Mate RS,HUAWEI Mate series,monthly,nan,nan
6/4/19,Honor View20,HONOR series,monthly,nan,nan
6/4/19,Honor 10,HONOR series,monthly,Emotion UI,Android 8.1 Oreo
6/4/19,Honor 10 Lite,HONOR series,monthly,nan,nan
6/4/19,Honor View10,HONOR series,monthly,nan,nan
6/4/19,Honor Play,HONOR series,monthly,nan,nan
6/4/19,Honor 9N,HONOR series,monthly,nan,nan
6/4/19,Honor 9,HONOR series,monthly,,"Android 9 ""Pie"""
6/4/19,Honor 9 Lite,HONOR series,monthly,,"Android 9 ""Pie"""
6/4/19,Honor 8A,HONOR series,monthly,nan,nan
6/4/19,Honor 8X,HONOR series,monthly,,
6/4/19,Honor 7X,HONOR series,monthly,nan,nan
6/4/19,nova 4,HUAWEI nova series,monthly,nan,nan
6/4/19,nova 3,HUAWEI nova series,monthly,nan,nan
6/4/19,nova 3e,HUAWEI nova series,monthly,nan,nan
6/4/19,nova 3i,HUAWEI nova series,monthly,,"9.0 ""Pie"""
6/4/19,nova Lite 3,HUAWEI nova series,monthly,nan,nan
6/4/19,nova 2 Plus,HUAWEI nova series,monthly,nan,nan
6/4/19,nova 2i,HUAWEI nova series,monthly,,Android 10.0 Q
6/4/19,Y5 Lite,HUAWEI Y series,monthly,nan,nan
6/4/19,"Y5 Lite 2018,Y3 2018",HUAWEI Y series,monthly,nan,nan
6/4/19,Y3 2018,HUAWEI Y series,monthly,nan,nan
6/4/19,Y9 2019,HUAWEI Y series,quarterly,nan,nan
6/4/19,"Y9 2018,Y7 2019,Y7 prime 2018,Y7 2018,Y7,Y6 prime 2018,Y6 2019,Y6 2018",HUAWEI Y series,quarterly,nan,nan
6/4/19,Y5 2018,HUAWEI Y series,quarterly,nan,nan
6/4/19,Honor 7A,HONOR series,quarterly,nan,nan
6/4/19,Honor 7S,HONOR series,quarterly,nan,nan
6/4/19,nova 2 Plus,HUAWEI nova series,quarterly,nan,nan
6/4/19,nova 2i,HUAWEI nova series,quarterly,,Android 10.0 Q
6/4/19,nova 2,HUAWEI nova series,quarterly,nan,nan
6/4/19,nova 2 lite,HUAWEI nova series,quarterly,nan,nan
6/4/19,nova lite 2,HUAWEI nova series,quarterly,nan,nan
6/4/19,P Smart,Others,quarterly,,
6/4/19,P9 Lite mini,Others,quarterly,nan,nan
6/4/19,G Elite Plus,Others,quarterly,nan,nan
6/4/19,M5,Tablets,quarterly,nan,nan
6/4/19,M5 Pro,Tablets,quarterly,nan,nan
6/4/19,MediaPad T5 10,Tablets,quarterly,nan,nan
6/4/19,MediaPad M5 lite 10,Tablets,quarterly,nan,nan
7/24/19,P30 Pro,HUAWEI P series,monthly,EMUI 12,Android 10
7/24/19,P30,HUAWEI P series,monthly,EMUI 12,Android 10
7/24/19,P30 lite,HUAWEI P series,monthly,nan,nan
7/24/19,P20 Pro,HUAWEI P series,monthly,EMUI 12,Android 9
7/24/19,P20,HUAWEI P series,monthly,EMUI 12,Android 9
7/24/19,P20 lite,HUAWEI P series,monthly,nan,nan
7/24/19,P Smart 2019,HUAWEI P series,monthly,nan,nan
7/24/19,Mate 20 X,HUAWEI Mate series,monthly,EMUI 10.1,Android 10
7/24/19,Mate 20 Pro,HUAWEI Mate series,monthly,EMUI 10.1,Android 10
7/24/19,Mate 20,HUAWEI Mate series,monthly,EMUI 10.1,Android 10
7/24/19,Mate 20 RS,HUAWEI Mate series,monthly,nan,nan
7/24/19,Mate 10 Pro,HUAWEI Mate series,monthly,,Android 10.0 Q
7/24/19,Mate 10,HUAWEI Mate series,monthly,,Android 10.0 Q
7/24/19,PORSCHE DESIGN HUAWEI Mate RS,HUAWEI Mate series,monthly,nan,nan
7/24/19,Mate 20 Lite,HUAWEI Mate series,monthly,nan,nan
7/24/19,Mate 10 Lite,HUAWEI Mate series,monthly,,Android 10.0 Q
7/24/19,Honor 10,HONOR series,monthly,Emotion UI,Android 8.1 Oreo
7/24/19,Honor View10,HONOR series,monthly,nan,nan
7/24/19,Honor 9N,HONOR series,monthly,nan,nan
7/24/19,Honor 9i,HONOR series,monthly,,Android 10.0 Q
7/24/19,Honor 9 Lite,HONOR series,monthly,,"Android 9 ""Pie"""
7/24/19,Honor 7X,HONOR series,monthly,nan,nan
7/24/19,nova 3e,HUAWEI nova series,monthly,nan,nan
7/24/19,nova Lite 3,HUAWEI nova series,monthly,nan,nan
7/24/19,nova 2i,HUAWEI nova series,monthly,,Android 10.0 Q
7/24/19,P 9 lite mini,HUAWEI P series,quarterly,nan,nan
7/24/19,P Smart,HUAWEI P series,quarterly,,
7/24/19,Y9 2019,HUAWEI Y series,quarterly,nan,nan
7/24/19,Y9 2018,HUAWEI Y series,quarterly,nan,nan
7/24/19,Y6 2019,HUAWEI Y series,quarterly,nan,nan
7/24/19,Y6 2018,HUAWEI Y series,quarterly,nan,nan
7/24/19,Y5 2019,HUAWEI Y series,quarterly,nan,nan
7/24/19,Y5 2018,HUAWEI Y series,quarterly,nan,nan
7/24/19,Y5 Prime 2018,HUAWEI Y series,quarterly,nan,nan
7/24/19,Y5 Lite,HUAWEI Y series,quarterly,nan,nan
7/24/19,Y5 Lite 2018,HUAWEI Y series,quarterly,nan,nan
7/24/19,Y3 2018,HUAWEI Y series,quarterly,nan,nan
7/24/19,Honor View20,HONOR series,quarterly,nan,nan
