CVE,Year,Month,Patches,Affected Versions,Date_huawei,ID_asb,year_asb,month_asb,spl_type_asb,date_asb,bug_asb,link_asb,Type_asb,Severity,vul_true_asb,component_asb,devices_asb,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,cwe,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity,cwe_info,Date_asb
CVE-2017-13309,2018,5,Android Security Bulletins,,2018-05-01,793,2018,05,5/1/18,,A-73251618,https://android.googlesource.com/platform/external/conscrypt/+/c26e60713035b52e123bdcc2fe5d69eb94a374f7,ID,High,8.1,,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-05-01
CVE-2017-13310,2018,5,Android Security Bulletins,,2018-05-01,794,2018,05,5/1/18,,A-71992105,https://android.googlesource.com/platform/frameworks/base/+/57bc6ca6dda12ef7925c69a75cbcdf3df05067fc,EoP,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-05-01
CVE-2017-13311,2018,5,Android Security Bulletins,,2018-05-01,795,2018,05,5/1/18,,A-73252178,https://android.googlesource.com/platform/frameworks/base/+/2950276f61220e00749f8e24e0c773928fefaed8,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-05-01
CVE-2017-13312,2018,5,Android Security Bulletins,,2018-05-01,796,2018,05,5/1/18,,A-73085795,,EoP,High,8,,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-05-01
CVE-2017-13313,2018,5,Android Security Bulletins,,2018-05-01,797,2018,05,5/1/18,,A-74114680,https://android.googlesource.com/platform/frameworks/av/+/4b3b618144050d80dbaa0228797b021d5df5e919,DoS,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-05-01
CVE-2017-13314,2018,5,Android Security Bulletins,,2018-05-01,798,2018,05,5/1/18,,A-63000005,https://android.googlesource.com/platform/frameworks/base/+/ef1335ebdf6862c6a30686603c7ee549dbb7b359,EoP,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-05-01
CVE-2017-13315,2018,5,Android Security Bulletins,,2018-05-01,799,2018,05,5/1/18,,A-70721937,https://android.googlesource.com/platform/frameworks/base/+/35bb911d4493ea94d4896cc42690cab0d4dbb78f,EoP,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-05-01
CVE-2018-9341,2018,6,Android Security Bulletins,,2018-06-01,578,2018,06,6/1/18,,A-74016277,https://android.googlesource.com/platform/external/libmpeg2/+/69ac35d37c0fcf43ac3dac6c99dbec5ecb258c41,RCE,Critical,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9338,2018,6,Android Security Bulletins,,2018-06-01,574,2018,06,6/1/18,,A-71361168,https://android.googlesource.com/platform/frameworks/base/+/5a11d9bb5b55543c9b97d38da1a658c42b99a906,EoP,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9339,2018,6,Android Security Bulletins,,2018-06-01,575,2018,06,6/1/18,,A-71508348,https://android.googlesource.com/platform/frameworks/base/+/82306b4ed120eab59849a21ae85074ab10a67b23,EoP,High,"8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9340,2018,6,Android Security Bulletins,,2018-06-01,577,2018,06,6/1/18,,A-71360999,https://android.googlesource.com/platform/frameworks/base/+/5a11d9bb5b55543c9b97d38da1a658c42b99a906,ID,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9344,2018,6,Android Security Bulletins,,2018-06-01,581,2018,06,6/1/18,,A-73172817,https://android.googlesource.com/platform/hardware/interfaces/+/6a6c9a891b8e91a9bc84784909f800ba670c873b,EoP,High,8.1,,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9345,2018,6,Android Security Bulletins,,2018-06-01,582,2018,06,6/1/18,,A-77238250,https://android.googlesource.com/platform/frameworks/av/+/d6bd6091686dd7ea3b410fb8dce3794429066453,ID,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
CVE-2018-9346,2018,6,Android Security Bulletins,,2018-06-01,583,2018,06,6/1/18,,A-77238762,https://android.googlesource.com/platform/frameworks/av/+/d6bd6091686dd7ea3b410fb8dce3794429066453,ID,High,"6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
