device,monthly_start,monthly_end,quarterly_start,quarterly_end,monthly_duration,quarterly_duration
P30 Pro,2019-06-04,2020-09-29,,,483 days,
P30,2019-06-04,2020-09-29,,,483 days,
"P30 lite,P20 Pro",2019-06-04,2019-06-04,,,0 days,
P20,2019-06-04,2020-04-13,,,314 days,
P20 lite,2019-06-04,2019-07-24,2019-10-12,2020-08-12,50 days,305 days
Mate 20 X,2019-06-04,2020-09-29,,,483 days,
Mate 20 RS,2019-06-04,2020-09-29,,,483 days,
Mate 20 Pro,2019-06-04,2020-09-29,,,483 days,
Mate 20,2019-06-04,2020-09-29,,,483 days,
Mate 20 Lite,2019-06-04,2019-07-24,2019-10-12,2020-08-12,50 days,305 days
Mate 10 Pro,2019-06-04,2019-12-11,,,190 days,
Mate 10,2019-06-04,2019-12-11,,,190 days,
Mate 10 Lite,2019-06-04,2019-07-24,2019-10-12,2020-08-12,50 days,305 days
PORSCHE DESIGN HUAWEI Mate RS,2019-06-04,2019-12-11,,,190 days,
Honor View20,2019-06-04,2020-09-29,2019-07-24,2019-07-24,483 days,0 days
Honor 10,2019-06-04,2020-06-18,2019-07-24,2019-07-24,380 days,0 days
Honor 10 Lite,2019-06-04,2019-06-04,2019-07-24,2020-09-29,0 days,433 days
Honor View10,2019-06-04,2020-04-13,,,314 days,
Honor Play,2019-06-04,2019-06-04,2019-07-24,2020-08-12,0 days,385 days
Honor 9N,2019-06-04,2019-07-24,2019-10-12,2020-04-13,50 days,184 days
Honor 9,2019-06-04,2019-06-04,,,0 days,
Honor 9 Lite,2019-06-04,2019-07-24,2019-10-12,2020-08-12,50 days,305 days
Honor 8A,2019-06-04,2019-06-04,2019-07-24,2020-09-29,0 days,433 days
Honor 8X,2019-06-04,2019-06-04,2019-07-24,2020-09-29,0 days,433 days
Honor 7X,2019-06-04,2019-07-24,2019-10-12,2019-12-11,50 days,60 days
nova 4,2019-06-04,2019-06-04,2019-07-24,2020-09-29,0 days,433 days
nova 3,2019-06-04,2019-06-04,2019-07-24,2020-09-29,0 days,433 days
nova 3e,2019-06-04,2019-07-24,2019-10-12,2020-06-18,50 days,250 days
nova 3i,2019-06-04,2019-06-04,2019-07-24,2020-09-29,0 days,433 days
nova Lite 3,2019-06-04,2019-07-24,2019-10-12,2020-09-29,50 days,353 days
nova 2 Plus,2019-06-04,2019-06-04,2019-06-04,2019-06-04,0 days,0 days
nova 2i,2019-06-04,2019-07-24,2019-06-04,2019-07-24,50 days,50 days
Y5 Lite,2019-06-04,2019-06-04,2019-07-24,2020-06-18,0 days,330 days
Y5 Lite 2018,2019-06-04,2019-06-04,2019-07-24,2020-06-18,0 days,330 days
Y3 2018,2019-06-04,2019-06-04,2019-07-24,2020-06-18,0 days,330 days
Y9 2019,,,2019-06-04,2020-09-29,,483 days
Y9 2018,,,2019-06-04,2020-06-18,,380 days
Y7 2019,,,2019-06-04,2020-09-29,,483 days
Y7 prime 2018,,,2019-06-04,2019-06-04,,0 days
Y7 2018,,,2019-06-04,2019-06-04,,0 days
Y7,,,2019-06-04,2019-06-04,,0 days
Y6 prime 2018,,,2019-06-04,2019-06-04,,0 days
Y6 2019,,,2019-06-04,2020-09-29,,483 days
Y6 2018,,,2019-06-04,2020-06-18,,380 days
Y5 2018,,,2019-06-04,2020-06-18,,380 days
Honor 7A,,,2019-06-04,2020-06-18,,380 days
Honor 7S,,,2019-06-04,2020-09-29,,483 days
nova 2,,,2019-06-04,2019-06-04,,0 days
nova 2 lite,,,2019-06-04,2019-06-04,,0 days
nova lite 2,,,2019-06-04,2019-06-04,,0 days
P Smart,,,2019-06-04,2020-04-13,,314 days
P9 Lite mini,,,2019-06-04,2019-06-04,,0 days
