ID,CVE,year,month,spl_type,date,bug,link,Type,Severity,vul_true,component,devices,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,cwe,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity,cwe_info,Date
686,CVE-2018-11922,2018,12,12/5/18,,A-112279564,,,High,,Closed-source component,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-12-01
912,CVE-2018-9468,2018,09,9/5/18,,A-111084083,https://android.googlesource.com/platform/packages/providers/DownloadProvider/+/544294737dfc3b585465302f1f784a311659a37c,ID,High,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
914,CVE-2018-11816,2018,09,9/5/18,,"A-63527106,QC-CR#2119840",,,High,,Video,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
921,CVE-2016-10394,2018,09,9/5/18,,A-68326803,,,Critical,,Closed-source component,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
927,CVE-2016-10408,2018,09,9/5/18,,A-68326811,,,High,,Closed-source component,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
933,CVE-2018-11952,2018,09,9/5/18,,A-74236425,,,High,,Closed-source component,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
1289,CVE-2017-17768,2019,09,9/5/19,,"A-67748905,,QC-CR#2127172",https://source.codeaurora.org/quic/la/kernel/lk/commit/?id=0d06ad00c8d6630cd90016226c7d68eedb5a1132,,High,,LK bootloader,,CVE ID Not Found,,,,,,,,,,,,,,,,2019-09-01
2004,CVE-2014-9794,2016,07,7/5/16,8-Aug-14,"A-28821172,,QC-CR646385",https://us.codeaurora.org/cgit/quic/la//kernel/lk/commit/?id=f39085971c8c4e36cadbf8a72aabe6c7ff538ffa,,Critical,,,Nexus 7 (2013),Rejected reason: DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: CVE-2014-0973.  Reason: This candidate is a reservation duplicate of CVE-2014-0973.  Notes: All CVE users should reference CVE-2014-0973 instead of this candidate.  All references and descriptions in this candidate have been removed to prevent accidental usage,,2016-07-11T01:59:17.490,2023-11-07T02:23:11.517,,,,,,,,,,,,,2016-07-01
2023,CVE-2014-9791,2016,07,7/5/16,29-Aug-14,"A-28803396,,QC-CR659364",https://us.codeaurora.org/cgit/quic/la/kernel/msm/commit/?h=LA.BF.1.1.3_rb1.12&amp;id=9aabfc9e7775abbbcf534cdecccc4f12ee423b27,,High,,,Nexus 7 (2013),Rejected reason: DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: CVE-2014-0196.  Reason: This candidate is a reservation duplicate of CVE-2014-0196.  Notes: All CVE users should reference CVE-2014-0196 instead of this candidate.  All references and descriptions in this candidate have been removed to prevent accidental usage,,2016-07-11T01:59:15.240,2023-11-07T02:23:11.277,,,,,,,,,,,,,2016-07-01
3677,CVE-2021-39673,2022,10,10/1/22,,A-195410559,"https://android.googlesource.com/platform/packages/modules/Bluetooth/+/8f848255dea47710275f1eac7c4e635b1f5faa0b"" rel=""noreferrer,https://android.googlesource.com/platform/packages/modules/Bluetooth/+/90d2a6a82b35e32f70938112125a202a7f37964b"" rel=""noreferrer",ID,High,13,,,CVE ID Not Found,,,,,,,,,,,,,,,,2022-10-01
3714,CVE-2022-2209,2022,11,11/1/22,,A-235601882,"https://android.googlesource.com/platform/frameworks/av/+/0a9d181281753f911524291ffa6d1b677e36b589"" rel=""noreferrer",EoP,High,"10, 11, 12, 12L, 13",,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. Reason: This CVE has been rejected as it was incorrectly assigned. All references and descriptions in this candidate have been removed to prevent accidental usage,,2022-07-22T11:15:07.923,2023-11-07T03:46:17.390,,,,,,,,,,,,,2022-11-01
3730,CVE-2022-2209,2022,11,11/1/22,,,,,,,Media Framework components,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER. Reason: This CVE has been rejected as it was incorrectly assigned. All references and descriptions in this candidate have been removed to prevent accidental usage,,2022-07-22T11:15:07.923,2023-11-07T03:46:17.390,,,,,,,,,,,,,2022-11-01
3863,CVE-2022-25704,2022,09,9/5/22,,"A-235102694,,QC-CR#3155069","https://git.codelinaro.org/clo/la/platform/vendor/qcom-opensource/system/bt/-/commit/7cb8bca395eb89c36975dbc89d0a4f17c975bb99"" rel=""noreferrer,https://git.codelinaro.org/clo/la/platform/vendor/qcom-opensource/system/bt/-/commit/edcf32db20f525b7e6ef3ab0751c7e57d9a8b046"" rel=""noreferrer",,High,,Bluetooth,,CVE ID Not Found,,,,,,,,,,,,,,,,2022-09-01
223,CVE-2017-6281,2018,03,3/5/18,,"A-66969318,N-CVE-2017-6281",,EoP,High,,Libnvomx,,NVIDIA libnvomx contains a possible out of bounds write due to a improper input validation which could lead to local escalation of privilege. This issue is rated as high. Product: Android. Version: N/A. Android: A-66969318. Reference: N-CVE-2017-6281.,,2018-03-12T13:29:00.337,2018-04-04T15:00:57.023,CWE-20,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Improper Input Validation,2018-03-01
223,CVE-2017-6281,2018,03,3/5/18,,"A-66969318,N-CVE-2017-6281",,EoP,High,,Libnvomx,,NVIDIA libnvomx contains a possible out of bounds write due to a improper input validation which could lead to local escalation of privilege. This issue is rated as high. Product: Android. Version: N/A. Android: A-66969318. Reference: N-CVE-2017-6281.,,2018-03-12T13:29:00.337,2018-04-04T15:00:57.023,CWE-787,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Out-of-bounds Write,2018-03-01
224,CVE-2017-6286,2018,03,3/5/18,,"A-64893247,N-CVE-2017-6286",,EoP,High,,Libnvomx,,NVIDIA libnvomx contains a possible out of bounds write due to a missing bounds check which could lead to local escalation of privilege. This issue is rated as high. Product: Android. Version: N/A. Android: A-64893247. Reference: N-CVE-2017-6286.,,2018-03-12T13:29:00.447,2018-04-04T15:01:17.587,CWE-787,cvssMetricV30,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Out-of-bounds Write,2018-03-01
259,CVE-2017-16534,2018,04,4/5/18,,"A-69052594,",https://github.com/torvalds/linux/commit/2e1c42391ff2556387b3cb6308b24f6f65619feb,ID,High,,USB,,The cdc_parse_cdc_header function in drivers/usb/core/message.c in the Linux kernel before 4.13.6 allows local users to cause a denial of service (out-of-bounds read and system crash) or possibly have unspecified other impact via a crafted USB device.,4.13.6,2017-11-04T01:29:37.117,2024-02-16T18:54:37.580,CWE-119,cvssMetricV31,PHYSICAL,LOW,NONE,NONE,HIGH,HIGH,HIGH,6.8,MEDIUM,Improper Restriction of Operations within the Bounds of a Memory Buffer,2018-04-01
299,CVE-2014-9996,2018,04,4/5/18,,A-37535090,,,Critical,,Closed-source component,,"In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile SD 400 and SD 800, while verifying provisioning, a buffer overflow can occur.",,2018-04-18T14:29:02.340,2018-05-09T17:16:06.153,CWE-119,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Improper Restriction of Operations within the Bounds of a Memory Buffer,2018-04-01
300,CVE-2014-9971,2018,04,4/5/18,,A-37546253,,,High,,Closed-source component,,"In all Qualcomm products with Android releases from CAF using the Linux kernel, disabling asserts causes an instruction inside of an assert to not be executed resulting in incorrect control flow.",,2017-08-18T18:29:00.377,2018-04-19T01:29:00.627,CWE-20,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Improper Input Validation,2018-04-01
301,CVE-2014-9972,2018,04,4/5/18,,A-37546853,,,High,,Closed-source component,,"In all Qualcomm products with Android releases from CAF using the Linux kernel, disabling asserts can potentially cause a NULL pointer dereference during an out-of-memory condition.",,2017-08-18T18:29:00.407,2018-04-19T01:29:00.707,CWE-476,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,NULL Pointer Dereference,2018-04-01
302,CVE-2014-10063,2018,04,4/5/18,,A-37534948,,,High,,Closed-source component,,"In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile MDM9625 and SD 800, a fuse is not correctly blown on a secure device.",,2018-04-18T14:29:01.277,2018-05-09T20:57:36.803,CWE-254,cvssMetricV30,NETWORK,LOW,NONE,NONE,NONE,HIGH,NONE,7.5,HIGH,7PK - Security Features,2018-04-01
303,CVE-2014-10057,2018,04,4/5/18,,A-62261099,,,High,,Closed-source component,,"In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile MDM9615, MDM9625, MDM9635M, MDM9640, MDM9650, SD 210/SD 212/SD 205, SD 400, SD 425, SD 430, SD 435, SD 617, SD 625, and Snapdragon_High_Med_2016, binary Calibration files under data/misc/audio have 777 permissions.",,2018-04-18T14:29:01.073,2018-05-09T20:54:17.843,CWE-264,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,"Permissions, Privileges, and Access Controls",2018-04-01
304,CVE-2014-10059,2018,04,4/5/18,,A-62260706,,,High,,Closed-source component,,"In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile MDM9615, MDM9625, SD 210/SD 212/SD 205, SD 400, and SD 800, improper access control on ATCMD service allows third party services to access without user knowledge.",,2018-04-18T14:29:01.167,2018-05-09T17:33:19.267,CWE-284,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Improper Access Control,2018-04-01
305,CVE-2014-10053,2018,04,4/5/18,,A-37544066,,,High,,Closed-source component,,"In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Automobile, Snapdragon Mobile, and Snapdragon Wear MDM9206, MDM9650, MSM8909W, SD 210/SD 212/SD 205, SD 400, SD 410/12, SD 425, SD 430, SD 615/16/SD 415, SD 450, SD 617, SD 625, SD 650/52, SD 800, SD 808, SD 810, SD 820, SD 820A, SD 835, SD 845, and SD 850, data access is not properly validated in the Widevine secure application.",,2018-04-18T14:29:00.857,2018-05-09T20:52:38.267,CWE-284,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Improper Access Control,2018-04-01
306,CVE-2014-10054,2018,04,4/5/18,,A-62261100,,,High,,Closed-source component,,"In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Automobile, Snapdragon Mobile, and Snapdragon Wear MDM9206, MDM9607, MDM9635M, MDM9640, MDM9650, MSM8909W, QCA6174A, QCA6574AU, QCA9377, QCA9379, SD 210/SD 212/SD 205, SD 400, SD 450, SD 410/12, SD 425, SD 430, SD 600, SD 615/16/SD 415, SD 617, SD 625, SD 650/52, SD 800, SD 808, SD 810, SD 820, and SDX20, lack of input validation on BT HCI commands processing allows privilege escalation.",,2018-04-18T14:29:00.903,2018-05-09T17:36:58.103,CWE-264,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,"Permissions, Privileges, and Access Controls",2018-04-01
307,CVE-2014-10052,2018,04,4/5/18,,A-62258372,,,High,,Closed-source component,,"In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile, Snapdragon Wear, and Small Cell SoC FSM9055, IPQ4019, MDM9206, MDM9607, MDM9625, MDM9635M, MDM9640, MDM9645, MDM9650, MDM9655, MSM8909W, SD 210/SD 212/SD 205, SD 400, SD 410/12, SD 600, SD 615/16/SD 415, SD 617, SD 650/52, SD 800, SD 808, SD 810, SD 835, and SDX20, the reserved memory of TZ subsystem (like TZ apps and some PIL image subsystem) is not cleared after being used.",,2018-04-18T14:29:00.807,2018-05-10T16:24:37.213,CWE-119,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Improper Restriction of Operations within the Bounds of a Memory Buffer,2018-04-01
308,CVE-2014-10050,2018,04,4/5/18,,A-37546901,,,High,,Closed-source component,,"In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile MSM8996, MSM8939, MSM8976, MSM8917, SDM845, and SDM660, access control collision vulnerability when accessing the replay protected memory block.",,2018-04-18T14:29:00.700,2018-05-09T17:37:51.623,CWE-284,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Improper Access Control,2018-04-01
309,CVE-2014-10055,2018,04,4/5/18,,A-37545605,,,High,,Closed-source component,,"In Android before 2018-04-05 or earlier security patch level on Qualcomm Snapdragon Mobile SD 400 and SD 800, there could be leakage of protected contents if HLOS doesn't request for security restoration for OCMEM xPU's.",,2018-04-18T14:29:00.963,2018-05-09T20:53:18.930,CWE-200,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,Exposure of Sensitive Information to an Unauthorized Actor,2018-04-01
