CVE,SPL,SMR,Year,Month,Date_lg,ID_asb,year_asb,month_asb,spl_type_asb,date_asb,bug_asb,link_asb,Type_asb,Severity_asb,vul_true,component_asb,devices_asb,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,cwe,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity,cwe_info,Date_asb
CVE-2014-9797,23-Aug,,2023,08,2023-08-01,2022,2016,07,7/5/16,3-Jul-14,"A-28821090,,QC-CR674071",https://us.codeaurora.org/cgit/quic/la//kernel/lk/commit/?id=3312737f3e1ec84dd67ee0622c7dd031083f71a4,,High,,,Nexus 5,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: CVE-2014-0974.  Reason: This candidate is a reservation duplicate of CVE-2014-0974.  Notes: All CVE users should reference CVE-2014-0974 instead of this candidate.  All references and descriptions in this candidate have been removed to prevent accidental usage,,2016-07-11T01:59:19.757,2023-11-07T02:23:11.750,,,,,,,,,,,,,2016-07-01
CVE-2016-2438,23-May,,2023,05,2023-05-01,1930,2016,05,5/1/16,Google Internal,26636060*,,,High,,,Nexus 9,"Rejected reason: DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: CVE-2016-2547, CVE-2016-2548.  Reason: This candidate is a duplicate of CVE-2016-2547 and CVE-2016-2548.  Notes: All CVE users should reference CVE-2016-2547 and/or CVE-2016-2548 instead of this candidate.  All references and descriptions in this candidate have been removed to prevent accidental usage",,2016-05-09T10:59:15.407,2023-11-07T02:31:11.450,,,,,,,,,,,,,2016-05-01
CVE-2016-10240,23-Jun,,2023,06,2023-06-01,3519,2017,05,5/5/17,Qualcomm internal,"A-32578446**,QC-CR#955710",,,Critical,,,Nexus 6P,CVE ID Not Found,,,,,,,,,,,,,,,,2017-05-01
CVE-2016-10241,23-Jun,,2023,06,2023-06-01,3520,2017,05,5/5/17,Qualcomm internal,"A-35436149**,QC-CR#1068577",,,Critical,,,"Nexus 5X, Nexus 6, Nexus 6P, Pixel, Pixel XL",CVE ID Not Found,,,,,,,,,,,,,,,,2017-05-01
CVE-2016-10278,23-Jun,,2023,06,2023-06-01,3521,2017,05,5/5/17,Qualcomm internal,"A-31624008**,QC-CR#1043004",,,High,,,"Pixel, Pixel XL",CVE ID Not Found,,,,,,,,,,,,,,,,2017-05-01
CVE-2016-10279,23-Jun,,2023,06,2023-06-01,3522,2017,05,5/5/17,Qualcomm internal,"A-31624421**,QC-CR#1031821",,,High,,,"Pixel, Pixel XL",CVE ID Not Found,,,,,,,,,,,,,,,,2017-05-01
CVE-2018-9475,23-Sep,,2023,09,2023-09-01,898,2018,09,9/1/18,,A-79266386,https://android.googlesource.com/platform/system/bt/+/43cd528a444d0cc5bbf3beb22cd583289bcf7334,EoP,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9478,23-Sep,,2023,09,2023-09-01,899,2018,09,9/1/18,,A-79217522,https://android.googlesource.com/platform/system/bt/+/68688194eade113ad31687a730e8d4102ada58d5,EoP,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9479,23-Sep,,2023,09,2023-09-01,900,2018,09,9/1/18,,A-79217770,https://android.googlesource.com/platform/system/bt/+/68688194eade113ad31687a730e8d4102ada58d5,EoP,Critical,"7.0, 7.1.1, 7.1.2, 8.0, 8.1, 9",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-09-01
CVE-2018-9411,23-Sep,,2023,09,2023-09-01,817,2018,07,7/1/18,,A-79376389,https://android.googlesource.com/platform/system/libhidl/+/e1302cfda34be9dd0a4aeae6bfa9561b44536758,RCE,Critical,"8.0, 8.1",,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-07-01
