CVE,vul_true,SPL,SMR,cwe,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity
LVE-SMP-160010,"L(5.0/5.1), M(6.0)",16-Dec,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2016-6697,,23-Nov,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2016-3919,,23-Oct,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: CVE-2016-5195.  Reason: This candidate is a reservation duplicate of CVE-2016-5195.  Notes: All CVE users should reference CVE-2016-5195 instead of this candidate.  All references and descriptions in this candidate have been removed to prevent accidental usage,None,2016-11-25T18:59:00.167,2023-11-07T02:32:31.600,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2016-3891,,23-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2016-25040,,23-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
LVE-SMP-160027,"L(5.0.2/5.1.1), M(6.0/6.0.1)",16-Sep,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2016-38225,,23-Aug,,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2014-9797,,23-Aug,,,Rejected reason: DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: CVE-2014-0974.  Reason: This candidate is a reservation duplicate of CVE-2014-0974.  Notes: All CVE users should reference CVE-2014-0974 instead of this candidate.  All references and descriptions in this candidate have been removed to prevent accidental usage,None,2016-07-11T01:59:19.757,2023-11-07T02:23:11.750,nan,nan,nan,nan,nan,nan,nan,nan,,nan
CVE-2016-3117,,16-Jul,LVE-SMP-160002,None,CVE ID Not Found,None,None,None,None,None,None,None,None,None,None,None,None,None
CVE-2016-2438,,23-May,,,"Rejected reason: DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: CVE-2016-2547, CVE-2016-2548.  Reason: This candidate is a duplicate of CVE-2016-2547 and CVE-2016-2548.  Notes: All CVE users should reference CVE-2016-2547 and/or CVE-2016-2548 instead of this candidate.  All references and descriptions in this candidate have been removed to prevent accidental usage",None,2016-05-09T10:59:15.407,2023-11-07T02:31:11.450,nan,nan,nan,nan,nan,nan,nan,nan,,nan
