ID,CVE,descrip,vul_true,SPL,SMR,date,last_mod,severity,confid,integrity,availability,req_privileges,attack_vector,attack_complexity,user_req,cwe,cwe_info
1,CVE-2016-3862,"media/ExifInterface.java in mediaserver in Android 4.x before 4.4.4, 5.0.x before 5.0.2, 5.1.x before 5.1.1, and 6.x before 2016-09-01 does not properly interact with the use of static variables in libjhead_jni, which allows remote attackers to execute arbitrary code or cause a denial of service (memory corruption) via a crafted media file, aka internal bug 29270469.",,16-Dec,NULL,2016-09-11T21:59:04.210,2017-08-13T01:29:07.413,HIGH,HIGH,HIGH,HIGH,NONE,LOCAL,LOW,REQUIRED,CWE-119,"The product performs operations on a memory buffer, but it can read from or write to a memory location that is outside of the intended boundary of the buffer. "
2,CVE-2016-6727,The Qualcomm GPS subsystem in Android on Android One devices allows remote attackers to execute arbitrary code.,,16-Dec,NULL,2017-04-17T16:59:00.243,2017-04-24T15:06:24.683,CRITICAL,HIGH,HIGH,HIGH,NONE,NETWORK,LOW,NONE,CWE-264,"Weaknesses in this category are related to the management of permissions, privileges, and other security features that are used to perform access control."
3,CVE-2016-6725,A remote code execution vulnerability in the Qualcomm crypto driver in Android before 2016-11-05 could enable a remote attacker to execute arbitrary code within the context of the kernel. This issue is rated as Critical due to the possibility of remote code execution in the context of the kernel. Android ID: A-30515053. References: Qualcomm QC-CR#1050970.,,16-Dec,NULL,2016-11-25T16:59:29.003,2016-11-28T20:34:45.653,CRITICAL,HIGH,HIGH,HIGH,NONE,NETWORK,LOW,NONE,CWE-284,The product does not restrict or incorrectly restricts access to a resource from an unauthorized actor. 
4,CVE-2016-6726,Unspecified vulnerability in Qualcomm components in Android on Nexus 6 and Android One devices.,,16-Dec,NULL,2017-04-17T16:59:00.213,2017-04-20T17:23:05.233,CRITICAL,HIGH,HIGH,HIGH,NONE,NETWORK,LOW,NONE,NVD-CWE-noinfo,NVD-CWE-noinfo
5,CVE-2016-6728,"An elevation of privilege vulnerability in the kernel ION subsystem in Android before 2016-11-05 could enable a local malicious application to execute arbitrary code within the context of the kernel. This issue is rated as Critical due to the possibility of a local permanent device compromise, which may require reflashing the operating system to repair the device. Android ID: A-30400942.",,16-Dec,NULL,2016-11-25T16:59:30.083,2016-11-28T20:34:46.717,HIGH,HIGH,HIGH,HIGH,NONE,LOCAL,LOW,REQUIRED,CWE-264,"Weaknesses in this category are related to the management of permissions, privileges, and other security features that are used to perform access control."
6,CVE-2016-6729,"An elevation of privilege vulnerability in the Qualcomm bootloader in Android before 2016-11-05 could enable a local malicious application to execute arbitrary code within the context of the kernel. This issue is rated as Critical due to the possibility of a local permanent device compromise, which may require reflashing the operating system to repair the device. Android ID: A-30977990. References: Qualcomm QC-CR#977684.",,16-Dec,NULL,2016-11-25T16:59:30.987,2016-11-28T20:34:47.747,HIGH,HIGH,HIGH,HIGH,NONE,LOCAL,LOW,REQUIRED,CWE-264,"Weaknesses in this category are related to the management of permissions, privileges, and other security features that are used to perform access control."
7,CVE-2016-6828,"The tcp_check_send_head function in include/net/tcp.h in the Linux kernel before 4.7.5 does not properly maintain certain SACK state after a failed data copy, which allows local users to cause a denial of service (tcp_xmit_retransmit_queue use-after-free and system crash) via a crafted SACK option.",,16-Dec,NULL,2016-10-16T21:59:08.053,2023-02-12T23:25:10.540,MEDIUM,NONE,NONE,HIGH,LOW,LOCAL,LOW,NONE,CWE-416,"Referencing memory after it has been freed can cause a program to crash, use unexpected values, or execute code. "
8,CVE-2016-2184,"The create_fixed_stream_quirk function in sound/usb/quirks.c in the snd-usb-audio driver in the Linux kernel before 4.5.1 allows physically proximate attackers to cause a denial of service (NULL pointer dereference or double free, and system crash) via a crafted endpoints value in a USB device descriptor.",,16-Dec,NULL,2016-04-27T17:59:09.867,2023-09-12T14:55:31.563,MEDIUM,NONE,NONE,HIGH,NONE,PHYSICAL,LOW,NONE,NVD-CWE-Other,NVD-CWE-Other
9,CVE-2016-7910,Use-after-free vulnerability in the disk_seqf_stop function in block/genhd.c in the Linux kernel before 4.7.1 allows local users to gain privileges by leveraging the execution of a certain stop operation even if the corresponding start operation had failed.,,16-Dec,NULL,2016-11-16T05:59:05.110,2023-01-19T16:08:01.637,HIGH,HIGH,HIGH,HIGH,NONE,LOCAL,LOW,REQUIRED,CWE-416,"Referencing memory after it has been freed can cause a program to crash, use unexpected values, or execute code. "
10,CVE-2016-7911,Race condition in the get_task_ioprio function in block/ioprio.c in the Linux kernel before 4.6.6 allows local users to gain privileges or cause a denial of service (use-after-free) via a crafted ioprio_get system call.,,16-Dec,NULL,2016-11-16T05:59:06.123,2023-01-19T16:05:34.957,HIGH,HIGH,HIGH,HIGH,NONE,LOCAL,LOW,REQUIRED,"CWE-362,CWE-416","The product contains a code sequence that can run concurrently with other code, and the code sequence requires temporary, exclusive access to a shared resource, but a timing window exists in which the shared resource can be modified by another code sequence that is operating concurrently. ,Referencing memory after it has been freed can cause a program to crash, use unexpected values, or execute code. "
