CVE,vul_true,SPL,SMR
CVE-2016-3862,,16-Dec,NULL
CVE-2016-6727,,16-Dec,NULL
CVE-2016-6725,,16-Dec,NULL
CVE-2016-6726,,16-Dec,NULL
CVE-2016-6728,,16-Dec,NULL
CVE-2016-6729,,16-Dec,NULL
CVE-2016-6828,,16-Dec,NULL
CVE-2016-2184,,16-Dec,NULL
CVE-2016-7910,,16-Dec,NULL
CVE-2016-7911,,16-Dec,NULL
CVE-2015-8961,,16-Dec,NULL
CVE-2015-8962,,16-Dec,NULL
CVE-2016-7912,,16-Dec,NULL
CVE-2016-7913,,16-Dec,NULL
CVE-2016-6737,,16-Dec,NULL
CVE-2013-7446,,16-Dec,NULL
CVE-2016-5419,,16-Dec,NULL
CVE-2016-5420,,16-Dec,NULL
CVE-2016-5421,,16-Dec,NULL
CVE-2016-6762,,16-Dec,NULL
CVE-2015-6621,,16-Dec,NULL
CVE-2016-6704,,16-Dec,NULL
CVE-2016-6763,,16-Dec,NULL
CVE-2016-6764,,16-Dec,NULL
CVE-2016-6765,,16-Dec,NULL
CVE-2016-6766,,16-Dec,NULL
CVE-2016-6767,,16-Dec,NULL
CVE-2016-6768,,16-Dec,NULL
CVE-2016-0718,,16-Dec,NULL
CVE-2012-6702,,16-Dec,NULL
CVE-2016-5300,,16-Dec,NULL
CVE-2015-1283,,16-Dec,NULL
CVE-2016-6754,,16-Dec,NULL
CVE-2014-9675,,16-Dec,NULL
CVE-2016-6136,,16-Dec,NULL
CVE-2016-6738,,16-Dec,NULL
CVE-2016-6739,,16-Dec,NULL
CVE-2016-6740,,16-Dec,NULL
CVE-2016-6741,,16-Dec,NULL
CVE-2016-3904,,16-Dec,NULL
CVE-2016-6742,,16-Dec,NULL
CVE-2016-6743,,16-Dec,NULL
CVE-2016-6744,,16-Dec,NULL
CVE-2016-6745,,16-Dec,NULL
CVE-2015-8963,,16-Dec,NULL
CVE-2014-9874,,16-Dec,NULL
CVE-2016-3850,,16-Dec,NULL
CVE-2016-7914,,16-Dec,NULL
CVE-2015-8964,,16-Dec,NULL
CVE-2016-7915,,16-Dec,NULL
CVE-2016-7916,,16-Dec,NULL
CVE-2016-6769,,16-Dec,NULL
CVE-2016-6770,,16-Dec,NULL
CVE-2016-6771,,16-Dec,NULL
CVE-2016-6772,,16-Dec,NULL
CVE-2016-6773,,16-Dec,NULL
CVE-2016-6774,,16-Dec,NULL
CVE-2016-6748,,16-Dec,NULL
CVE-2016-6749,,16-Dec,NULL
CVE-2016-6750,,16-Dec,NULL
CVE-2016-3906,,16-Dec,NULL
CVE-2016-3907,,16-Dec,NULL
CVE-2016-6698,,16-Dec,NULL
CVE-2016-6751,,16-Dec,NULL
CVE-2016-6752,,16-Dec,NULL
CVE-2016-6753,,16-Dec,NULL
CVE-2016-7917,,16-Dec,NULL
CVE-2016-7917,,16-Dec,NULL
LVE-SMP-160010,"L(5.0/5.1), M(6.0)",16-Dec,NULL
CVE-2016-6699,,16-Nov,NULL
CVE-2016-2108,,16-Nov,NULL
CVE-2016-3862,,16-Nov,NULL
CVE-2016-6700,,16-Nov,NULL
CVE-2016-3926,,16-Nov,NULL
CVE-2016-0758,,16-Nov,NULL
CVE-2016-3927,,16-Nov,NULL
CVE-2016-3928,,16-Nov,NULL
CVE-2016-5340,,16-Nov,NULL
CVE-2016-7117,,16-Nov,NULL
CVE-2016-6701,,16-Nov,NULL
CVE-2016-6702,,16-Nov,NULL
CVE-2016-6703,,16-Nov,NULL
CVE-2016-6704,,16-Nov,NULL
CVE-2016-6705,,16-Nov,NULL
CVE-2016-6706,,16-Nov,NULL
CVE-2016-6707,,16-Nov,NULL
CVE-2016-6708,,16-Nov,NULL
CVE-2016-3912,,16-Nov,NULL
CVE-2016-3911,,16-Nov,NULL
CVE-2016-6709,,16-Nov,NULL
CVE-2016-6710,,16-Nov,NULL
CVE-2014-9908,,16-Nov,NULL
CVE-2015-0410,,16-Nov,NULL
CVE-2016-6711,,16-Nov,NULL
CVE-2016-6712,,16-Nov,NULL
CVE-2016-6713,,16-Nov,NULL
CVE-2016-6714,,16-Nov,NULL
CVE-2016-3754,,16-Nov,NULL
CVE-2016-2059,,16-Nov,NULL
CVE-2016-3929,,16-Nov,NULL
CVE-2016-3930,,16-Nov,NULL
CVE-2016-3931,,16-Nov,NULL
CVE-2016-3932,,16-Nov,NULL
CVE-2016-3933,,16-Nov,NULL
CVE-2016-3903,,16-Nov,NULL
CVE-2016-3934,,16-Nov,NULL
CVE-2015-8951,,16-Nov,NULL
CVE-2016-3901,,16-Nov,NULL
CVE-2016-3935,,16-Nov,NULL
CVE-2016-3936,,16-Nov,NULL
CVE-2016-3937,,16-Nov,NULL
CVE-2016-3938,,16-Nov,NULL
CVE-2016-3939,,16-Nov,NULL
CVE-2016-3940,,16-Nov,NULL
CVE-2016-6672,,16-Nov,NULL
CVE-2016-6673,,16-Nov,NULL
CVE-2016-6674,,16-Nov,NULL
CVE-2016-3905,,16-Nov,NULL
CVE-2016-6675,,16-Nov,NULL
CVE-2016-6676,,16-Nov,NULL
CVE-2016-5342,,16-Nov,NULL
CVE-2015-8955,,16-Nov,NULL
CVE-2015-8950,,16-Nov,NULL
CVE-2016-6677,,16-Nov,NULL
CVE-2016-3809,,16-Nov,NULL
CVE-2016-6691,,16-Nov,NULL
CVE-2016-6692,,16-Nov,NULL
CVE-2016-6693,,16-Nov,NULL
CVE-2016-6694,,16-Nov,NULL
CVE-2016-6695,,16-Nov,NULL
CVE-2016-6696,,16-Nov,NULL
CVE-2016-5344,,16-Nov,NULL
CVE-2016-6697,,23-Nov,NULL
CVE-2016-3921,,16-Nov,NULL
CVE-2016-3922,,16-Nov,NULL
CVE-2016-3923,,16-Nov,NULL
CVE-2016-3885,,16-Nov,NULL
CVE-2016-3924,,16-Nov,NULL
CVE-2016-3925,,16-Nov,NULL
CVE-2016-3892,,16-Nov,NULL
CVE-2016-3893,,16-Nov,NULL
CVE-2016-3894,,16-Nov,NULL
CVE-2016-4998,,16-Nov,NULL
CVE-2015-2922,,16-Nov,NULL
CVE-2014-9529,,16-Oct,NULL
CVE-2016-4470,,16-Oct,NULL
CVE-2013-7446,,16-Oct,NULL
CVE-2016-3134,,16-Oct,NULL
CVE-2016-3951,,16-Oct,NULL
CVE-2016-3900,,16-Oct,NULL
CVE-2016-3908,,16-Oct,NULL
CVE-2016-3909,,16-Oct,NULL
CVE-2016-3910,,16-Oct,NULL
CVE-2016-3913,,16-Oct,NULL
CVE-2016-3911,,16-Oct,NULL
CVE-2016-3912,,16-Oct,NULL
CVE-2016-3914,,16-Oct,NULL
CVE-2016-3915,,16-Oct,NULL
CVE-2016-3916,,16-Oct,NULL
CVE-2016-3917,,16-Oct,NULL
CVE-2016-3918,,16-Oct,NULL
CVE-2016-3882,,16-Oct,NULL
CVE-2016-3919,,23-Oct,NULL
CVE-2016-3920,,16-Oct,NULL
CVE-2014-4655,,16-Oct,NULL
CVE-2016-2053,,16-Oct,NULL
CVE-2016-3864,,16-Oct,NULL
CVE-2016-3858,,16-Oct,NULL
CVE-2016-4805,,16-Oct,NULL
CVE-2016-3865,,16-Oct,NULL
CVE-2016-3859,,16-Oct,NULL
CVE-2016-3866,,16-Oct,NULL
CVE-2016-3867,,16-Oct,NULL
CVE-2016-3868,,16-Oct,NULL
CVE-2016-3869,,16-Oct,NULL
CVE-2016-1583,,16-Oct,NULL
CVE-2016-3874,,16-Oct,NULL
CVE-2016-2471,,16-Oct,NULL
CVE-2015-1465,,16-Oct,NULL
CVE-2015-5364,,16-Oct,NULL
CVE-2015-8839,,16-Oct,NULL
CVE-2016-2469,,16-Oct,NULL
CVE-2016-6715,,16-Oct,NULL
CVE-2016-6716,,16-Oct,NULL
CVE-2016-6717,,16-Oct,NULL
CVE-2016-6718,,16-Oct,NULL
CVE-2016-6719,,16-Oct,NULL
CVE-2016-3889,,16-Oct,NULL
CVE-2016-6720,,16-Oct,NULL
CVE-2016-6721,,16-Oct,NULL
CVE-2016-6722,,16-Oct,NULL
CVE-2016-6723,,16-Oct,NULL
CVE-2016-6724,,16-Oct,NULL
CVE-2015-0572,,16-Oct,NULL
CVE-2016-3860,,16-Oct,NULL
CVE-2016-6678,,16-Oct,NULL
CVE-2016-6679,,16-Oct,NULL
CVE-2016-3902,,16-Oct,NULL
CVE-2016-6680,,16-Oct,NULL
CVE-2016-6681,,16-Oct,NULL
CVE-2016-6682,,16-Oct,NULL
CVE-2016-6683,,16-Oct,NULL
CVE-2016-6684,,16-Oct,NULL
CVE-2015-8956,,16-Oct,NULL
CVE-2016-6685,,16-Oct,NULL
CVE-2016-6686,,16-Oct,NULL
CVE-2016-6687,,16-Oct,NULL
CVE-2016-6688,,16-Oct,NULL
CVE-2016-6689,,16-Oct,NULL
CVE-2016-5696,,16-Oct,NULL
CVE-2016-6690,,16-Oct,NULL
CVE-2016-3861,,16-Sep,NULL
CVE-2016-3862,,16-Sep,NULL
CVE-2016-2429,,16-Sep,NULL
CVE-2014-9902,,16-Sep,NULL
CVE-2016-3840,,16-Sep,NULL
CVE-2015-2686,,16-Sep,NULL
CVE-2016-3841,,16-Sep,NULL
CVE-2016-2504,,16-Sep,NULL
CVE-2016-3842,,16-Sep,NULL
CVE-2016-3843,,16-Sep,NULL
CVE-2016-3857,,16-Sep,NULL
CVE-2016-2474,,16-Sep,NULL
CVE-2016-3863,,16-Sep,NULL
CVE-2016-3822,,16-Sep,NULL
CVE-2016-3870,,16-Sep,NULL
CVE-2016-3871,,16-Sep,NULL
CVE-2016-3872,,16-Sep,NULL
CVE-2016-3875,,16-Sep,NULL
CVE-2016-3876,,16-Sep,NULL
CVE-2016-3877,,16-Sep,NULL
CVE-2016-3823,,16-Sep,NULL
CVE-2016-3899,,16-Sep,NULL
CVE-2016-3878,,16-Sep,NULL
CVE-2016-3879,,16-Sep,NULL
CVE-2016-3880,,16-Sep,NULL
CVE-2016-3881,,16-Sep,NULL
CVE-2016-2495,,16-Sep,NULL
CVE-2014-9863,,16-Sep,NULL
CVE-2014-9864,,16-Sep,NULL
CVE-2014-9865,,16-Sep,NULL
CVE-2014-9866,,16-Sep,NULL
CVE-2014-9867,,16-Sep,NULL
CVE-2014-9868,,16-Sep,NULL
CVE-2014-9869,,16-Sep,NULL
CVE-2014-9870,,16-Sep,NULL
CVE-2014-9871,,16-Sep,NULL
CVE-2014-9872,,16-Sep,NULL
CVE-2014-9873,,16-Sep,NULL
CVE-2014-9874,,16-Sep,NULL
CVE-2014-9875,,16-Sep,NULL
CVE-2014-9876,,16-Sep,NULL
CVE-2014-9877,,16-Sep,NULL
CVE-2014-9878,,16-Sep,NULL
CVE-2014-9879,,16-Sep,NULL
CVE-2014-9880,,16-Sep,NULL
CVE-2014-9881,,16-Sep,NULL
CVE-2014-9882,,16-Sep,NULL
CVE-2014-9883,,16-Sep,NULL
CVE-2014-9884,,16-Sep,NULL
CVE-2014-9885,,16-Sep,NULL
CVE-2014-9886,,16-Sep,NULL
CVE-2014-9887,,16-Sep,NULL
CVE-2014-9888,,16-Sep,NULL
CVE-2014-9889,,16-Sep,NULL
CVE-2014-9890,,16-Sep,NULL
CVE-2014-9891,,16-Sep,NULL
CVE-2015-8937,,16-Sep,NULL
CVE-2015-8938,,16-Sep,NULL
CVE-2015-8939,,16-Sep,NULL
CVE-2015-8940,,16-Sep,NULL
CVE-2015-8941,,16-Sep,NULL
CVE-2015-8942,,16-Sep,NULL
CVE-2015-8943,,16-Sep,NULL
CVE-2016-2544,,16-Sep,NULL
CVE-2016-2546,,16-Sep,NULL
CVE-2014-9904,,16-Sep,NULL
CVE-2012-6701,,16-Sep,NULL
CVE-2016-3844,,16-Sep,NULL
CVE-2016-3845,,16-Sep,NULL
CVE-2016-3846,,16-Sep,NULL
CVE-2016-3847,,16-Sep,NULL
CVE-2016-3848,,16-Sep,NULL
CVE-2016-3849,,16-Sep,NULL
CVE-2016-3850,,16-Sep,NULL
CVE-2016-3843,,16-Sep,NULL
CVE-2016-3851,,16-Sep,NULL
CVE-2014-9892,,16-Sep,NULL
CVE-2014-9893,,16-Sep,NULL
CVE-2014-9894,,16-Sep,NULL
CVE-2014-9895,,16-Sep,NULL
CVE-2014-9896,,16-Sep,NULL
CVE-2014-9897,,16-Sep,NULL
CVE-2014-9898,,16-Sep,NULL
CVE-2014-9899,,16-Sep,NULL
CVE-2014-9900,,16-Sep,NULL
CVE-2015-8944,,16-Sep,NULL
CVE-2014-9903,,16-Sep,NULL
CVE-2016-3852,,16-Sep,NULL
CVE-2016-4482,,16-Sep,NULL
CVE-2014-9901,,16-Sep,NULL
CVE-2016-3854,,16-Sep,NULL
CVE-2016-3855,,16-Sep,NULL
CVE-2016-3856,,16-Sep,NULL
CVE-2016-3883,,16-Sep,NULL
CVE-2016-3884,,16-Sep,NULL
CVE-2016-3885,,16-Sep,NULL
CVE-2016-3886,,16-Sep,NULL
CVE-2016-3887,,16-Sep,NULL
CVE-2016-3888,,16-Sep,NULL
CVE-2016-3889,,16-Sep,NULL
CVE-2016-3890,,16-Sep,NULL
CVE-2016-3891,,23-Sep,NULL
CVE-2016-3833,,16-Sep,NULL
CVE-2016-3895,,16-Sep,NULL
CVE-2016-3896,,16-Sep,NULL
CVE-2016-3897,,16-Sep,NULL
CVE-2016-3898,,16-Sep,NULL
CVE-2016-3853,,16-Sep,NULL
CVE-2016-2497,,16-Sep,NULL
CVE-2016-4578,,16-Sep,NULL
CVE-2016-4569,,16-Sep,NULL
CVE-2016-4578,,16-Sep,NULL
CVE-2016-2427,,16-Sep,NULL
CVE-2016-2503,,16-Sep,NULL
CVE-2016-2504,,16-Sep,NULL
CVE-2016-2059,,16-Sep,NULL
CVE-2016-5340,,16-Sep,NULL
CVE-2016-25040,,23-Sep,NULL
CVE-2016-2503,,16-Sep,NULL
LVE-SMP-160027,"L(5.0.2/5.1.1), M(6.0/6.0.1)",16-Sep,NULL
CVE-2016-3819,,16-Aug,NULL
CVE-2016-3820,,16-Aug,NULL
CVE-2016-3821,,16-Aug,NULL
CVE-2016-2503,,16-Aug,NULL
CVE-2016-2067,,16-Aug,NULL
CVE-2016-3768,,16-Aug,NULL
CVE-2016-3775,,16-Aug,NULL
CVE-2015-8816,,16-Aug,NULL
CVE-2016-3767,,16-Aug,NULL
CVE-2016-3770,,16-Aug,NULL
CVE-2016-3771,,16-Aug,NULL
CVE-2016-3772,,16-Aug,NULL
CVE-2016-3773,,16-Aug,NULL
CVE-2016-3774,,16-Aug,NULL
CVE-2016-3822,,16-Aug,NULL
CVE-2016-3823,,16-Aug,NULL
CVE-2016-3824,,16-Aug,NULL
CVE-2016-38225,,23-Aug,NULL
CVE-2016-3826,,16-Aug,NULL
CVE-2016-3827,,16-Aug,NULL
CVE-2016-3828,,16-Aug,NULL
CVE-2016-3829,,16-Aug,NULL
CVE-2016-3830,,16-Aug,NULL
CVE-2016-3831,,16-Aug,NULL
CVE-2014-9780,,16-Aug,NULL
CVE-2015-8892,,16-Aug,NULL
CVE-2014-9786,,16-Aug,NULL
CVE-2014-9788,,16-Aug,NULL
CVE-2014-9779,,16-Aug,NULL
CVE-2014-9789,,16-Aug,NULL
CVE-2014-9797,,23-Aug,NULL
CVE-2014-9796,,16-Aug,NULL
CVE-2014-9800,,16-Aug,NULL
CVE-2014-9799,,16-Aug,NULL
CVE-2014-9801,,16-Aug,NULL
CVE-2014-9802,,16-Aug,NULL
CVE-2015-8891,,16-Aug,NULL
CVE-2015-8888,,16-Aug,NULL
CVE-2015-8890,,16-Aug,NULL
CVE-2016-2502,,16-Aug,NULL
CVE-2016-3792,,16-Aug,NULL
CVE-2016-2501,,16-Aug,NULL
CVE-2016-3802,,16-Aug,NULL
CVE-2016-3803,,16-Aug,NULL
CVE-2016-3807,,16-Aug,NULL
CVE-2016-3808,,16-Aug,NULL
CVE-2016-2068,,16-Aug,NULL
CVE-2014-9803,,16-Aug,NULL
CVE-2016-3809,,16-Aug,NULL
CVE-2016-3795,,16-Aug,NULL
CVE-2016-3796,,16-Aug,NULL
CVE-2016-3798,,16-Aug,NULL
CVE-2016-3799,,16-Aug,NULL
CVE-2016-3800,,16-Aug,NULL
CVE-2016-3801,,16-Aug,NULL
CVE-2016-3804,,16-Aug,NULL
CVE-2016-3805,,16-Aug,NULL
CVE-2016-3806,,16-Aug,NULL
CVE-2016-3810,,16-Aug,NULL
CVE-2016-3832,,16-Aug,NULL
CVE-2016-3833,,16-Aug,NULL
CVE-2016-2842,,16-Aug,NULL
CVE-2016-3834,,16-Aug,NULL
CVE-2016-3835,,16-Aug,NULL
CVE-2016-3836,,16-Aug,NULL
CVE-2016-3837,,16-Aug,NULL
CVE-2016-3838,,16-Aug,NULL
CVE-2016-3839,,16-Aug,NULL
CVE-2016-3811,,16-Aug,NULL
CVE-2016-3813,,16-Aug,NULL
CVE-2016-0723,,16-Aug,NULL
CVE-2014-9798,,16-Aug,NULL
CVE-2015-8893,,16-Aug,NULL
CVE-2016-3812,,16-Aug,NULL
CVE-2016-3816,,16-Aug,NULL
CVE-2016-2506,,16-Jul,NULL
CVE-2016-2505,,16-Jul,NULL
CVE-2016-2507,,16-Jul,NULL
CVE-2016-2508,,16-Jul,NULL
CVE-2016-3741,,16-Jul,NULL
CVE-2016-3742,,16-Jul,NULL
CVE-2016-3743,,16-Jul,NULL
CVE-2016-2108,,16-Jul,NULL
CVE-2016-3744,,16-Jul,NULL
CVE-2016-3751,,16-Jul,NULL
CVE-2016-3745,,16-Jul,NULL
CVE-2016-3746,,16-Jul,NULL
CVE-2016-3747,,16-Jul,NULL
CVE-2016-3748,,16-Jul,NULL
CVE-2016-3749,,16-Jul,NULL
CVE-2016-3750,,16-Jul,NULL
CVE-2016-3752,,16-Jul,NULL
CVE-2016-3753,,16-Jul,NULL
CVE-2016-2107,,16-Jul,NULL
CVE-2016-3754,,16-Jul,NULL
CVE-2016-3755,,16-Jul,NULL
CVE-2016-3756,,16-Jul,NULL
CVE-2016-3818,,16-Jul,NULL
CVE-2016-3757,,16-Jul,NULL
CVE-2016-3758,,16-Jul,NULL
CVE-2016-3759,,16-Jul,NULL
CVE-2016-3760,,16-Jul,NULL
CVE-2016-3761,,16-Jul,NULL
CVE-2016-3762,,16-Jul,NULL
CVE-2016-3763,,16-Jul,NULL
CVE-2016-3764,,16-Jul,NULL
CVE-2016-3765,,16-Jul,NULL
CVE-2016-3766,,16-Jul,NULL
CVE-2016-3117,,16-Jul,LVE-SMP-160002
CVE-2016-2463,,16-Jun,NULL
CVE-2016-2464,,16-Jun,NULL
CVE-2016-2465,,16-Jun,NULL
CVE-2016-2466,,16-Jun,NULL
CVE-2016-2467,,16-Jun,NULL
CVE-2016-2468,,16-Jun,NULL
CVE-2016-2062,,16-Jun,NULL
CVE-2016-2474,,16-Jun,NULL
CVE-2016-2475,,16-Jun,NULL
CVE-2016-2066,,16-Jun,NULL
CVE-2016-2469,,16-Jun,NULL
CVE-2016-2476,,16-Jun,NULL
CVE-2016-2477,,16-Jun,NULL
CVE-2016-2478,,16-Jun,NULL
CVE-2016-2479,,16-Jun,NULL
CVE-2016-2480,,16-Jun,NULL
CVE-2016-2481,,16-Jun,NULL
CVE-2016-2482,,16-Jun,NULL
CVE-2016-2483,,16-Jun,NULL
CVE-2016-2484,,16-Jun,NULL
CVE-2016-2485,,16-Jun,NULL
CVE-2016-2486,,16-Jun,NULL
CVE-2016-2487,,16-Jun,NULL
CVE-2016-2061,,16-Jun,NULL
CVE-2016-2488,,16-Jun,NULL
CVE-2016-2489,,16-Jun,NULL
CVE-2016-2490,,16-Jun,NULL
CVE-2016-2491,,16-Jun,NULL
CVE-2016-2470,,16-Jun,NULL
CVE-2016-2471,,16-Jun,NULL
CVE-2016-2472,,16-Jun,NULL
CVE-2016-2473,,16-Jun,NULL
CVE-2016-2492,,16-Jun,NULL
CVE-2016-2494,,16-Jun,NULL
CVE-2016-2493,,16-Jun,NULL
CVE-2016-2495,,16-Jun,NULL
CVE-2016-2496,,16-Jun,NULL
CVE-2016-2498,,16-Jun,NULL
CVE-2016-2499,,16-Jun,NULL
CVE-2016-2500,,16-Jun,NULL
CVE-2016-2428,,16-May,NULL
CVE-2016-2429,,16-May,NULL
CVE-2016-2430,,16-May,NULL
CVE-2016-2431,,16-May,NULL
CVE-2016-2432,,16-May,NULL
CVE-2015-0569,,16-May,NULL
CVE-2015-0570,,16-May,NULL
CVE-2015-1805,,16-May,NULL
CVE-2016-2438,,23-May,NULL
CVE-2016-2060,,16-May,NULL
CVE-2016-2439,,16-May,NULL
CVE-2016-2440,,16-May,NULL
CVE-2016-2441,,16-May,NULL
CVE-2016-2442,,16-May,NULL
CVE-2016-2443,,16-May,NULL
CVE-2015-0571,,16-May,NULL
CVE-2016-4477,,16-May,NULL
CVE-2016-2448,,16-May,NULL
CVE-2016-2449,,16-May,NULL
CVE-2016-2450,,16-May,NULL
CVE-2016-2451,,16-May,NULL
CVE-2016-2452,,16-May,NULL
CVE-2016-2453,,16-May,NULL
CVE-2016-2454,,16-May,NULL
CVE-2016-2461,,16-May,NULL
CVE-2016-2462,,16-May,NULL
CVE-2016-0705,,16-May,NULL
CVE-2016-2456,,16-May,NULL
CVE-2016-2457,,16-May,NULL
CVE-2016-2458,,16-May,NULL
CVE-2016-2459,,16-May,NULL
CVE-2016-2460,,16-May,NULL
CVE-2016-0774,,16-May,NULL
CVE-2017-0872,,17-Dec,NULL
CVE-2017-0876,,17-Dec,NULL
CVE-2017-0877,,17-Dec,NULL
CVE-2017-0878,,17-Dec,NULL
CVE-2017-13151,,17-Dec,NULL
CVE-2017-13160,,17-Dec,NULL
CVE-2015-3868,,17-Dec,NULL
CVE-2017-0675,,17-Dec,NULL
CVE-2017-11013,,17-Dec,NULL
CVE-2017-11015,,17-Dec,NULL
CVE-2017-11014,,17-Dec,NULL
CVE-2017-0427,,17-Dec,NULL
CVE-2017-0807,,17-Dec,NULL
CVE-2017-0870,,17-Dec,NULL
CVE-2017-0871,,17-Dec,NULL
CVE-2017-13153,,17-Dec,NULL
CVE-2017-0837,,17-Dec,NULL
CVE-2017-0873,,17-Dec,NULL
CVE-2017-0874,,17-Dec,NULL
CVE-2017-0880,,17-Dec,NULL
CVE-2017-13148,,17-Dec,NULL
CVE-2017-13156,,17-Dec,NULL
CVE-2017-13157,,17-Dec,NULL
CVE-2017-13158,,17-Dec,NULL
CVE-2017-13159,,17-Dec,NULL
CVE-2017-13077,,17-Dec,NULL
CVE-2017-9077,,17-Dec,NULL
CVE-2017-7541,,17-Dec,NULL
CVE-2017-0843,,17-Dec,NULL
CVE-2017-11092,,17-Dec,NULL
CVE-2017-9690,,17-Dec,NULL
CVE-2017-11017,,17-Dec,NULL
CVE-2017-11028,,17-Dec,NULL
LVE-SMP-170022,"Android devices with OS  6.0, 6.0.1",17-Dec,NULL
CVE-2017-0832,,17-Nov,NULL
CVE-2017-0833,,17-Nov,NULL
CVE-2017-0834,,17-Nov,NULL
CVE-2017-0835,,17-Nov,NULL
CVE-2017-0836,,17-Nov,NULL
CVE-2017-0841,,17-Nov,NULL
CVE-2017-0830,,17-Nov,NULL
CVE-2017-0831,,17-Nov,NULL
CVE-2017-0838,,17-Nov,NULL
CVE-2017-0839,,17-Nov,NULL
CVE-2017-0840,,17-Nov,NULL
CVE-2017-0842,,17-Nov,NULL
LVE-SMP-170017,"Android devices with OS  6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",17-Nov,NULL
LVE-SMP-170019,"Android devices with OS  5.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",17-Nov,NULL
LVE-SMP-170020,"Android devices with OS  6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",17-Nov,NULL
LVE-SMP-170021,"Android devices with OS  5.1(only MS330, K330) , 6.0 (only H841)",17-Nov,NULL
CVE-2017-0809,,17-Oct,NULL
CVE-2017-0810,,17-Oct,NULL
CVE-2017-0811,,17-Oct,NULL
CVE-2017-11120,,17-Oct,NULL
CVE-2017-11121,,17-Oct,NULL
CVE-2017-7065,,17-Oct,NULL
CVE-2017-8890,,17-Oct,NULL
CVE-2017-11041,,17-Oct,NULL
CVE-2017-0806,,17-Oct,NULL
CVE-2017-14496,,17-Oct,NULL
CVE-2017-0786,,17-Oct,NULL
CVE-2017-9076,,17-Oct,NULL
CVE-2017-9150,,17-Oct,NULL
CVE-2017-7487,,17-Oct,NULL
CVE-2017-6214,,17-Oct,NULL
CVE-2017-6346,,17-Oct,NULL
CVE-2017-5897,,17-Oct,NULL
CVE-2017-7495,,17-Oct,NULL
CVE-2017-0795,,17-Oct,NULL
CVE-2017-0796,,17-Oct,NULL
CVE-2017-0797,,17-Oct,NULL
CVE-2017-0798,,17-Oct,NULL
CVE-2017-0799,,17-Oct,NULL
CVE-2017-0801,,17-Oct,NULL
CVE-2017-10996,,17-Oct,NULL
CVE-2017-9725,,17-Oct,NULL
CVE-2017-9724,,17-Oct,NULL
CVE-2017-8278,,17-Oct,NULL
CVE-2017-0815,,17-Oct,NULL
CVE-2017-0816,,17-Oct,NULL
CVE-2017-0787,,17-Oct,NULL
CVE-2017-0788,,17-Oct,NULL
CVE-2017-0789,,17-Oct,NULL
CVE-2017-0790,,17-Oct,NULL
CVE-2017-0791,,17-Oct,NULL
CVE-2017-0792,,17-Oct,NULL
CVE-2017-7616,,17-Oct,NULL
CVE-2017-12146,,17-Oct,NULL
CVE-2017-0794,,17-Oct,NULL
CVE-2017-0802,,17-Oct,NULL
CVE-2017-0803,,17-Oct,NULL
CVE-2017-0804,,17-Oct,NULL
CVE-2017-10999,,17-Oct,NULL
CVE-2017-11001,,17-Oct,NULL
CVE-2017-11002,,17-Oct,NULL
CVE-2017-9677,,17-Oct,NULL
CVE-2017-10998,,17-Oct,NULL
CVE-2017-9676,,17-Oct,NULL
CVE-2017-8280,,17-Oct,NULL
CVE-2017-8251,,17-Oct,NULL
CVE-2017-10997,,17-Oct,NULL
CVE-2017-11000,,17-Oct,NULL
CVE-2017-8247,,17-Oct,NULL
CVE-2017-9270,,17-Oct,NULL
CVE-2017-8277,,17-Oct,NULL
CVE-2017-11040,,17-Oct,NULL
LVE-SMP-170016,"Android devices with OS 5.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",17-Oct,NULL
CVE-2017-0756,,17-Sep,NULL
CVE-2017-0757,,17-Sep,NULL
CVE-2017-0758,,17-Sep,NULL
CVE-2017-0759,,17-Sep,NULL
CVE-2017-0760,,17-Sep,NULL
CVE-2017-0761,,17-Sep,NULL
CVE-2017-0762,,17-Sep,NULL
CVE-2017-0763,,17-Sep,NULL
CVE-2017-0764,,17-Sep,NULL
CVE-2017-0765,,17-Sep,NULL
CVE-2017-0781,,17-Sep,NULL
CVE-2017-0782,,17-Sep,NULL
CVE-2016-0842,,17-Sep,NULL
CVE-2017-0752,,17-Sep,NULL
CVE-2017-0753,,17-Sep,NULL
CVE-2017-6983,,17-Sep,NULL
CVE-2017-0755,,17-Sep,NULL
CVE-2017-0766,,17-Sep,NULL
CVE-2017-0767,,17-Sep,NULL
CVE-2017-0768,,17-Sep,NULL
CVE-2017-0769,,17-Sep,NULL
CVE-2017-0770,,17-Sep,NULL
CVE-2017-0771,,17-Sep,NULL
CVE-2017-0772,,17-Sep,NULL
