model,device_name,carrier,region,country,software_version,spl,date,is_android_update,description,url
G5,LG G5 T-MOBILE H830 ,T-Mobile,us,United States,H83030c,2018-09-01,2018-08-01,True,"Android O OS Upgrade, Android Security Update (2018-08-01)",https://www.lg.com/us/support/help-library/lg-g5-tmobile-h830-software-update-CT10000027-20150202851401
G5,LG G5 T-MOBILE H830 ,T-Mobile,us,United States,H83020o,2018-02-01,2018-02-01,True,Android Security Update (2018-02-01),https://www.lg.com/us/support/help-library/lg-g5-tmobile-h830-software-update-CT10000027-20150202851401
G5,LG G5 T-MOBILE H830 ,T-Mobile,us,United States,H83020n,2017-12-01,2017-12-01,True,"Security Maintenance Release, Android Security Update (2017-12-01), Wi-Fi KRACK patch, SVN Update 12 -> 13",https://www.lg.com/us/support/help-library/lg-g5-tmobile-h830-software-update-CT10000027-20150202851401
G5,LG G5 T-MOBILE H830 ,T-Mobile,us,United States,H83020c,2017-01-01,,True,"Android Nougat 7.0 Software Update, Android Security Updates (January)",https://www.lg.com/us/support/help-library/lg-g5-tmobile-h830-software-update-CT10000027-20150202851401
G5,LG G5 T-MOBILE H830 ,T-Mobile,us,United States,H83020a,2016-11-01,,True,"Android Nougat 7.0 Software Update, Android Security Updates",https://www.lg.com/us/support/help-library/lg-g5-tmobile-h830-software-update-CT10000027-20150202851401
G5,LG G5 T-MOBILE H830 ,T-Mobile,us,United States,H83010i,2016-09-01,,True,"Improved brightness issue, Improve audio quality, Improved UX for Exchange Active Sync email, Android Security Updates",https://www.lg.com/us/support/help-library/lg-g5-tmobile-h830-software-update-CT10000027-20150202851401
G6,LG G6 AT&T H871 ,AT&T,us,United States,H87121m,2019-03-01,2019-02-01,True,Android Security Update (2019-02-01),https://www.lg.com/us/support/help-library/lg-g6-att-h871-software-update--20150310492779
G6,LG G6 AT&T H871 ,AT&T,us,United States,H87121L,2019-01-01,2019-01-01,True,Android Security Update (2019-01-01),https://www.lg.com/us/support/help-library/lg-g6-att-h871-software-update--20150310492779
G6,LG G6 AT&T H871 ,AT&T,us,United States,H87121k,2018-12-01,2018-11-01,True,Android Security Update (2018-11-01),https://www.lg.com/us/support/help-library/lg-g6-att-h871-software-update--20150310492779
G6,LG G6 AT&T H871 ,AT&T,us,United States,H97121j,2018-11-01,2018-10-01,True,Android Security Update (2018-10-01),https://www.lg.com/us/support/help-library/lg-g6-att-h871-software-update--20150310492779
G6,LG G6 AT&T H871 ,AT&T,us,United States,H87121i,2018-09-01,2018-08-01,True,Android Security Update (2018-08-01),https://www.lg.com/us/support/help-library/lg-g6-att-h871-software-update--20150310492779
G6,LG G6 AT&T H871 ,AT&T,us,United States,H87121c,2018-07-01,2018-06-01,True,"Maintenance Release, Flash Jump-Cut, Timer Guide, Google ARCore, Bright mode, Google Assistant with LG integration, Android Security Update (2018-06-01)",https://www.lg.com/us/support/help-library/lg-g6-att-h871-software-update--20150310492779
G6,LG G6 AT&T H871 ,AT&T,us,United States,H87120c,2018-06-01,,True,Android Oreo OS Upgrade,https://www.lg.com/us/support/help-library/lg-g6-att-h871-software-update--20150310492779
G6,LG G6 AT&T H871 ,AT&T,us,United States,H87110p,2018-02-01,2018-01-01,True,"Security Maintenance Release, Android Security Update (2018-01-01)",https://www.lg.com/us/support/help-library/lg-g6-att-h871-software-update--20150310492779
G6,LG G6 H872 T-Mobile Software Update Info,T-Mobile,us,United States,H87220g,2019-01-01,2019-01-01,True,Android Security Update (2019-01-01),https://www.lg.com/us/support/help-library/lg-g6-h872-tmobile-software-update-info--20150310493480
G6,LG G6 H872 T-Mobile Software Update Info,T-Mobile,us,United States,H87220f,2018-11-01,2018-11-01,True,Android Security Update (2018-11-01),https://www.lg.com/us/support/help-library/lg-g6-h872-tmobile-software-update-info--20150310493480
G6,LG G6 H872 T-Mobile Software Update Info,T-Mobile,us,United States,H87220e,2018-11-01,2018-10-01,True,Android Security Update (2018-10-01),https://www.lg.com/us/support/help-library/lg-g6-h872-tmobile-software-update-info--20150310493480
G6,LG G6 H872 T-Mobile Software Update Info,T-Mobile,us,United States,H87220d,2018-10-01,2018-08-01,True,Android Security Update (2018-08-01),https://www.lg.com/us/support/help-library/lg-g6-h872-tmobile-software-update-info--20150310493480
G6,LG G6 H872 T-Mobile Software Update Info,T-Mobile,us,United States,H87220a,2018-06-01,,False,OS Upgrade,https://www.lg.com/us/support/help-library/lg-g6-h872-tmobile-software-update-info--20150310493480
G6,LG G6 H872 T-Mobile Software Update Info,T-Mobile,us,United States,H87211h,2018-05-01,2018-04-01,True,Android Security Update (2018-04-01),https://www.lg.com/us/support/help-library/lg-g6-h872-tmobile-software-update-info--20150310493480
