series,model,date
G series,G5,13-Dec-21
G series,G6,13-Dec-21
G series,G7,13-Dec-21
G series,G8,13-Dec-21
V series,V10,13-Dec-21
V series,V20,13-Dec-21
V series,V30,13-Dec-21
V series,V35,13-Dec-21
V series,V40,13-Dec-21
V series,V50,13-Dec-21
Q Series,Q6,13-Dec-21
Q Series,Q8,13-Dec-21
X Series,X300,13-Dec-21
X Series,X400,13-Dec-21
X Series,X500,13-Dec-21
X Series,X cam,13-Dec-21
CV Series,CV1,13-Dec-21
CV Series,CV3,13-Dec-21
CV Series,CV5,13-Dec-21
CV Series,CV7,13-Dec-21
CV Series,CV1S,13-Dec-21
CV Series,CV7AS,13-Dec-21
MH,K40,13-Dec-21
MH,K50,13-Dec-21
MH,Q60,13-Dec-21
MH,Q70,13-Dec-21
DH,DH10,13-Dec-21
DH,DH15,13-Dec-21
DH,DH30,13-Dec-21
DH,DH35,13-Dec-21
DH,DH40,13-Dec-21
DH,DH5,13-Dec-21
DH,DH50,13-Dec-21
Velvet,Velvet,13-Dec-21
TF10,TF10,13-Dec-21
Wing,Wing,13-Dec-21
G series,G5,6-Jan-22
G series,G6,6-Jan-22
G series,G7,6-Jan-22
G series,G8,6-Jan-22
V series,V10,6-Jan-22
V series,V20,6-Jan-22
V series,V30,6-Jan-22
V series,V35,6-Jan-22
V series,V40,6-Jan-22
V series,V50,6-Jan-22
Q Series,Q6,6-Jan-22
Q Series,Q8,6-Jan-22
X Series,X300,6-Jan-22
X Series,X400,6-Jan-22
X Series,X500,6-Jan-22
X Series,X cam,6-Jan-22
CV Series,CV1,6-Jan-22
CV Series,CV3,6-Jan-22
CV Series,CV5,6-Jan-22
CV Series,CV7,6-Jan-22
CV Series,CV1S,6-Jan-22
CV Series,CV7AS,6-Jan-22
MH,K40,6-Jan-22
MH,K50,6-Jan-22
MH,Q60,6-Jan-22
MH,Q70,6-Jan-22
DH,DH10,6-Jan-22
DH,DH15,6-Jan-22
DH,DH30,6-Jan-22
DH,DH35,6-Jan-22
DH,DH40,6-Jan-22
DH,DH5,6-Jan-22
DH,DH50,6-Jan-22
Velvet,Velvet,6-Jan-22
TF10,TF10,6-Jan-22
Wing,Wing,6-Jan-22
G series,G5  ,23-Jan-22
G series,G6  ,23-Jan-22
G series,G7  ,23-Jan-22
G series,G8  ,23-Jan-22
V series,V10  ,23-Jan-22
V series,V20  ,23-Jan-22
V series,V30  ,23-Jan-22
V series,V35  ,23-Jan-22
V series,V40  ,23-Jan-22
V series,V50  ,23-Jan-22
V series,Q6  ,23-Jan-22
Q Series,Q8  ,23-Jan-22
Q Series,X300  ,23-Jan-22
X Series,X400  ,23-Jan-22
X Series,X500  ,23-Jan-22
X Series,X cam  ,23-Jan-22
X Series,CV1  ,23-Jan-22
CV Series,CV3  ,23-Jan-22
CV Series,CV5  ,23-Jan-22
CV Series,CV7  ,23-Jan-22
CV Series,CV1S  ,23-Jan-22
CV Series,CV7AS  ,23-Jan-22
CV Series,K40  ,23-Jan-22
MH,K50  ,23-Jan-22
MH,Q60  ,23-Jan-22
DH,Q70  ,23-Jan-22
DH,DH10  ,23-Jan-22
DH,DH15  ,23-Jan-22
DH,DH30  ,23-Jan-22
DH,DH35  ,23-Jan-22
DH,DH40  ,23-Jan-22
Velvet,DH5  ,23-Jan-22
TF10,DH50,23-Jan-22
Wing,Wing,23-Jan-22
G series,G5,25-Jan-22
G series,G6,25-Jan-22
G series,G7,25-Jan-22
G series,G8,25-Jan-22
V series,V10,25-Jan-22
V series,V20,25-Jan-22
V series,V30,25-Jan-22
V series,V35,25-Jan-22
V series,V40,25-Jan-22
V series,V50,25-Jan-22
