ID,CVE,year,month,spl_type,date,bug,link,Type,Severity,vul_true,component,devices,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,cwe,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity,cwe_info,Date,earliest_version,latest_version
96,CVE-2023-4622,2024,5,5/5/24,,"A-299123598,","https://android.googlesource.com/kernel/common/+/e6ed59127c865"" rel=""noreferrer,https://android.googlesource.com/kernel/common/+/790c2f9d15b59"" rel=""noreferrer,https://android.googlesource.com/kernel/common/+/84d3e59750bbd"" rel=""noreferrer,https://android.googlesource.com/kernel/common/+/d39fc9b94dc07"" rel=""noreferrer",EoP,High,,Unix,,"A use-after-free vulnerability in the Linux kernel's af_unix component can be exploited to achieve local privilege escalation.

The unix_stream_sendpage() function tries to add data to the last skb in the peer's recv queue without locking the queue. Thus there is a race where unix_stream_sendpage() could access an skb locklessly that is being released by garbage collection, resulting in use-after-free.

We recommend upgrading past commit 790c2f9d15b594350ae9bca7b236f2b1859de02c.

",,2023-09-06T14:15:12.193,2024-01-11T19:15:12.097,CWE-416,cvssMetricV31,LOCAL,HIGH,LOW,NONE,HIGH,HIGH,HIGH,7.0,HIGH,Use After Free,2024-05-01,,
96,CVE-2023-4622,2024,5,5/5/24,,"A-299123598,","https://android.googlesource.com/kernel/common/+/e6ed59127c865"" rel=""noreferrer,https://android.googlesource.com/kernel/common/+/790c2f9d15b59"" rel=""noreferrer,https://android.googlesource.com/kernel/common/+/84d3e59750bbd"" rel=""noreferrer,https://android.googlesource.com/kernel/common/+/d39fc9b94dc07"" rel=""noreferrer",EoP,High,,Unix,,"A use-after-free vulnerability in the Linux kernel's af_unix component can be exploited to achieve local privilege escalation.

The unix_stream_sendpage() function tries to add data to the last skb in the peer's recv queue without locking the queue. Thus there is a race where unix_stream_sendpage() could access an skb locklessly that is being released by garbage collection, resulting in use-after-free.

We recommend upgrading past commit 790c2f9d15b594350ae9bca7b236f2b1859de02c.

",,2023-09-06T14:15:12.193,2024-01-11T19:15:12.097,CWE-416,cvssMetricV31,LOCAL,HIGH,LOW,NONE,HIGH,HIGH,HIGH,7.0,HIGH,Use After Free,2024-05-01,,
97,CVE-2023-6363,2024,5,5/5/24,,A-303632069,,,High,,Mali,,"Use After Free vulnerability in Arm Ltd Valhall GPU Kernel Driver, Arm Ltd Arm 5th Gen GPU Architecture Kernel Driver allows a local non-privileged user to make improper GPU memory processing operations. If the system’s memory is carefully prepared by the user, then this in turn could give them access to already freed memory.
This issue affects Valhall GPU Kernel Driver: from r41p0 through r47p0; Arm 5th Gen GPU Architecture Kernel Driver: from r41p0 through r47p0.

",,2024-05-03T14:15:10.730,2024-05-03T14:17:53.690,CWE-416,,,,,,,,,,,Use After Free,2024-05-01,,
98,CVE-2024-1067,2024,5,5/5/24,,A-329506905,,,High,,Mali,,"Use After Free vulnerability in Arm Ltd Bifrost GPU Kernel Driver, Arm Ltd Valhall GPU Kernel Driver, Arm Ltd Arm 5th Gen GPU Architecture Kernel Driver allows a local non-privileged user to make improper GPU memory processing operations. On Armv8.0 cores, there are certain combinations of the Linux Kernel and Mali GPU kernel driver configurations that would allow the GPU operations to affect the userspace memory of other processes.
This issue affects Bifrost GPU Kernel Driver: from r41p0 through r47p0; Valhall GPU Kernel Driver: from r41p0 through r47p0; Arm 5th Gen GPU Architecture Kernel Driver: from r41p0 through r47p0.

",8.0,2024-05-03T14:15:10.813,2024-05-03T14:17:53.690,CWE-416,,,,,,,,,,,Use After Free,2024-05-01,,
99,CVE-2024-1395,2024,5,5/5/24,,A-329506991,,,High,,Mali,,"Use After Free vulnerability in Arm Ltd Arm 5th Gen GPU Architecture Kernel Driver allows a local non-privileged user to make improper GPU memory processing operations. If the system’s memory is carefully prepared by the user, then this in turn could give them access to already freed memory.
This issue affects Arm 5th Gen GPU Architecture Kernel Driver: from r41p0 through r47p0.

",,2024-05-03T14:15:10.883,2024-05-03T14:17:53.690,CWE-416,,,,,,,,,,,Use After Free,2024-05-01,,
100,CVE-2023-32871,2024,5,5/5/24,,"A-309364193,M-ALPS08355514",,,High,,DA,,"In DA, there is a possible permission bypass due to an incorrect status check. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08355514; Issue ID: ALPS08355514.",,2024-05-06T03:15:09.273,2024-05-06T12:44:56.377,CWE-391,,,,,,,,,,,Unchecked Error Condition,2024-05-01,,
101,CVE-2023-32873,2024,5,5/5/24,,"A-327972597,M-ALPS08583919",,,High,,keyInstall,,"In keyInstall, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08583919; Issue ID: ALPS08304227.",,2024-05-06T03:15:09.387,2024-05-06T12:44:56.377,CWE-787,,,,,,,,,,,Out-of-bounds Write,2024-05-01,,
102,CVE-2024-20056,2024,5,5/5/24,,"A-327973818,M-ALPS08528185",,,High,,preloader,,"In preloader, there is a possible escalation of privilege due to an insecure default value. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08528185; Issue ID: ALPS08528185.",,2024-05-06T03:15:09.563,2024-05-06T12:44:56.377,CWE-20,,,,,,,,,,,Improper Input Validation,2024-05-01,,
103,CVE-2024-20057,2024,5,5/5/24,,"A-327973819,M-ALPS08587881",,,High,,keyInstall,,"In keyInstall, there is a possible out of bounds write due to a missing bounds check. This could lead to local escalation of privilege with System execution privileges needed. User interaction is not needed for exploitation. Patch ID: ALPS08587881; Issue ID: ALPS08587881.",,2024-05-06T03:15:09.640,2024-05-06T12:44:56.377,CWE-787,,,,,,,,,,,Out-of-bounds Write,2024-05-01,,
104,CVE-2024-21471,2024,5,5/5/24,,"A-318393843,,QC-CR#3621168","https://git.codelinaro.org/clo/la/platform/vendor/qcom/opensource/graphics-kernel/-/commit/809ee24fe5607ecc72e9cde737410ad94264ff91"" rel=""noreferrer",,High,,Display,,Memory corruption when IOMMU unmap of a GPU buffer fails in Linux.,,2024-05-06T15:15:21.580,2024-05-06T16:00:59.253,CWE-416,cvssMetricV31,LOCAL,LOW,NONE,NONE,HIGH,HIGH,HIGH,8.4,HIGH,Use After Free,2024-05-01,,
105,CVE-2024-21475,2024,5,5/5/24,,"A-323919078,,QC-CR#3530093","https://git.codelinaro.org/clo/la/kernel/msm-4.14/-/commit/bdb176c8afd933f26a135aba4d4a0384fb13d156"" rel=""noreferrer",,High,,Video,,Memory corruption when the payload received from firmware is not as per the expected protocol size.,,2024-05-06T15:15:21.953,2024-05-06T16:00:59.253,CWE-823,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Use of Out-of-range Pointer Offset,2024-05-01,,
106,CVE-2024-23351,2024,5,5/5/24,,"A-323918714,,QC-CR#3650447","https://git.codelinaro.org/clo/la/platform/vendor/qcom/opensource/graphics-kernel/-/commit/d7c818d1695cac10489ef1fe28e0d38c602656d9"" rel=""noreferrer,https://git.codelinaro.org/clo/la/kernel/msm-5.10/-/commit/eb7e4fadc904c8134e7d4fc17cae1d2be3ac6368"" rel=""noreferrer",,High,,Display,,Memory corruption as GPU registers beyond the last protected range can be accessed through LPAC submissions.,,2024-05-06T15:15:22.740,2024-05-06T16:00:59.253,CWE-284,cvssMetricV31,LOCAL,LOW,NONE,NONE,HIGH,HIGH,HIGH,8.4,HIGH,Improper Access Control,2024-05-01,,
107,CVE-2024-23354,2024,5,5/5/24,,"A-323919320,,QC-CR#3636888","https://git.codelinaro.org/clo/la/platform/vendor/qcom/opensource/graphics-kernel/-/commit/88eb3006d32f72c53039fd37ea45926dee08882b"" rel=""noreferrer,https://git.codelinaro.org/clo/la/kernel/msm-5.10/-/commit/82893dced668bdb3a982dbc8d39699d2c6797057"" rel=""noreferrer",,High,,Display,,Memory corruption when the IOCTL call is interrupted by a signal.,,2024-05-06T15:15:22.943,2024-05-06T16:00:59.253,CWE-416,cvssMetricV31,LOCAL,LOW,NONE,NONE,HIGH,HIGH,HIGH,8.4,HIGH,Use After Free,2024-05-01,,
108,CVE-2023-33119,2024,5,5/5/24,,A-309461253,,,High,,Closed-source component,,Memory corruption while loading a VM from a signed VM image that is not coherent in the processor cache.,,2024-05-06T15:15:19.680,2024-05-06T16:00:59.253,CWE-367,cvssMetricV31,LOCAL,LOW,NONE,NONE,HIGH,HIGH,HIGH,8.4,HIGH,Time-of-check Time-of-use (TOCTOU) Race Condition,2024-05-01,,
109,CVE-2023-43529,2024,5,5/5/24,,A-309460466,,,High,,Closed-source component,,"Transient DOS while processing IKEv2 Informational request messages, when a malformed fragment packet is received.",,2024-05-06T15:15:20.990,2024-05-06T16:00:59.253,CWE-617,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Reachable Assertion,2024-05-01,,
110,CVE-2023-43530,2024,5,5/5/24,,A-309461471,,,High,,Closed-source component,,Memory corruption in HLOS while checking for the storage type.,,2024-05-06T15:15:21.197,2024-05-06T16:00:59.253,CWE-190,cvssMetricV31,LOCAL,LOW,NONE,NONE,LOW,LOW,LOW,5.9,MEDIUM,Integer Overflow or Wraparound,2024-05-01,,
111,CVE-2023-43531,2024,5,5/5/24,,A-309461198,,,High,,Closed-source component,,Memory corruption while verifying the serialized header when the key pairs are generated.,,2024-05-06T15:15:21.387,2024-05-06T16:00:59.253,CWE-824,cvssMetricV31,LOCAL,LOW,NONE,NONE,HIGH,HIGH,HIGH,8.4,HIGH,Access of Uninitialized Pointer,2024-05-01,,
112,CVE-2024-21477,2024,5,5/5/24,,A-323918871,,,High,,Closed-source component,,Transient DOS while parsing a protected 802.11az Fine Time Measurement (FTM) frame.,802.11,2024-05-06T15:15:22.353,2024-05-06T16:00:59.253,CWE-126,cvssMetricV31,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,Buffer Over-read,2024-05-01,,
113,CVE-2024-21480,2024,5,5/5/24,,A-323918475,,,High,,Closed-source component,,Memory corruption while playing audio file having large-sized input buffer.,,2024-05-06T15:15:22.543,2024-05-06T16:00:59.253,CWE-120,cvssMetricV31,NETWORK,LOW,NONE,NONE,LOW,LOW,LOW,7.3,HIGH,Buffer Copy without Checking Size of Input ('Classic Buffer Overflow'),2024-05-01,,
2174,CVE-2023-0266,2023,5,5/5/23,,"A-265303544,","https://android.googlesource.com/kernel/common/+/cc6c5c7fa237f65b08b9618188efe4b24b9cd886"" rel=""noreferrer",EoP,Moderate,,Kernel,,"A use after free vulnerability exists in the ALSA PCM package in the Linux Kernel. SNDRV_CTL_IOCTL_ELEM_{READ|WRITE}32 is missing locks that can be used in a use-after-free that can result in a priviledge escalation to gain ring0 access from the system user. We recommend upgrading past commit 56b88b50565cd8b946a2d00b0c83927b7ebb055e
",,2023-01-30T14:15:10.500,2023-08-29T17:59:37.930,CWE-416,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Use After Free,2023-05-01,,
