ID,CVE,descrip,SPL,SMR,date,last_mod,severity,confid,integrity,availability,req_privileges,attack_vector,attack_complexity,user_req,cwe,cwe_info
1822,CVE-2017-0510,"An elevation of privilege vulnerability in the kernel FIQ debugger could enable a local malicious application to execute arbitrary code within the context of the kernel. This issue is rated as Critical due to the possibility of a local permanent device compromise, which may require reflashing the operating system to repair the device. Product: Android. Versions: Kernel-3.10. Android ID: A-32402555.",20-Jan,NULL,2017-03-08T01:59:02.440,2019-10-03T00:03:26.223,HIGH,HIGH,HIGH,HIGH,NONE,LOCAL,LOW,REQUIRED,NVD-CWE-noinfo,NVD-CWE-noinfo
1823,CVE-2017-0648,"An elevation of privilege vulnerability in the kernel FIQ debugger could enable a local malicious application to execute arbitrary code within the context of the kernel. This issue is rated as High due to the possibility of a local permanent device compromise, which may require reflashing the operating system to repair the device. Product: Android. Versions: Kernel-3.10. Android ID: A-36101220.",20-Jan,NULL,2017-06-14T13:29:00.577,2019-10-03T00:03:26.223,HIGH,HIGH,HIGH,HIGH,NONE,LOCAL,LOW,REQUIRED,NVD-CWE-noinfo,NVD-CWE-noinfo
1443,CVE-2017-14491,Heap-based buffer overflow in dnsmasq before 2.78 allows remote attackers to cause a denial of service (crash) or execute arbitrary code via a crafted DNS response.,21-Mar,NULL,2017-10-04T01:29:02.870,2023-11-07T02:39:01.190,CRITICAL,HIGH,HIGH,HIGH,NONE,NETWORK,LOW,NONE,CWE-787,"The product writes data past the end, or before the beginning, of the intended buffer. "
2151,CVE-2018-5886,"A pointer in an ADSPRPC command is not properly validated in all Android releases from CAF using the Linux kernel (Android for MSM, Firefox OS for MSM, QRD Android), which can lead to kernel memory being accessed.",20-Sep,NULL,2018-07-06T19:29:01.107,2018-08-29T13:49:34.137,HIGH,HIGH,NONE,NONE,NONE,NETWORK,LOW,NONE,CWE-125,"The product reads data past the end, or before the beginning, of the intended buffer. "
1863,CVE-2018-11843,"In all android releases (Android for MSM, Firefox OS for MSM, QRD Android) from CAF using the linux kernel, lack fo check on return value in WMA response handler can lead to potential use after free.",20-Feb,NULL,2018-09-18T18:29:06.677,2018-11-09T15:49:57.533,HIGH,HIGH,HIGH,HIGH,LOW,LOCAL,LOW,NONE,CWE-416,"Referencing memory after it has been freed can cause a program to crash, use unexpected values, or execute code. "
1354,CVE-2016-6328,"A vulnerability was found in libexif. An integer overflow when parsing the MNOTE entry data of the input file. This can cause Denial-of-Service (DoS) and Information Disclosure (disclosing some critical heap chunk metadata, even other applications' private data).",21-Jan,NULL,2018-10-31T22:29:00.257,2023-02-12T23:25:04.587,HIGH,HIGH,NONE,HIGH,NONE,NETWORK,LOW,REQUIRED,CWE-190,"The product performs a calculation that can produce an integer overflow or wraparound, when the logic assumes that the resulting value will always be larger than the original value. This can introduce other weaknesses when the calculation is used for resource management or execution control. "
2075,CVE-2017-9704,"In all android releases(Android for MSM, Firefox OS for MSM, QRD Android) from CAF using the linux kernel, There is no synchronization between msm_vb2 buffer operations which can lead to use after free.",20-Jul,NULL,2018-12-20T15:29:00.237,2019-01-09T20:25:32.957,HIGH,HIGH,HIGH,HIGH,LOW,LOCAL,LOW,NONE,CWE-416,"Referencing memory after it has been freed can cause a program to crash, use unexpected values, or execute code. "
1862,CVE-2019-9936,"In SQLite 3.27.2, running fts5 prefix queries inside a transaction could trigger a heap-based buffer over-read in fts5HashEntrySort in sqlite3.c, which may lead to an information leak. This is related to ext/fts5/fts5_hash.c.",20-Feb,NULL,2019-03-22T08:29:00.607,2023-11-07T03:13:49.123,HIGH,HIGH,NONE,NONE,NONE,NETWORK,LOW,NONE,CWE-125,"The product reads data past the end, or before the beginning, of the intended buffer. "
1927,CVE-2019-9936,"In SQLite 3.27.2, running fts5 prefix queries inside a transaction could trigger a heap-based buffer over-read in fts5HashEntrySort in sqlite3.c, which may lead to an information leak. This is related to ext/fts5/fts5_hash.c.",20-Apr,NULL,2019-03-22T08:29:00.607,2023-11-07T03:13:49.123,HIGH,HIGH,NONE,NONE,NONE,NETWORK,LOW,NONE,CWE-125,"The product reads data past the end, or before the beginning, of the intended buffer. "
1945,CVE-2018-11970,"TZ App dynamic allocations not protected from XBL loader in Snapdragon Auto, Snapdragon Compute, Snapdragon Consumer Electronics Connectivity, Snapdragon Consumer IOT, Snapdragon Industrial IOT, Snapdragon Mobile in MDM9206, MDM9607, MDM9650, MDM9655, QCS605, SD 410/12, SD 636, SD 712 / SD 710 / SD 670, SD 845 / SD 850, SD 8CX, SDA660, SDM630, SDM660, SXR1130",20-Apr,NULL,2019-04-04T15:29:00.703,2019-10-03T00:03:26.223,HIGH,HIGH,HIGH,HIGH,LOW,LOCAL,LOW,NONE,NVD-CWE-noinfo,NVD-CWE-noinfo
