device_family,device,security_type,security_type_text,launch_date,support_end_date,launch_OS,upgraded_to_OS,next_OS,note1,note2
moto g family,moto g stylus 5G - 2024,regular,Currently receiving regular security updates.,"May, 2024","May, 2027",Android 14,N/A,Android 15,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g 5G - 2024,regular,Currently receiving regular security updates.,"March, 2024","March, 2027",Android 14,N/A,Android 15,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g power 5G - 2024,regular,Currently receiving regular security updates.,"March, 2024","March, 2027",Android 14,N/A,Android 15,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g play - 2024,regular,Currently receiving regular security updates.,"January, 2024","January, 2027",Android 13,N/A,Android 14,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g stylus 5G - 2023,regular,Currently receiving regular security updates.,"June, 2023","June, 2026",Android 13,N/A,Android 14,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g 5G - 2023,regular,Currently receiving regular security updates.,"May, 2023","May, 2026",Android 13,N/A,Android 14,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g stylus - 2023,regular,Currently receiving regular security updates.,"April, 2023","April, 2026",Android 13,N/A,Android 14,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g power 5G - 2023,regular,Currently receiving regular security updates.,"April, 2023","April, 2026",Android 13,N/A,Android 14,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g play - 2023,regular,Currently receiving regular security updates.,"January, 2023","December, 2025",Android 12,N/A,Android 13,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g stylus 5G (2022),regular,Currently receiving regular security updates.,"April, 2022","April, 2025",Android 12,N/A,Android 13,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g 5G (2022),regular,Currently receiving regular security updates.,"April, 2022","April, 2025",Android 12,N/A,Android 13,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g stylus (2022),regular,Currently receiving regular security updates.,"February, 2022","February, 2024",N/A,N/A,N/A,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g pure,regular,Currently receiving regular security updates.,"September, 2021","September, 2023",N/A,N/A,N/A,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g84 5G,regular,Currently receiving regular security updates.,"September, 2023","September, 2026",Android 13,N/A,Android 14,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g82 5G,regular,Currently receiving regular security updates.,"May, 2022","May, 2025",Android 12,N/A,Android 13,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g73 5G,regular,Currently receiving regular security updates.,"January, 2023","January, 2026",Android 13,N/A,Android 14,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g72,regular,Currently receiving regular security updates.,"October, 2022","October, 2025",Android 12,N/A,Android 13,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g64 5G,regular,Currently receiving regular security updates.,"April, 2024","April, 2027",Android 14,N/A,Android 15,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g62 5G,regular,Currently receiving regular security updates.,"June, 2022","June, 2025",Android 12,N/A,Android 13,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g54 5G,regular,Currently receiving regular security updates.,"September, 2023","September, 2026",Android 13,N/A,Android 14,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g53y 5G,regular,Currently receiving regular security updates.,"June, 2023","December, 2026",Android 13,N/A,Android 14,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g53s 5G,regular,Currently receiving regular security updates.,"June, 2023","December, 2026",Android 13,N/A,Android 14,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g53j 5G,regular,Currently receiving regular security updates.,"June, 2023","December, 2026",Android 13,N/A,Android 14,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g53 5G,regular,Currently receiving regular security updates.,"January, 2023","January, 2026",Android 13,N/A,Android 14,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g52j 5G,regular,Currently receiving regular security updates.,"June, 2022","May, 2024",N/A,N/A,N/A,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g52,regular,Currently receiving regular security updates.,"April, 2022","April, 2025",N/A,N/A,N/A,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g42,regular,Currently receiving regular security updates.,"June, 2022","June, 2025",Android 12,N/A,Android 13,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g34 5G,regular,Currently receiving regular security updates.,"January, 2024","January, 2027",Android 14,N/A,Android 15,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g32,regular,Currently receiving regular security updates.,"August, 2022","August, 2025",Android 12,N/A,Android 13,*This device will receive at least bi-monthly SMRs updates,N/A
moto g family,moto g24 power,regular,Currently receiving regular security updates.,"January, 2024","January, 2027",N/A,N/A,N/A,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g24,regular,Currently receiving regular security updates.,"January, 2024","January, 2027",N/A,N/A,N/A,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g23,regular,Currently receiving regular security updates.,"January, 2023","January, 2026",Android 13,N/A,Android 14,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g22,regular,Currently receiving regular security updates.,"March, 2022","March, 2025",N/A,N/A,N/A,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g14,regular,Currently receiving regular security updates.,"August, 2023","August, 2026",Android 13,N/A,Android 14,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g13,regular,Currently receiving regular security updates.,"January, 2023","January, 2026",Android 13,N/A,Android 14,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto g family,moto g04,regular,Currently receiving regular security updates.,"January, 2024","January, 2026",N/A,N/A,N/A,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto e family,moto e32s,regular,Currently receiving regular security updates.,"June, 2022","June, 2024",N/A,N/A,N/A,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto e family,moto e32,regular,Currently receiving regular security updates.,"May, 2022","May, 2024",N/A,N/A,N/A,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto e family,moto e22s,regular,Currently receiving regular security updates.,"October, 2022","October, 2024",N/A,N/A,N/A,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto e family,moto e22i,regular,Currently receiving regular security updates.,"October, 2022","October, 2024",N/A,N/A,N/A,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto e family,moto e22,regular,Currently receiving regular security updates.,"October, 2022","October, 2024",N/A,N/A,N/A,Channels and regions may have different launch dates and support cycle may vary.,N/A
moto e family,moto e13,regular,Currently receiving regular security updates.,"January, 2023","January, 2025",N/A,N/A,N/A,Channels and regions may have different launch dates and support cycle may vary.,N/A
motorola edge family,motorola edge 50 ultra,regular,Currently receiving regular security updates.,"May, 2024","May, 2028",Android 14,N/A,Android 15,Channels and regions may have different launch dates and support cycle may vary.,N/A
motorola edge family,motorola edge 50 pro,regular,Currently receiving regular security updates.,"March, 2024","February, 2028",Android 14,N/A,Android 15,Channels and regions may have different launch dates and support cycle may vary.,N/A
motorola edge family,motorola edge+ (2023),regular,Currently receiving regular security updates.,"May, 2023","May, 2027",Android 13,Android 14,Android 15,*This device will receive at least bi-monthly SMRs updates,N/A
motorola edge family,motorola edge (2023),regular,Currently receiving regular security updates.,"September, 2023","September, 2026",Android 13,N/A,Android 14,*This device will receive at least bi-monthly SMRs updates,N/A
motorola edge family,motorola edge 40 pro,regular,Currently receiving regular security updates.,"April, 2023","April, 2027",Android 13,Android 14,Android 15,*This device will receive at least bi-monthly SMRs updates,N/A
motorola edge family,motorola edge 40 neo,regular,Currently receiving regular security updates.,"September, 2023","September, 2027",Android 13,N/A,Android 14,Channels and regions may have different launch dates and support cycle may vary.,N/A
motorola edge family,motorola edge 40,regular,Currently receiving regular security updates.,"May, 2023","May, 2027",Android 13,N/A,Android 14,*This device will receive at least bi-monthly SMRs updates,N/A
motorola edge family,motorola edge 30 ultra,regular,Currently receiving regular security updates.,"September, 2022","September, 2026",Android 12,Android 13,Android 14,*This device will receive at least bi-monthly SMRs updates,N/A
motorola edge family,motorola edge 30 pro,regular,Currently receiving regular security updates.,"February, 2022","February, 2025",Android 12,Android 13,Android 14,*This device will receive at least bi-monthly SMRs updates,N/A
motorola edge family,motorola edge 30 neo,regular,Currently receiving regular security updates.,"September, 2022","September, 2025",Android 12,Android 13,Android 14,*This device will receive at least bi-monthly SMRs updates,N/A
motorola edge family,motorola edge 30 fusion,regular,Currently receiving regular security updates.,"September, 2022","September, 2025",Android 12,Android 13,Android 14,*This device will receive at least bi-monthly SMRs updates,N/A
motorola edge family,motorola edge 30,regular,Currently receiving regular security updates.,"May, 2022","May, 2025",Android 12,Android 13,Android 14,*This device will receive at least bi-monthly SMRs updates,N/A
motorola edge family,motorola edge+ (2022),regular,Currently receiving regular security updates.,"February, 2022","February, 2025",Android 12,Android 13,Android 14,*This device will receive at least bi-monthly SMRs updates,N/A
motorola edge family,motorola edge (2022),regular,Currently receiving regular security updates.,"August, 2022","August, 2025",Android 12,Android 13,Android 14,*This device will receive at least bi-monthly SMRs updates,N/A
motorola razr family,motorola razr 40 ultra,regular,Currently receiving regular security updates.,"June, 2023","June, 2027",Android 13,N/A,Android 14,Channels and regions may have different launch dates and support cycle may vary.,N/A
motorola razr family,motorola razr 40s,regular,Currently receiving regular security updates.,"November, 2023","November, 2027",Android 13,N/A,Android 14,Channels and regions may have different launch dates and support cycle may vary.,N/A
motorola razr family,motorola razr 40,regular,Currently receiving regular security updates.,"July, 2023","July, 2027",Android 13,N/A,Android 14,Channels and regions may have different launch dates and support cycle may vary.,N/A
motorola razr family,motorola razr+ (2023),regular,Currently receiving regular security updates.,"June, 2023","June, 2027",Android 13,N/A,Android 14,Channels and regions may have different launch dates and support cycle may vary.,N/A
motorola razr family,motorola razr (2023),regular,Currently receiving regular security updates.,"September, 2023","September, 2027",Android 13,N/A,Android 14,Channels and regions may have different launch dates and support cycle may vary.,N/A
motorola razr family,motorola razr (2022),regular,Currently receiving regular security updates.,"October, 2022","October, 2025",Android 12,Android 13,Android 14,Channels and regions may have different launch dates and support cycle may vary.,N/A
ThinkPhone by motorola,ThinkPhone by motorola,monthly,Currently receiving monthly security updates.,"January, 2023","January, 2027",Android 13,Android 14,Android 15,Channels and regions may have different launch dates and support cycle may vary.,N/A
