device_family,device,country,date,security_type,launch_date,support_end_date,launch_OS,upgraded_to_OS,next_OS,note1,note2,link
android one family,moto g pro,Australia,20230510,monthly,"june, 2020","june, 2023",,,,,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20230510/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
moto g family,1 device,Australia,20230510,regular,"april, 2023","april, 2026",android 13,,android 14,this device will receive at least bimonthly smrs updates,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20230510/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
moto e family,moto e40,Australia,20230510,regular,"september, 2021","september, 2023",,,,,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20230510/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
motorola edge family,1 device,Australia,20230510,regular,"may, 2023","may, 2027",android 13,,android 14,this device will receive at least bimonthly smrs updates,,https://web.archive.org/web/20230510/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
motorola one family,motorola one 5G UW ACE,Australia,20230510,regular,"july, 2021","july, 2023",,,,,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20230510/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
motorola razr family,motorola razr 2022,Australia,20230510,regular,"october, 2022","october, 2025",android 12,,android 13,this device will receive at least bimonthly smrs updates,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20230510/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
ThinkPhone by motorola,ThinkPhone by motorola,Australia,20230510,monthly,"january, 2023","january, 2027",android 13,,android 14,,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20230510/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
android one family,moto g pro,Australia,20230612,monthly,"june, 2020","june, 2023",,,,,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20230612/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
moto g family,1 device,Australia,20230612,regular,"june, 2023","june, 2026",android 13,,android 14,this device will receive at least bimonthly smrs updates,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20230612/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
moto e family,moto e40,Australia,20230612,regular,"september, 2021","september, 2023",,,,,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20230612/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
motorola edge family,motorola edge 2023,Australia,20230612,regular,"may, 2023","may, 2027",android 13,,android 14,this device will receive at least bimonthly smrs updates,,https://web.archive.org/web/20230612/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
motorola one family,motorola one 5G UW ACE,Australia,20230612,regular,"july, 2021","july, 2023",,,,,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20230612/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
motorola razr family,1 device,Australia,20230612,regular,"june, 2023","june, 2027",android 13,,android 14,this device will receive at least bimonthly smrs updates,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20230612/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
ThinkPhone by motorola,ThinkPhone by motorola,Australia,20230612,monthly,"january, 2023","january, 2027",android 13,,android 14,,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20230612/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
moto g family,moto g stylus 5G 2023,Australia,20231223,regular,"june, 2023","june, 2026",android 13,,android 14,this device will receive at least bimonthly smrs updates,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20231223/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
moto e family,moto e40,Australia,20231223,regular,"september, 2021","september, 2023",,,,,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20231223/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
motorola edge family,motorola edge 2023,Australia,20231223,regular,"may, 2023","may, 2027",android 13,,android 14,this device will receive at least bimonthly smrs updates,,https://web.archive.org/web/20231223/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
motorola razr family,motorola razr 40 ultra,Australia,20231223,regular,"june, 2023","june, 2027",android 13,,android 14,this device will receive at least bimonthly smrs updates,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20231223/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
ThinkPhone by motorola,ThinkPhone by motorola,Australia,20231223,monthly,"january, 2023","january, 2027",android 13,,android 14,,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20231223/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
moto g family,moto g stylus 5G 2023,Australia,20240115,regular,"june, 2023","june, 2026",android 13,,android 14,this device will receive at least bimonthly smrs updates,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20240115/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
moto e family,moto e40,Australia,20240115,regular,"september, 2021","september, 2023",,,,,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20240115/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
motorola edge family,motorola edge 2023,Australia,20240115,regular,"may, 2023","may, 2027",android 13,,android 14,this device will receive at least bimonthly smrs updates,,https://web.archive.org/web/20240115/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
motorola razr family,motorola razr 40 ultra,Australia,20240115,regular,"june, 2023","june, 2027",android 13,,android 14,this device will receive at least bimonthly smrs updates,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20240115/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
ThinkPhone by motorola,ThinkPhone by motorola,Australia,20240115,monthly,"january, 2023","january, 2027",android 13,,android 14,,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20240115/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
moto g family,1 device,Australia,20240415,regular,"march, 2024","march, 2027",android 14,,android 15,this device will receive at least bimonthly smrs updates,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20240415/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
moto e family,moto e32s,Australia,20240415,regular,"june, 2022","june, 2024",,,,,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20240415/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
motorola edge family,motorola edge 50 pro,Australia,20240415,regular,"april, 2024","april, 2027",android 14,,android 15,this device will receive at least bimonthly smrs updates,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20240415/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
motorola razr family,motorola razr 40 ultra,Australia,20240415,regular,"june, 2023","june, 2027",android 13,,android 14,this device will receive at least bimonthly smrs updates,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20240415/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
ThinkPhone by motorola,ThinkPhone by motorola,Australia,20240415,monthly,"january, 2023","january, 2027",android 13,android 14,android 15,,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20240415/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
moto g family,moto g 5G  2024,Australia,20240513,regular,"march, 2024","march, 2027",android 14,,android 15,this device will receive at least bimonthly smrs updates,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20240513/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
moto e family,moto e32s,Australia,20240513,regular,"june, 2022","june, 2024",,,,,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20240513/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
motorola edge family,motorola edge 50 pro,Australia,20240513,regular,"march, 2024","february, 2028",android 14,,android 15,this device will receive at least bimonthly smrs updates,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20240513/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
motorola razr family,motorola razr 40 ultra,Australia,20240513,regular,"june, 2023","june, 2027",android 13,,android 14,this device will receive at least bimonthly smrs updates,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20240513/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
ThinkPhone by motorola,ThinkPhone by motorola,Australia,20240513,monthly,"january, 2023","january, 2027",android 13,android 14,android 15,,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20240513/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
moto g family,moto g stylus 5G  2024,Australia,20240616,regular,"may, 2024","may, 2027",android 14,,android 15,this device will receive at least bimonthly smrs updates,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20240616/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
moto e family,moto e32s,Australia,20240616,regular,"june, 2022","june, 2024",,,,,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20240616/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
motorola edge family,motorola edge 50 ultra,Australia,20240616,regular,"may, 2024","may, 2028",android 14,,android 15,this device will receive at least bimonthly smrs updates,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20240616/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
motorola razr family,motorola razr 40 ultra,Australia,20240616,regular,"june, 2023","june, 2027",android 13,,android 14,this device will receive at least bimonthly smrs updates,channels and regions may have different launch dates and support cycle may vary.,https://web.archive.org/web/20240616/https://en-au.support.motorola.com/app/software-security-update/g_id/7112
Android One,moto g pro,Japan ,20230517,,,,,,,,,https://web.archive.org/web/20230517/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
moto g ,moto g stylus 2023,Japan ,20230517,,,,,,,,,https://web.archive.org/web/20230517/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
moto e ,moto e40,Japan ,20230517,,,,,,,,,https://web.archive.org/web/20230517/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
motorola edge ,motorola edge 2023,Japan ,20230517,,,,,,,,,https://web.archive.org/web/20230517/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
motorola one ,motorola one 5G UW ACE,Japan ,20230517,,,,,,,,,https://web.archive.org/web/20230517/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
motorola razr ,motorola razr 2022,Japan ,20230517,,,,,,,,,https://web.archive.org/web/20230517/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
ThinkPhone by motorola,ThinkPhone by motorola,Japan ,20230517,,,,,,,,,https://web.archive.org/web/20230517/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
Android One,moto g pro,Japan ,20230616,,,,,,,,,https://web.archive.org/web/20230616/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
moto g ,1 device,Japan ,20230616,,,,,,,,,https://web.archive.org/web/20230616/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
moto e ,moto e40,Japan ,20230616,,,,,,,,,https://web.archive.org/web/20230616/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
motorola edge ,motorola edge 2023,Japan ,20230616,,,,,,,,,https://web.archive.org/web/20230616/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
motorola one ,motorola one 5G UW ACE,Japan ,20230616,,,,,,,,,https://web.archive.org/web/20230616/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
motorola razr ,1 device,Japan ,20230616,,,,,,,,,https://web.archive.org/web/20230616/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
ThinkPhone by motorola,ThinkPhone by motorola,Japan ,20230616,,,,,,,,,https://web.archive.org/web/20230616/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
Android One,moto g pro,Japan ,20230618,,,,,,,,,https://web.archive.org/web/20230618/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
moto g ,1 device,Japan ,20230618,,,,,,,,,https://web.archive.org/web/20230618/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
moto e ,moto e40,Japan ,20230618,,,,,,,,,https://web.archive.org/web/20230618/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
motorola edge ,motorola edge 2023,Japan ,20230618,,,,,,,,,https://web.archive.org/web/20230618/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
motorola one ,motorola one 5G UW ACE,Japan ,20230618,,,,,,,,,https://web.archive.org/web/20230618/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
motorola razr ,1 device,Japan ,20230618,,,,,,,,,https://web.archive.org/web/20230618/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
ThinkPhone by motorola,ThinkPhone by motorola,Japan ,20230618,,,,,,,,,https://web.archive.org/web/20230618/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
Android One,moto g pro,Japan ,20230702,,,,,,,,,https://web.archive.org/web/20230702/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
moto g ,moto g stylus 5G 2023,Japan ,20230702,,,,,,,,,https://web.archive.org/web/20230702/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
moto e ,moto e40,Japan ,20230702,,,,,,,,,https://web.archive.org/web/20230702/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
motorola edge ,motorola edge 2023,Japan ,20230702,,,,,,,,,https://web.archive.org/web/20230702/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
motorola one ,motorola one 5G UW ACE,Japan ,20230702,,,,,,,,,https://web.archive.org/web/20230702/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
motorola razr ,motorola razr 40 ultra,Japan ,20230702,,,,,,,,,https://web.archive.org/web/20230702/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
ThinkPhone by motorola,ThinkPhone by motorola,Japan ,20230702,,,,,,,,,https://web.archive.org/web/20230702/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
moto g ,moto g play  2024,Japan ,20240309,,,,,,,,,https://web.archive.org/web/20240309/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
moto e ,moto e32s,Japan ,20240309,,,,,,,,,https://web.archive.org/web/20240309/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
motorola edge ,motorola edge 2023,Japan ,20240309,,,,,,,,,https://web.archive.org/web/20240309/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
motorola razr ,motorola razr 40 ultra,Japan ,20240309,,,,,,,,,https://web.archive.org/web/20240309/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
ThinkPhone by motorola,ThinkPhone by motorola,Japan ,20240309,,,,,,,,,https://web.archive.org/web/20240309/https://jp-jp.support.motorola.com/app/software-security-update/g_id/7112
