device,monthly_start,monthly_end,regular_start,regular_end,monthly_duration,regular_duration
moto g pro,2023-04-03,2023-07-03,,,91 days,
1 device,,,2023-05-07,2024-04-15,,344 days
moto e40,,,2023-04-03,2024-02-04,,307 days
motorola one 5G UW ACE,,,2023-04-03,2023-07-03,,91 days
motorola razr 2022,,,2023-04-03,2023-06-05,,63 days
ThinkPhone by motorola,2023-04-03,2024-05-28,,,421 days,
motorola edge 2023,,,2023-05-22,2024-04-11,,325 days
moto g stylus 5G 2023,,,2023-06-27,2024-01-15,,202 days
motorola razr 40 ultra,,,2023-06-27,2024-05-28,,336 days
moto e32s,,,2024-03-07,2024-05-28,,82 days
motorola edge 50 pro,,,2024-04-15,2024-05-28,,43 days
moto g 5G  2024,,,2024-05-08,2024-05-28,,20 days
moto g stylus 2023,,,2023-05-22,2023-05-22,,0 days
moto g play  2024,,,2024-03-07,2024-03-16,,9 days
moto g 5G 2023,,,2023-06-01,2023-06-05,,4 days
moto g play 2023,,,2023-04-03,2023-04-08,,5 days
motorola edge 30 ultra,,,2023-04-03,2023-04-08,,5 days
