ID,CVE,year,month,spl_type,date,bug,link,Type,Severity,vul_true,component,devices,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,cwe,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity,cwe_info,Date,earliest_version,latest_version
115,CVE-2024-0015,2024,1,1/1/24,,A-300090204,"https://android.googlesource.com/platform/frameworks/base/+/2ce1b7fd37273ea19fbbb6daeeaa6212357b9a70"" rel=""noreferrer",EoP,High,"11, 12, 12L, 13",,,"In convertToComponentName of DreamService.java, there is a possible way to launch arbitrary protected activities due to intent redirection. This could lead to local escalation of privilege with User execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T19:15:08.153,2024-02-16T19:26:55.393,,,,,,,,,,,,,2024-01-01,11,13
116,CVE-2024-0018,2024,1,1/1/24,,A-300476626,"https://android.googlesource.com/platform/frameworks/av/+/bf6406041919f67219fd1829438dda28845d4c23"" rel=""noreferrer",EoP,High,"11, 12, 12L, 13, 14",,,"In convertYUV420Planar16ToY410 of ColorConverter.cpp, there is a possible out of bounds write due to a heap buffer overflow. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T20:15:47.560,2024-02-16T21:39:50.223,,,,,,,,,,,,,2024-01-01,11,14
117,CVE-2024-0023,2024,1,1/1/24,,A-283099444,"https://android.googlesource.com/platform/frameworks/av/+/30b1b34cfd5abfcfee759e7d13167d368ac6c268"" rel=""noreferrer,https://android.googlesource.com/platform/frameworks/av/+/30b1b34cfd5abfcfee759e7d13167d368ac6c268"" rel=""noreferrer",EoP,High,"11, 12, 12L, 13, 14",,,"In ConvertRGBToPlanarYUV of Codec2BufferUtils.cpp, there is a possible out of bounds write due to an incorrect bounds check. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T20:15:47.767,2024-02-16T21:39:50.223,,,,,,,,,,,,,2024-01-01,11,14
118,CVE-2024-0019,2024,1,1/1/24,,A-294104969,"https://android.googlesource.com/platform/frameworks/base/+/707fc94ec3df4cf6b985e6d06c2588690d1a025a"" rel=""noreferrer",ID,High,"12, 12L, 13, 14",,,"In setListening of AppOpsControllerImpl.java, there is a possible way to hide the microphone privacy indicator when restarting systemUI due to a missing check for active recordings. This could lead to local denial of service with no additional execution privileges needed. User interaction is needed for exploitation.",,2024-02-16T20:15:47.610,2024-02-16T21:39:50.223,,,,,,,,,,,,,2024-01-01,12,14
119,CVE-2024-0021,2024,1,1/1/24,,A-282934003,"https://android.googlesource.com/platform/packages/apps/Settings/+/53ea491d276f9a7c586c7983c08105a9bb7051f1"" rel=""noreferrer",EoP,High,"13, 14",,,"In onCreate of NotificationAccessConfirmationActivity.java, there is a possible way for an app in the work profile to enable notification listener services due to a logic error in the code. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation.",,2024-02-16T20:15:47.717,2024-02-16T21:39:50.223,,,,,,,,,,,,,2024-01-01,13,14
120,CVE-2023-40085,2024,1,1/1/24,,A-269271098,"https://android.googlesource.com/platform/packages/modules/NeuralNetworks/+/ed6ee1f7eca7b33160e36ac6d730a9ef395ca4f1"" rel=""noreferrer",ID,High,"12, 12L, 13",,,"In convertSubgraphFromHAL of ShimConverter.cpp, there is a possible out of bounds read due to a missing bounds check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T19:15:08.093,2024-02-16T19:26:55.393,,,,,,,,,,,,,2024-01-01,12,13
121,CVE-2024-0016,2024,1,1/1/24,,A-279169188,"https://android.googlesource.com/platform/packages/modules/Bluetooth/+/1d7ba7c8a205522f384e8d5c7c9f26a421cab5f1"" rel=""noreferrer,https://android.googlesource.com/platform/packages/modules/Bluetooth/+/1d7ba7c8a205522f384e8d5c7c9f26a421cab5f1"" rel=""noreferrer",ID,High,"11, 12, 12L, 13, 14",,,"In multiple locations, there is a possible out of bounds read due to a missing bounds check. This could lead to paired device information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T20:15:47.460,2024-02-16T21:39:50.223,,,,,,,,,,,,,2024-01-01,11,14
122,CVE-2024-0017,2024,1,1/1/24,,A-285142084,"https://android.googlesource.com/platform/packages/apps/Camera2/+/5c4c4b35754eef319dcd69c422f0b1ac0c823f6e"" rel=""noreferrer",ID,High,"11, 12, 12L, 13, 14",,,"In shouldUseNoOpLocation of CameraActivity.java, there is a possible confused deputy due to a permissions bypass. This could lead to local information disclosure with no additional execution privileges needed. User interaction is needed for exploitation.",,2024-02-16T20:15:47.513,2024-02-16T21:39:50.223,,,,,,,,,,,,,2024-01-01,11,14
123,CVE-2024-0020,2024,1,1/1/24,,A-299614635,"https://android.googlesource.com/platform/packages/apps/Settings/+/87f791f2351e366f842a0fd6fcb744069160d9a1"" rel=""noreferrer",ID,High,"11, 12, 12L, 13, 14",,,"In onActivityResult of NotificationSoundPreference.java, there is a possible way to hear audio files belonging to a different user due to a confused deputy. This could lead to local information disclosure across users of a device with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T20:15:47.667,2024-02-16T21:39:50.223,,,,,,,,,,,,,2024-01-01,11,14
124,CVE-2024-0018,2024,1,1/1/24,,,,,,,Media Codecs,,"In convertYUV420Planar16ToY410 of ColorConverter.cpp, there is a possible out of bounds write due to a heap buffer overflow. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T20:15:47.560,2024-02-16T21:39:50.223,,,,,,,,,,,,,2024-01-01,,
127,CVE-2023-21165,2024,1,1/5/24,,A-292001469,,,High,,PowerVR-GPU,,"In DevmemIntUnmapPMR of devicemem_server.c, there is a possible arbitrary code execution due to a use after free. This could lead to local escalation of privilege in the kernel with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T19:15:08.007,2024-02-16T20:15:47.257,,,,,,,,,,,,,2024-01-01,,
1289,CVE-2017-17768,2019,9,9/5/19,,"A-67748905,,QC-CR#2127172",https://source.codeaurora.org/quic/la/kernel/lk/commit/?id=0d06ad00c8d6630cd90016226c7d68eedb5a1132,,High,,LK bootloader,,CVE ID Not Found,,,,,,,,,,,,,,,,2019-09-01,,
4419,CVE-2021-27666,2021,10,10/5/21,,A-180401789,,ID,High,,Modem,,CVE ID Not Found,,,,,,,,,,,,,,,,2021-10-01,,
125,CVE-2023-4295,2024,1,1/5/24,,A-275619408,,,High,,Mali,,"A local non-privileged user can make improper GPU memory processing operations to gain access to already freed memory. 

",,2023-11-07T16:15:29.340,2023-12-28T17:14:36.030,CWE-190,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Integer Overflow or Wraparound,2024-01-01,,
125,CVE-2023-4295,2024,1,1/5/24,,A-275619408,,,High,,Mali,,"A local non-privileged user can make improper GPU memory processing operations to gain access to already freed memory. 

",,2023-11-07T16:15:29.340,2023-12-28T17:14:36.030,CWE-416,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Use After Free,2024-01-01,,
125,CVE-2023-4295,2024,1,1/5/24,,A-275619408,,,High,,Mali,,"A local non-privileged user can make improper GPU memory processing operations to gain access to already freed memory. 

",,2023-11-07T16:15:29.340,2023-12-28T17:14:36.030,CWE-190,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Integer Overflow or Wraparound,2024-01-01,,
125,CVE-2023-4295,2024,1,1/5/24,,A-275619408,,,High,,Mali,,"A local non-privileged user can make improper GPU memory processing operations to gain access to already freed memory. 

",,2023-11-07T16:15:29.340,2023-12-28T17:14:36.030,CWE-416,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Use After Free,2024-01-01,,
126,CVE-2023-5427,2024,1,1/5/24,,A-308188337,,,High,,Mali,,"Use After Free vulnerability in Arm Ltd Bifrost GPU Kernel Driver, Arm Ltd Valhall GPU Kernel Driver, Arm Ltd Arm 5th Gen GPU Architecture Kernel Driver allows a local non-privileged user to make improper GPU processing operations to gain access to already freed memory.This issue affects Bifrost GPU Kernel Driver: from r44p0 through r45p0; Valhall GPU Kernel Driver: from r44p0 through r45p0; Arm 5th Gen GPU Architecture Kernel Driver: from r44p0 through r45p0.

",,2023-12-01T11:15:07.980,2023-12-06T20:56:58.567,CWE-416,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Use After Free,2024-01-01,,
126,CVE-2023-5427,2024,1,1/5/24,,A-308188337,,,High,,Mali,,"Use After Free vulnerability in Arm Ltd Bifrost GPU Kernel Driver, Arm Ltd Valhall GPU Kernel Driver, Arm Ltd Arm 5th Gen GPU Architecture Kernel Driver allows a local non-privileged user to make improper GPU processing operations to gain access to already freed memory.This issue affects Bifrost GPU Kernel Driver: from r44p0 through r45p0; Valhall GPU Kernel Driver: from r44p0 through r45p0; Arm 5th Gen GPU Architecture Kernel Driver: from r44p0 through r45p0.

",,2023-12-01T11:15:07.980,2023-12-06T20:56:58.567,CWE-416,cvssMetricV31,LOCAL,LOW,LOW,NONE,HIGH,HIGH,HIGH,7.8,HIGH,Use After Free,2024-01-01,,
128,CVE-2023-32874,2024,1,1/5/24,,"A-309364195,M-MOLY01161803",,,High,,Modem IMS Stack,,"In Modem IMS Stack, there is a possible out of bounds write due to a missing bounds check. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation. Patch ID: MOLY01161803; Issue ID: MOLY01161803 (MSV-893).",,2024-01-02T03:15:07.833,2024-01-05T12:11:38.880,CWE-787,cvssMetricV31,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,Out-of-bounds Write,2024-01-01,,
