filename,first_12_bytes,spl,identifier,firmware_name,os_version,android_version,patch_type
CPH1609EX_11_OTA_0330_all_202108090923.ozip,OPPOENCRYPT!,,2.0,,,,
CPH1979EX_11_OTA_1260_all_djMChpDK8cK5.ozip,PK,,3.0,,,,
CPH1907EUEX_11_OTA_0420_all_bDj6EUd5kD2y.ozip,OPPOENCRYPT!,2020-06-05,4.0,,,,
CPH2023EU_11_OTA_0800_all_7bEWPPACXHRm.ozip,OPPOENCRYPT!,2020-07-05,5.0,,,,
CPH2023EU_11_OTA_0960_all_paW2K1vjCOOi.ozip,OPPOENCRYPT!,2020-10-05,6.0,,,,
CPH2083EUEX_11_OTA_0340_all_A0clKgxe5TsL.ozip,PK,,7.0,,,,
CPH2083EUEX_11_OTA_0660_all_b0keXbuDhuWX.ozip,PK,,8.0,,,,
CPH2001EUEX_11_OTA_1440_all_g5CsYVelmZAq.ozip,PK,,9.0,,,,
CPH1979EX_11_OTA_1270_all_MTxEibzZ01nY.ozip,PK,,10.0,,,,
CPH1945EUEX_11_OTA_1220_all_7DVbzktVokHF.ozip,OPPOENCRYPT!,2020-05-05,11.0,,,,
CPH2023EU_11_OTA_0600_all_BJR5tykXwp3S.ozip,OPPOENCRYPT!,2020-03-05,12.0,,,,
CPH2001EUEX_11_OTA_0340_all_h35xK7tMFUtU.ozip,OPPOENCRYPT!,2020-06-05,13.0,,,,
CPH2001EUEX_11_OTA_0360_all_akLWweX1oYZc.ozip,OPPOENCRYPT!,2020-07-05,14.0,,,,
CPH1945EUEX_11_OTA_0240_all_ynFYKXSelPxy.ozip,OPPOENCRYPT!,2020-05-05,15.0,,,,
CPH1951EUEX_11_OTA_0260_all_T6hnBttPMOrF.ozip,OPPOENCRYPT!,2020-06-05,16.0,,,,
CPH1951EUEX_11_OTA_1380_all_ZYIMlaCVZ7Pn.ozip,OPPOENCRYPT!,2020-10-05,17.0,,,,
CPH1951EUEX_11_OTA_1400_all_ELXBuaQVgLMD.ozip,OPPOENCRYPT!,2020-11-05,18.0,,,,
CPH1951EUEX_11_OTA_1480_all_dyJHJ3akbUpq.ozip,OPPOENCRYPT!,2021-05-05,19.0,,,,
CPH2023EU_11_OTA_0740_all_9g7Y4CVkFI9d.ozip,OPPOENCRYPT!,2020-06-05,20.0,,,,
CPH1819EX_11_OTA_0360_all_mRpEpeJnjBF6.ozip,OPPOENCRYPT!,,21.0,,,,
CPH2059PU_11_OTA_0490_all_C7TwrZs4H5Cf.ozip,PK,,22.0,,,,
CPH2083EUEX_11_OTA_0240_all_SNuPJWpXeZgn.ozip,PK,,23.0,,,,
CPH2083EUEX_11_OTA_0440_all_omvBSiPvq2jf.ozip,PK,,24.0,,,,
CPH2083EUEX_11_OTA_0480_all_V0IbL5b2Nh8Q.ozip,PK,,25.0,,,,
CPH2083EUEX_11_OTA_0520_all_q3dekfYUvF2d.ozip,PK,,26.0,,,,
CPH2083EUEX_11_OTA_0540_all_JCC1kFo46iL6.ozip,PK,,27.0,,,,
CPH2083EUEX_11_OTA_0560_all_gLv5E54fNJtw.ozip,PK,,28.0,,,,
CPH2083EUEX_11_OTA_0620_all_ZG3cDnJFrd4K.ozip,PK,,29.0,,,,
CPH2083EUEX_11_OTA_0640_all_Fpc1kkmjvCCi.ozip,PK,,30.0,,,,
CPH2001EUEX_11_OTA_0320_all_qCCMyWoWNZ8M.ozip,OPPOENCRYPT!,2020-06-05,31.0,,,,
CPH2001EUEX_11_OTA_1540_all_bzNGyNIw3GUu.ozip,PK,,32.0,,,,
CPH2001EUEX_11_OTA_1380_all_NEugwghkzi9O.ozip,PK,,33.0,,,,
CPH1907EUEX_11_OTA_0400_all_zlGnZlNxlLw5.ozip,OPPOENCRYPT!,2020-05-05,35.0,,,,
CPH2023EU_11_OTA_0580_all_z2odanzRPhvy.ozip,OPPOENCRYPT!,2020-02-05,36.0,,,,
CPH2023EU_11_OTA_0920_all_6biiSwgX8vAL.ozip,OPPOENCRYPT!,2020-09-05,37.0,,,,
CPH1941EUEX_11_OTA_0520_all_OGFCHvxNWCnB.ozip,PK,,38.0,,,,
CPH2001EUEX_11_OTA_0260_all_LOUPJ2FzDPn7.ozip,OPPOENCRYPT!,2020-02-05,39.0,,,,
CPH2001EUEX_11_OTA_0280_all_kym0GDtwLxf8.ozip,OPPOENCRYPT!,2020-03-05,40.0,,,,
CPH2001EUEX_11_OTA_0300_all_Bj8J5eh0fr8C.ozip,OPPOENCRYPT!,2020-04-05,41.0,,,,
CPH2001EUEX_11_OTA_1400_all_nI2hOMGRrIRZ.ozip,PK,,42.0,,,,
CPH2001EUEX_11_OTA_1420_all_olVi2meRVer7.ozip,PK,,43.0,,,,
CPH2001EUEX_11_OTA_1460_all_onVd58UZu7aM.ozip,PK,,44.0,,,,
CPH2001EUEX_11_OTA_1500_all_SHcz0p0CF9Cj.ozip,PK,,45.0,,,,
CPH2001EUEX_11_OTA_1520_all_R4snyfwvkYQq.ozip,PK,,46.0,,,,
CPH2059EU_11_OTA_0320_all_SPmPDBBwFoIc.ozip,PK,,47.0,,,,
CPH2059EU_11_OTA_0420_all_MpMTx89UW40e.ozip,PK,,48.0,,,,
CPH2059EU_11_OTA_0500_all_AqnVmoert9Hb.ozip,PK,,49.0,,,,
CPH2059EU_11_OTA_0540_all_ioWPJCTHSrym.ozip,PK,,50.0,,,,
CPH2179EU_11_OTA_0160_all_k1jAyr8s5MR8.ozip,PK,,51.0,,,,
CPH1979EX_11_OTA_0200_all_RrLVdNpdKGzu.ozip,PK,,52.0,,,,
CPH1945EUEX_11_OTA_0220_all_vXmlpOadia5G.ozip,OPPOENCRYPT!,2020-04-05,53.0,,,,
CPH1907EUEX_11_OTA_1320_all_STg4v5aUrDS8.ozip,OPPOENCRYPT!,2020-06-05,54.0,,,,
CPH1907EUEX_11_OTA_1360_all_zToPVPtYtwg0.ozip,OPPOENCRYPT!,2020-08-05,55.0,,,,
CPH1831EX_11_OTA_2450_all_o5easCoy2Nep.ozip,OPPOENCRYPT!,2020-09-05,56.0,,,,
A5_2020_11_OTA_0280_all_GStMX3g2nxo6.ozip,PK,,57.0,,,,
A5_2020_EU_11_OTA_0440_all_IZ5mDMIRfAJY.ozip,PK,,58.0,,,,
A5_2020_EU_11_OTA_0480_all_dycYtnDIGIoD.ozip,PK,,59.0,,,,
A5_2020_EU_11_OTA_0540_all_jokUAv51Nb7e.ozip,PK,,60.0,,,,
CPH1941EUEX_11_OTA_1740_all_yS3e2FJ6ElAz.ozip,PK,,61.0,,,,
CPH1941EUEX_11_OTA_1780_all_xXcMo6g7lHnO.ozip,PK,,62.0,,,,
CPH1941EUEX_11_OTA_1820_all_oMrSvBuoJwyi.ozip,PK,,63.0,,,,
CPH1941EUEX_11_OTA_1840_all_I3iyDm9P6FQX.ozip,PK,,64.0,,,,
CPH1931EUEX_11_OTA_1860_all_BsyuHPMwmYdQ.ozip,PK,,65.0,,,,
CPH1931EUEX_11_OTA_1880_all_sE6trmFYjx2o.ozip,PK,,66.0,,,,
CPH1931EUEX_11_OTA_1900_all_1HpqQp4pvE4N.ozip,PK,,67.0,,,,
CPH1931EUEX_11_OTA_1940_all_5GgSE6HRdBwz.ozip,PK,,68.0,,,,
CPH1931EUEX_11_OTA_2000_all_mRPz3sMLOBp3.ozip,PK,,69.0,,,,
CPH2179EU_11_OTA_0140_all_5pUwJfsLkYjq.ozip,PK,,70.0,,,,
CPH2179EU_11_OTA_0220_all_DoWUXWV9wQpq.ozip,PK,,71.0,,,,
CPH2179EU_11_OTA_0400_all_iAKdaOMv0l42.ozip,PK,,72.0,,,,
CPH2179EU_11_OTA_0420_all_WrNQU8pFsbWe.ozip,PK,,73.0,,,,
CPH1917EX_11_OTA_2260_all_2ebsIEH2kP5u.ozip,OPPOENCRYPT!,2020-05-05,74.0,,,,
CPH1951EX_11_OTA_0160_all_1dCh3Hzsx0rw.ozip,OPPOENCRYPT!,2019-12-05,75.0,,,,
CPH1945EUEX_11_OTA_1320_all_7sjvjflHuTOq.ozip,OPPOENCRYPT!,2020-08-05,76.0,,,,
CPH1945EUEX_11_OTA_1360_all_VYLFNNN7Bacz.ozip,OPPOENCRYPT!,2020-09-05,77.0,,,,
CPH1951EUEX_11_OTA_1420_all_xO0yxUxKxb8L.ozip,OPPOENCRYPT!,2020-12-05,78.0,,,,
CPH1951EUEX_11_OTA_1440_all_yVTMor39u64H.ozip,OPPOENCRYPT!,2021-01-05,79.0,,,,
CPH1951EUEX_11_OTA_1460_all_ugzBPUmZ9H8Z.ozip,OPPOENCRYPT!,2021-03-05,80.0,,,,
CPH1907EX_11_OTA_0270_all_22IM8NiToUYo.ozip,OPPOENCRYPT!,2019-12-05,81.0,,,,
CPH1907EUEX_11_OTA_0300_all_dQSsPpyRcO6x.ozip,OPPOENCRYPT!,2020-01-05,82.0,,,,
