firmware_name,spl,os_version,android_version,patch_type
M6763D_11_OTA_0220_all_3tB5ylRMpVXS.zip,,,,1
CPH2015PUEX_11_OTA_0330_all_FwCDpn9LyQcD.zip,2020-05-05,,,1
CPH2015PUEX_11_OTA_0590_all_WeAufF45iGkq.zip,2021-11-05,,,1
M6763E_11_OTA_0250_all_vTu2wdIhDblX.zip,,,,1
CPH2035EU_11_OTA_0300_all_5dShtEthT5MA.zip,2020-11-05,,,1
M6763E_11_OTA_0290_all_M2CdA86bizls.zip,,,,1
A9_2020_EU_11_OTA_0480_all_dycYtnDIGIoD.zip,2020-04-05,,,1
CPH2015EUEX_11_OTA_0560_all_Egozndqt9lDf.zip,2021-09-05,,,1
CPH2161EU_11_OTA_0160_all_qdkFjIR46YB9.zip,2021-09-05,,,1
CPH1937EX_11_OTA_1690_all_KbtqZAEDhvh1.zip,2020-08-05,V7.1,10,1
CPH1859EX_11_OTA_1160_all_Pr0eM5GDG77s.zip,2020-08-05,V7.1,10,1
CPH2015EUEX_11_OTA_0580_all_LevhYRuHRzXb.zip,2021-11-05,,,1
M6763E_11_OTA_0260_all_omMU5YgScO8T.zip,,,,1
CPH1877EX_11_OTA_3370_all_7BhOjTmIwRS1.zip,2020-05-05,,,1
CPH1859EX_11_OTA_1170_all_NFryHmCK0TWt.zip,2021-03-05,,,1
CPH2043EU_11_OTA_0240_all_Oi9xCn5Pe7tr.zip,2020-08-05,,,1
M6763E_11_OTA_0270_all_RnVr1fNlnBD4.zip,,,,1
CPH1921EX_11_OTA_1330_all_pZLXQcdKsPJx.zip,2021-03-05,,,1
CPH2095EU_11_OTA_0340_all_BgeuFAehwZaW.zip,2021-01-05,V7.2,10,1
CPH1921EX_11_OTA_1310_all_4eOVXR84mgLc.zip,2021-01-05,V7.2,10,1
M6763D_11_OTA_0330_all_XofpuPw807vr.zip,,,,1
CPH2095EU_11_OTA_0380_all_txZn3AoNJFoC.zip,2021-02-05,V7.2,10,1
CPH2015PUEX_11_OTA_0370_all_sJAwjCFSpw7p.zip,2020-06-05,,,1
M6763D_11_OTA_0350_all_MNq2a4a5WXxw.zip,,,,1
A9_2020_EU_11_OTA_0540_all_jokUAv51Nb7e.zip,2020-05-05,,,1
CHP1729_11_A.21_OTA_0210_all_201809221912.zip,,,,1
CPH2015PUEX_11_OTA_0510_all_zJ2QFH08kdox.zip,2021-03-05,,,1
CPH2015EUEX_11_OTA_0500_all_s3rUAKp4FGJB.zip,2021-03-05,,,1
CPH1921EX_11_OTA_1270_all_lLjGLx9FPWMy.zip,2021-03-05,,,1
CPH2015PUEX_11_OTA_0490_all_MdUztuMb0e1i.zip,2021-01-05,,,1
CPH2043EU_11_OTA_0140_all_RFcmf8p3N619.zip,2021-01-05,,,1
CPH1859EX_11_OTA_0320_all_1nStS1nyuIwX.zip,2021-01-05,,,1
CPH1941PUEX_11_OTA_1870_all_Rhme8YiYdblu.zip,2021-05-05,V7.1,10,1
M6763E_11_OTA_0240_all_sOlqJ8Gk4ytM.zip,,,,1
CPH1921EX_11_OTA_0210_all_Kuza6umZfuhq.zip,2020-05-05,,,1
M6763D_11_OTA_0240_all_WWQQht8pIJMn.zip,,,,1
CPH2035EU_11_OTA_0340_all_x1v6zmbkqpo1.zip,2020-12-05,,,1
CPH1859EX_11_OTA_1180_all_SkDOAoKxXCKo.zip,2021-05-05,,,1
M6763E_11_OTA_0340_all_A5a6hgupl7YT.zip,,,,1
CPH2015PUEX_11_OTA_0231_all_jCHxG3KuWrOL.zip,,,,1
CPH2015EUEX_11_OTA_0320_all_XVMohDGdsArY.zip,2020-05-05,,,1
CPH1941EUEX_11_OTA_1800_all_FTXgE0tTvrBn.zip,2020-09-05,V7.1,10,1
CPH1921_11_OTA_0130_all_NP98T5YzecT6.zip,2020-09-05,V7.1,10,1
CPH1921EX_11_OTA_1300_all_xxZV2fOLql9h.zip,2020-09-05,V7.1,10,1
M6763D_11_OTA_0250_all_iNTLLkUmYVzR.zip,,,,1
A9_2020_11_OTA_0280_all_GStMX3g2nxo6.zip,2019-11-05,,,1
CPH1921EX_11_OTA_1360_all_VBWpHGfNWclV.zip,2019-11-05,,,1
CPH1941EUEX_11_OTA_1880_all_sE6trmFYjx2o.zip,2021-05-05,V7.1,10,1
CPH2035EU_11_OTA_0200_all_e8irD4ej1oOv.zip,2021-05-05,V7.1,10,1
CPH2095EU_11_OTA_0300_all_PTi4px7wx4y0.zip,2020-11-05,V7.2,10,1
CPH2161EU_11_OTA_0080_all_vOzkbMGVWJoP.zip,2020-11-05,V7.2,10,1
CPH1921EX_11_OTA_0200_all_94au7kOSwcLb.zip,2020-11-05,V7.2,10,1
M6763C_11_A.18_OTA_0180_all_201808021611.zip,,,,1
cph1729_11_A.21_OTA_0210_all_201809230102.zip,,,,1
M6763E_11_OTA_0280_all_3ad1pm0OL670.zip,,,,1
A9_2020_PU_11_OTA_0470_all_DJuhWDP8YC1S.zip,2020-04-05,,,1
CPH2095PU_11_OTA_0330_all_e032Rh8STcpE.zip,2021-01-05,V7.2,10,1
CPH2043PU_11_OTA_0090_all_4aexFJNMTvao.zip,2021-01-05,V7.2,10,1
CPH1859EX_11_OTA_1150_all_l7LOQ2sWDTPF.zip,2021-01-05,V7.2,10,1
A9_2020_EU_11_OTA_0440_all_IZ5mDMIRfAJY.zip,2020-02-05,,,1
CPH1921EX_11_OTA_0110_all_sNh960pM4ZyZ.zip,2020-02-05,,,1
A9_2020_11_OTA_0190_all_zQqxnxLtAFWo.zip,2019-11-05,,,1
M6763D_11_OTA_0270_all_mK7bM8UbvLMb.zip,,,,1
M6763D_11_OTA_0340_all_jxKy4Y3kG4Vp.zip,,,,1
CPH2113PU_11_OTA_0170_all_7NOdzIxjBMXr.zip,2020-09-05,,,1
M6763E_11_OTA_0350_all_bLeijRXrGOxT.zip,,,,1
M6763D_11_OTA_0230_all_0sqMPsrukNaI.zip,,,,1
CPH1921EX_11_OTA_1320_all_j7ZQRzKJvzQE.zip,2021-01-05,,,1
M6763D_11_OTA_0280_all_d2OQSdEI9eBN.zip,,,,1
CPH2015PUEX_11_OTA_0570_all_gCyO91TSy35p.zip,2021-09-05,,,1
CPH1921EX_11_OTA_1340_all_B5cbgIuFLi5c.zip,2021-09-05,,,1
CPH2015PUEX_11_OTA_0410_all_PshhZ1aBbku2.zip,2020-08-01,,,1
CPH2035EU_11_OTA_0280_all_LmzryJQQzmEj.zip,2020-08-01,,,1
CPH2015PUEX_11_OTA_0390_all_s4m3nUTfUoer.zip,2020-07-05,,,1
CPH2035EU_11_OTA_0260_all_vjPX4o6sc7BR.zip,2020-07-05,,,1
CPH2015PUEX_11_OTA_0310_all_HKa6BMG3d6CG.zip,2020-04-05,,,1
CPH2043PU_11_OTA_0210_all_7ewiK32zpgol.zip,2020-04-05,,,1
CPH2161PU_11_OTA_0070_all_tkUYkKJcEugL.zip,2020-04-05,,,1
CPH1921EX_11_OTA_1280_all_b1mVDo1RE3NY.zip,2020-04-05,,,1
CPH1921EUEX_11_OTA_1380_all_9tCHiQz7x39f.zip,2020-04-05,,,1
CPH2015EUEX_11_OTA_0460_all_Dls4T8efSVij.zip,2020-11-05,,,1
CPH1921EX_11_OTA_0180_all_s56EbRdEK5jq.zip,2020-11-05,,,1
CPH1941PUEX_11_OTA_1850_all_hlte1ljlbc2h.zip,2021-03-05,V7.1,10,1
CPH2043PU_11_OTA_0190_all_6B3UqSOdYYO8.zip,2021-03-05,V7.1,10,1
CPH2015PUEX_11_OTA_0610_all_wv6l4jM4JLIV.zip,2022-01-05,,,1
A9_2020_11_OTA_0430_all_MQg0Gb6DH3yF.zip,2020-02-05,,,1
CPH1921EX_11_OTA_1260_all_g9NiBuAgrqem.zip,2020-02-05,,,1
M6763D_11_OTA_0320_all_GrwS8Y5fUA8e.zip,,,,1
CPH2015PUEX_11_OTA_0530_all_ulHnFZUeX6Cj.zip,2021-05-05,,,1
CPH2015EUEX_11_OTA_0400_all_udVdU8UqDAdZ.zip,2020-08-01,,,1
CPH1921EX_11_OTA_1370_all_8Ll2qd4cKBJK.zip,2020-08-01,,,1
CPH2161PU_11_OTA_0150_all_yhwXF0j8shPU.zip,2020-08-01,,,1
CPH2015EUEX_11_OTA_0600_all_Ra7KPeO2qOXE.zip,2022-01-05,,,1
CPH2035PU_11_OTA_0330_all_3Dv7Aar7nmWm.zip,2022-01-05,,,1
CPH2035PU_11_OTA_0250_all_0bx098hpNHUr.zip,2022-01-05,,,1
A9_2020_11_OTA_0270_all_msR3SMNz1bdn.zip,2019-11-05,,,1
CPH2043PU_11_OTA_0230_all_5Lwepkibd6l1.zip,2019-11-05,,,1
M6763E_11_OTA_0320_all_6NIyRG0fzhhH.zip,,,,1
CPH2161EU_11_OTA_0100_all_ip5tY9wUxGN4.zip,2020-11-05,,,1
CPH2043PU_11_OTA_0170_all_wBHvumbMoDQg.zip,2020-05-05,,,1
CPH1859EX_11_OTA_0190_all_DBZHl526X6Cr.zip,,,,1
M6763D_11_OTA_0260_all_JIpJstVEawWZ.zip,,,,1
CPH2015PUEX_11_OTA_0450_all_qkaw2vYDFs4a.zip,2020-10-05,,,1
A9_2020_11_OTA_0190_all_4eFyg8y02S8t.zip,2019-11-05,,,1
M6763E_11_OTA_0230_all_SvxP2PUHMvxa.zip,,,,1
CPH1941EUEX_11_OTA_1860_all_BsyuHPMwmYdQ.zip,2021-03-05,V7.1,10,1
CPH1859EX_11_OTA_1090_all_OhlYpz1pLJ1Z.zip,2021-03-05,V7.1,10,1
CPH2015PUEX_11_OTA_0470_all_yrhv59zMmPLC.zip,2020-11-05,,,1
