phone_model,support,date,model_name,model_number
Find X2（CPH2023、CPH1921）,monthly,2023-03-03 16:22:08,Find X2,CPH2023、CPH1921
Find X2 Pro（CPH2025）,monthly,2023-03-03 16:22:08,Find X2 Pro,CPH2025
Find X3（PEDM00）,monthly,2023-03-03 16:22:08,Find X3,PEDM00
Find X3 Neo（CPH2207）,monthly,2023-03-03 16:22:08,Find X3 Neo,CPH2207
Find X3 Pro（PEEM00、CPH2173、CPH2305）,monthly,2023-03-03 16:22:08,Find X3 Pro,PEEM00、CPH2173、CPH2305
Find X5（PFFM10、CPH2307）,monthly,2023-03-03 16:22:08,Find X5,PFFM10、CPH2307
Find X5 Pro(PFFM20、PFEM10、CPH2305）,monthly,2023-03-03 16:22:08,Find X5 Pro,
Find X5 Lite（CPH2371）,monthly,2023-03-03 16:22:08,Find X5 Lite,CPH2371
Find N（PEUM00）,monthly,2023-03-03 16:22:08,Find N,PEUM00
Find N2(PGU110、CPH2437),monthly,2023-03-03 16:22:08,Find N2,
Find X2 Lite（CPH2005）,quarterly,2023-03-03 16:22:08,Find X2 Lite,CPH2005
Find X2 Neo（CPH2009）,quarterly,2023-03-03 16:22:08,Find X2 Neo,CPH2009
Find X2（PDEM10、PDET10）,quarterly,2023-03-03 16:22:08,Find X2,PDEM10、PDET10
Find X2 Pro（PDEM30）,quarterly,2023-03-03 16:22:08,Find X2 Pro,PDEM30
Find X3 Pro（OPG03）,quarterly,2023-03-03 16:22:08,Find X3 Pro,OPG03
Reno Ace（PCLM10）,quarterly,2023-03-03 16:22:08,Reno Ace,PCLM10
Reno Ace2（PDHM00）,quarterly,2023-03-03 16:22:08,Reno Ace2,PDHM00
Reno 10x Zoom（PCCM00、PCCT00、CPH1919）,quarterly,2023-03-03 16:22:08,Reno 10x Zoom,PCCM00、PCCT00、CPH1919
Reno Z（PCDM10、PCDT10、CPH1979）,quarterly,2023-03-03 16:22:08,Reno Z,PCDM10、PCDT10、CPH1979
Reno2（PCKM00、CPH1907）,quarterly,2023-03-03 16:22:08,Reno2,PCKM00、CPH1907
Reno2 F（CPH1989）,quarterly,2023-03-03 16:22:08,Reno2 F,CPH1989
Reno2 Z（PCKM80、CPH1945、CPH1951）,quarterly,2023-03-03 16:22:08,Reno2 Z,PCKM80、CPH1945、CPH1951
Reno3（CPH2043、PCRT01）,quarterly,2023-03-03 16:22:08,Reno3,CPH2043、PCRT01
Reno3 5G（PDCM00、PCLM50、A001OP）,quarterly,2023-03-03 16:22:08,Reno3 5G,PDCM00、PCLM50、A001OP
Reno3 A（CPH2013、A002OP）,quarterly,2023-03-03 16:22:08,Reno3 A,CPH2013、A002OP
Reno3 Pro（CPH2035、CPH2036、CPH2037、CPH2009）,quarterly,2023-03-03 16:22:08,Reno3 Pro,CPH2035、CPH2036、CPH2037、CPH2009
Reno3 Pro 5G（PCRM00）,quarterly,2023-03-03 16:22:08,Reno3 Pro 5G,PCRM00
Reno4（CPH2113、CPH2109）,quarterly,2023-03-03 16:22:08,Reno4,CPH2113、CPH2109
Reno4 5G（PDPM00、PDPT00、CPH2091）,quarterly,2023-03-03 16:22:08,Reno4 5G,PDPM00、PDPT00、CPH2091
Reno4 F（CPH2209）,quarterly,2023-03-03 16:22:08,Reno4 F,CPH2209
Reno4 Lite（CPH2125）,quarterly,2023-03-03 16:22:08,Reno4 Lite,CPH2125
Reno4 Pro（PDNT00、PDNM00、CPH2109、CPH2113）,quarterly,2023-03-03 16:22:08,Reno4 Pro,PDNT00、PDNM00、CPH2109、CPH2113
Reno4 Pro 5G（CPH2089）,quarterly,2023-03-03 16:22:08,Reno4 Pro 5G,CPH2089
Reno4 SE（PEAT00、PEAM00）,quarterly,2023-03-03 16:22:08,Reno4 SE,PEAT00、PEAM00
Reno4 Z 5G（CPH2065）,quarterly,2023-03-03 16:22:08,Reno4 Z 5G,CPH2065
Reno5（CPH2159、CPH2199、CPH2217）,quarterly,2023-03-03 16:22:08,Reno5,CPH2159、CPH2199、CPH2217
Reno5 5G（PEGT00、PEGM00、CPH2145）,quarterly,2023-03-03 16:22:08,Reno5 5G,PEGT00、PEGM00、CPH2145
Reno5 A（CPH2199、A103OP、A101OP）,quarterly,2023-03-03 16:22:08,Reno5 A,CPH2199、A103OP、A101OP
Reno5 F（CPH2217）,quarterly,2023-03-03 16:22:08,Reno5 F,CPH2217
Reno5 Z（CPH2211）,quarterly,2023-03-03 16:22:08,Reno5 Z,CPH2211
Reno5 K 5G（PEGM10、PEGT10）,quarterly,2023-03-03 16:22:08,Reno5 K 5G,PEGM10、PEGT10
Reno5 Lite（CPH2205）,quarterly,2023-03-03 16:22:08,Reno5 Lite,CPH2205
Reno5 Pro 5G（PDSM00、PDST00、CPH2201）,quarterly,2023-03-03 16:22:08,Reno5 Pro 5G,PDSM00、PDST00、CPH2201
Reno5 Pro+ 5G（PDRM00）,quarterly,2023-03-03 16:22:08,Reno5 Pro+ 5G,PDRM00
Reno6（PEQM00、CPH2235）,quarterly,2023-03-03 16:22:08,Reno6,PEQM00、CPH2235
Reno6  5G (CPH2251),quarterly,2023-03-03 16:22:08,Reno6  5G ,
Reno6 Pro（PEPM00）,quarterly,2023-03-03 16:22:08,Reno6 Pro,PEPM00
Reno6 Pro 5G(CPH2249、CPH2247),quarterly,2023-03-03 16:22:08,Reno6 Pro 5G,
Reno6 Pro+ 5G（PENM00）,quarterly,2023-03-03 16:22:08,Reno6 Pro+ 5G,PENM00
Reno6 Z 5G（CPH2237）,quarterly,2023-03-03 16:22:08,Reno6 Z 5G,CPH2237
Reno7 (CPH2363）,quarterly,2023-03-03 16:22:08,Reno7 ,
Reno7 5G（PFJM10、CPH2371）,quarterly,2023-03-03 16:22:08,Reno7 5G,PFJM10、CPH2371
