ID,CVE,year,month,spl_type,date,bug,link,Type,Severity,vul_true,component,devices,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,cwe,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity,cwe_info,Date
1,CVE-2024-0029,2024,02,2/1/24,,A-305664128,"https://android.googlesource.com/platform/frameworks/base/+/9b10fd9718f4e6f6843adbfc14e46a93aab93aad"" rel=""noreferrer",EoP,High,13,,,"In multiple files, there is a possible way to capture the device screen when disallowed by device policy due to a logic error in the code. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T02:15:50.633,2024-02-16T13:37:55.033,,,,,,,,,,,,,2024-02-01
2,CVE-2024-0032,2024,02,2/1/24,,A-283962634,"https://android.googlesource.com/platform/packages/providers/DownloadProvider/+/5acd646e0cf63e2c9c0862da7e03531ef0074394"" rel=""noreferrer,https://android.googlesource.com/platform/frameworks/base/+/4af5db76f25348849252e0b8a08f4a517ef842b7"" rel=""noreferrer",EoP,High,"11, 12, 12L, 13, 14",,,"In queryChildDocuments of FileSystemProvider.java, there is a possible way to request access to directories that should be hidden due to improper input validation. This could lead to local escalation of privilege with User execution privileges needed. User interaction is needed for exploitation.",,2024-02-16T02:15:50.823,2024-02-16T13:37:55.033,,,,,,,,,,,,,2024-02-01
3,CVE-2024-0034,2024,02,2/1/24,,A-298094386,"https://android.googlesource.com/platform/frameworks/base/+/653f7b0d234693309dc86161af01831b64033fe6"" rel=""noreferrer",EoP,High,"11, 12, 12L, 13",,,"In BackgroundLaunchProcessController, there is a possible way to launch arbitrary activity from the background due to BAL Bypass. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T02:15:50.933,2024-02-16T13:37:51.433,,,,,,,,,,,,,2024-02-01
4,CVE-2024-0036,2024,02,2/1/24,,A-230492947,"https://android.googlesource.com/platform/frameworks/base/+/3eaaa9687e90c65f51762deb343f18bef95d4e8e"" rel=""noreferrer",EoP,High,"11, 12, 12L, 13, 14",,,"In startNextMatchingActivity of ActivityTaskManagerService.java, there is a possible way to bypass the restrictions on starting activities from the background due to a logic error in the code. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T02:15:51.047,2024-02-16T13:37:51.433,,,,,,,,,,,,,2024-02-01
5,CVE-2024-0038,2024,02,2/1/24,,A-309426390,"https://android.googlesource.com/platform/frameworks/base/+/3e88d987235f5a2acd50a9b6bad78dbbf39cb079"" rel=""noreferrer",EoP,High,14,,,"In injectInputEventToInputFilter of AccessibilityManagerService.java, there is a possible arbitrary input event injection due to a missing permission check. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T02:15:51.157,2024-02-16T13:37:51.433,,,,,,,,,,,,,2024-02-01
6,CVE-2024-0041,2024,02,2/1/24,,A-300741186,"https://android.googlesource.com/platform/frameworks/base/+/d6f7188773409c8f5ad5fc7d3eea5b1751439e26"" rel=""noreferrer",EoP,High,14,,,"In removePersistentDot of SystemStatusAnimationSchedulerImpl.kt, there is a possible race condition due to a logic error in the code. This could lead to local escalation of privilege that fails to remove the persistent dot with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T02:15:51.253,2024-02-16T13:37:51.433,,,,,,,,,,,,,2024-02-01
7,CVE-2023-40122,2024,02,2/1/24,,A-286235483,"https://android.googlesource.com/platform/frameworks/base/+/55fc00a0788ea0995fe0851616b9ac21710a2931"" rel=""noreferrer",ID,High,"11, 12, 12L, 13, 14",,,"In applyCustomDescription of SaveUi.java, there is a possible way to view other user's images due to a confused deputy. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T02:15:50.513,2024-02-16T13:37:55.033,,,,,,,,,,,,,2024-02-01
8,CVE-2024-0037,2024,02,2/1/24,,A-292104015,"https://android.googlesource.com/platform/frameworks/base/+/55fc00a0788ea0995fe0851616b9ac21710a2931"" rel=""noreferrer",ID,High,"11, 12, 12L, 13, 14",,,"In applyCustomDescription of SaveUi.java, there is a possible way to view images belonging to a different user due to a missing permission check. This could lead to local information disclosure with User execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T02:15:51.097,2024-02-16T13:37:51.433,,,,,,,,,,,,,2024-02-01
9,CVE-2024-0040,2024,02,2/1/24,,A-300007708,"https://android.googlesource.com/platform/frameworks/av/+/2ca6c27dc0336fd98f47cfb96dc514efa98e8864"" rel=""noreferrer",ID,High,"11, 12, 12L, 13, 14",,,"In setParameter of MtpPacket.cpp, there is a possible out of bounds read due to a heap buffer overflow. This could lead to remote information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T02:15:51.203,2024-02-16T13:37:51.433,,,,,,,,,,,,,2024-02-01
10,CVE-2024-0031,2024,02,2/1/24,,A-297524203,"https://android.googlesource.com/platform/packages/modules/Bluetooth/+/de53890aaca2ae08b3ee2d6e3fd25f702fdfa661"" rel=""noreferrer",RCE,Critical,"11, 12, 12L, 13, 14",,,"In attp_build_read_by_type_value_cmd of att_protocol.cc , there is a possible out of bounds write due to improper input validation. This could lead to remote code execution with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T02:15:50.763,2024-02-16T13:37:55.033,,,,,,,,,,,,,2024-02-01
