CVE,Year,Month,descriptions,published,last_modified,version,Date_pixel,ID,year_asb,month_asb,spl_type_asb,date,bug,link,Type,Severity,vul_true,component,devices,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,cwe,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity,cwe_info,Date_asb
CVE-2017-0807,2017,10,"An elevation of privilege vulnerability in the Android framework (ui framework). Product: Android. Versions: 4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2. Android ID: A-35056974.",2017-10-04T01:29:00.947,2019-10-03T00:03:26.223,cvssMetricV30,2017-10-01,3047,2017,12,12/1/17,,A-35056974,,EoP,High,"5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",,,"An elevation of privilege vulnerability in the Android framework (ui framework). Product: Android. Versions: 4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2. Android ID: A-35056974.","4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",2017-10-04T01:29:00.947,2019-10-03T00:03:26.223,NVD-CWE-noinfo,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,,2017-12-01
CVE-2017-11043,2018,02,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, in a WiFI driver function, an integer overflow leading to heap buffer overflow may potentially occur.",2017-12-05T19:29:00.337,2019-04-29T16:25:28.497,cvssMetricV30,2018-02-01,3076,2017,12,12/5/17,,"A-64728953,,QC-CR#2067820",https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-2.0/commit/?id=613f91ebcd0838c2c2bec3657e36dd57fcc6a7ea,RCE,Critical,,WLAN,,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, in a WiFI driver function, an integer overflow leading to heap buffer overflow may potentially occur.",,2017-12-05T19:29:00.337,2019-04-29T16:25:28.497,CWE-119,cvssMetricV30,LOCAL,LOW,NONE,REQUIRED,HIGH,HIGH,HIGH,7.8,HIGH,Improper Restriction of Operations within the Bounds of a Memory Buffer,2017-12-01
CVE-2017-11043,2018,02,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, in a WiFI driver function, an integer overflow leading to heap buffer overflow may potentially occur.",2017-12-05T19:29:00.337,2019-04-29T16:25:28.497,cvssMetricV30,2018-02-01,3076,2017,12,12/5/17,,"A-64728953,,QC-CR#2067820",https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-2.0/commit/?id=613f91ebcd0838c2c2bec3657e36dd57fcc6a7ea,RCE,Critical,,WLAN,,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, in a WiFI driver function, an integer overflow leading to heap buffer overflow may potentially occur.",,2017-12-05T19:29:00.337,2019-04-29T16:25:28.497,CWE-190,cvssMetricV30,LOCAL,LOW,NONE,REQUIRED,HIGH,HIGH,HIGH,7.8,HIGH,Integer Overflow or Wraparound,2017-12-01
CVE-2017-11043,2018,02,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, in a WiFI driver function, an integer overflow leading to heap buffer overflow may potentially occur.",2017-12-05T19:29:00.337,2019-04-29T16:25:28.497,cvssMetricV30,2018-02-01,3076,2017,12,12/5/17,,"A-64728953,,QC-CR#2067820",https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-2.0/commit/?id=613f91ebcd0838c2c2bec3657e36dd57fcc6a7ea,RCE,Critical,,WLAN,,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, in a WiFI driver function, an integer overflow leading to heap buffer overflow may potentially occur.",,2017-12-05T19:29:00.337,2019-04-29T16:25:28.497,CWE-119,cvssMetricV30,LOCAL,LOW,NONE,REQUIRED,HIGH,HIGH,HIGH,7.8,HIGH,Improper Restriction of Operations within the Bounds of a Memory Buffer,2017-12-01
CVE-2017-11043,2018,02,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, in a WiFI driver function, an integer overflow leading to heap buffer overflow may potentially occur.",2017-12-05T19:29:00.337,2019-04-29T16:25:28.497,cvssMetricV30,2018-02-01,3076,2017,12,12/5/17,,"A-64728953,,QC-CR#2067820",https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-2.0/commit/?id=613f91ebcd0838c2c2bec3657e36dd57fcc6a7ea,RCE,Critical,,WLAN,,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, in a WiFI driver function, an integer overflow leading to heap buffer overflow may potentially occur.",,2017-12-05T19:29:00.337,2019-04-29T16:25:28.497,CWE-190,cvssMetricV30,LOCAL,LOW,NONE,REQUIRED,HIGH,HIGH,HIGH,7.8,HIGH,Integer Overflow or Wraparound,2017-12-01
CVE-2017-11043,2018,02,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, in a WiFI driver function, an integer overflow leading to heap buffer overflow may potentially occur.",2017-12-05T19:29:00.337,2019-04-29T16:25:28.497,cvssMetricV30,2018-02-01,3076,2017,12,12/5/17,,"A-64728953,,QC-CR#2067820",https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-2.0/commit/?id=613f91ebcd0838c2c2bec3657e36dd57fcc6a7ea,RCE,Critical,,WLAN,,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, in a WiFI driver function, an integer overflow leading to heap buffer overflow may potentially occur.",,2017-12-05T19:29:00.337,2019-04-29T16:25:28.497,CWE-119,cvssMetricV30,LOCAL,LOW,NONE,REQUIRED,HIGH,HIGH,HIGH,7.8,HIGH,Improper Restriction of Operations within the Bounds of a Memory Buffer,2017-12-01
CVE-2017-11043,2018,02,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, in a WiFI driver function, an integer overflow leading to heap buffer overflow may potentially occur.",2017-12-05T19:29:00.337,2019-04-29T16:25:28.497,cvssMetricV30,2018-02-01,3076,2017,12,12/5/17,,"A-64728953,,QC-CR#2067820",https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-2.0/commit/?id=613f91ebcd0838c2c2bec3657e36dd57fcc6a7ea,RCE,Critical,,WLAN,,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, in a WiFI driver function, an integer overflow leading to heap buffer overflow may potentially occur.",,2017-12-05T19:29:00.337,2019-04-29T16:25:28.497,CWE-190,cvssMetricV30,LOCAL,LOW,NONE,REQUIRED,HIGH,HIGH,HIGH,7.8,HIGH,Integer Overflow or Wraparound,2017-12-01
CVE-2017-11043,2018,02,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, in a WiFI driver function, an integer overflow leading to heap buffer overflow may potentially occur.",2017-12-05T19:29:00.337,2019-04-29T16:25:28.497,cvssMetricV30,2018-02-01,3076,2017,12,12/5/17,,"A-64728953,,QC-CR#2067820",https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-2.0/commit/?id=613f91ebcd0838c2c2bec3657e36dd57fcc6a7ea,RCE,Critical,,WLAN,,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, in a WiFI driver function, an integer overflow leading to heap buffer overflow may potentially occur.",,2017-12-05T19:29:00.337,2019-04-29T16:25:28.497,CWE-119,cvssMetricV30,LOCAL,LOW,NONE,REQUIRED,HIGH,HIGH,HIGH,7.8,HIGH,Improper Restriction of Operations within the Bounds of a Memory Buffer,2017-12-01
CVE-2017-11043,2018,02,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, in a WiFI driver function, an integer overflow leading to heap buffer overflow may potentially occur.",2017-12-05T19:29:00.337,2019-04-29T16:25:28.497,cvssMetricV30,2018-02-01,3076,2017,12,12/5/17,,"A-64728953,,QC-CR#2067820",https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-2.0/commit/?id=613f91ebcd0838c2c2bec3657e36dd57fcc6a7ea,RCE,Critical,,WLAN,,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, in a WiFI driver function, an integer overflow leading to heap buffer overflow may potentially occur.",,2017-12-05T19:29:00.337,2019-04-29T16:25:28.497,CWE-190,cvssMetricV30,LOCAL,LOW,NONE,REQUIRED,HIGH,HIGH,HIGH,7.8,HIGH,Integer Overflow or Wraparound,2017-12-01
CVE-2017-11043,2018,02,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, in a WiFI driver function, an integer overflow leading to heap buffer overflow may potentially occur.",2017-12-05T19:29:00.337,2019-04-29T16:25:28.497,cvssMetricV30,2018-02-01,3076,2017,12,12/5/17,,"A-64728953,,QC-CR#2067820",https://source.codeaurora.org/quic/la/platform/vendor/qcom-opensource/wlan/qcacld-2.0/commit/?id=613f91ebcd0838c2c2bec3657e36dd57fcc6a7ea,RCE,Critical,,WLAN,,"In Android for MSM, Firefox OS for MSM, QRD Android, with all Android releases from CAF using the Linux kernel, in a WiFI driver function, an integer overflow leading to heap buffer overflow may potentially occur.",,2017-12-05T19:29:00.337,2019-04-29T16:25:28.497,CWE-119,cvssMetricV30,LOCAL,LOW,NONE,REQUIRED,HIGH,HIGH,HIGH,7.8,HIGH,Improper Restriction of Operations within the Bounds of a Memory Buffer,2017-12-01
