ID,CVE,Year,Month,date,bug,link,Type,Severity,vul_true,component,devices,cwe,descriptions,published,last_modified,version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity,NVD_descriptions,NVD_published,NVD_last_modified,NVD_version,cwe_info
1064,CVE-2017-0807,2017,OCT,,A-35056974,,EoP,High,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",,,NVD-CWE-noinfo,"An elevation of privilege vulnerability in the Android framework (ui framework). Product: Android. Versions: 4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2. Android ID: A-35056974.",2017-10-04T01:29:00.947,2019-10-03T00:03:26.223,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,"An elevation of privilege vulnerability in the Android framework (ui framework). Product: Android. Versions: 4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2. Android ID: A-35056974.",2017-10-04T01:29:00.947,2019-10-03T00:03:26.223,cvssMetricV30,
1065,CVE-2017-0808,2017,OCT,,A-62301183,"https://android.googlesource.com/platform/libcore/+/809681f310663288e83587089abb7715c68f6924,https://android.googlesource.com/platform/libcore/+/100a8006a7baab1bb62820eb62577c0b0849fbc3",ID,Moderate,"7.0, 7.1.1, 7.1.2, 8.0",,,CWE-200,"An information disclosure vulnerability in the Android framework (file system). Product: Android. Versions: 7.0, 7.1.1, 7.1.2, 8.0. Android ID: A-62301183.",2017-10-04T01:29:00.980,2017-10-12T13:30:01.063,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,"An information disclosure vulnerability in the Android framework (file system). Product: Android. Versions: 7.0, 7.1.1, 7.1.2, 8.0. Android ID: A-62301183.",2017-10-04T01:29:00.980,2017-10-12T13:30:01.063,cvssMetricV30,Exposure of Sensitive Information to an Unauthorized Actor
1066,CVE-2017-0813,2017,OCT,,A-36531046,https://android.googlesource.com/platform/frameworks/av/+/7fa3f552a6f34ed05c15e64ea30b8eed53f77a41,DoS,Moderate,"7.0, 7.1.1, 7.1.2",,,CWE-772,"A denial of service vulnerability in the Android media framework (libstagefright). Product: Android. Versions: 7.0, 7.1.1, 7.1.2. Android ID: A-36531046.",2017-10-04T01:29:01.150,2019-10-03T00:03:26.223,cvssMetricV30,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,"A denial of service vulnerability in the Android media framework (libstagefright). Product: Android. Versions: 7.0, 7.1.1, 7.1.2. Android ID: A-36531046.",2017-10-04T01:29:01.150,2019-10-03T00:03:26.223,cvssMetricV30,Missing Release of Resource after Effective Lifetime
1067,CVE-2017-0814,2017,OCT,,A-62800140,https://android.googlesource.com/platform/external/tremolo/+/eeb4e45d5683f88488c083ecf142dc89bc3f0b47,"ID, DoS","Moderate, High","7.0, 7.1.1, 7.1.2, 8.0, 4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1",,,CWE-200,"An information disclosure vulnerability in the Android media framework (n/a). Product: Android. Versions: 7.0, 7.1.1, 7.1.2, 8.0. Android ID: A-62800140.",2017-10-04T01:29:01.230,2019-10-03T00:03:26.223,cvssMetricV30,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,"An information disclosure vulnerability in the Android media framework (n/a). Product: Android. Versions: 7.0, 7.1.1, 7.1.2, 8.0. Android ID: A-62800140.",2017-10-04T01:29:01.230,2019-10-03T00:03:26.223,cvssMetricV30,Exposure of Sensitive Information to an Unauthorized Actor
1068,CVE-2017-0817,2017,OCT,,A-63522430,https://android.googlesource.com/platform/frameworks/av/+/d834160d9759f1098df692b34e6eeb548f9e317b,ID,Moderate,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",,,CWE-200,"An information disclosure vulnerability in the Android media framework (libstagefright). Product: Android. Versions: 4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0. Android ID: A-63522430.",2017-10-04T01:29:01.433,2017-10-12T13:55:14.817,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,"An information disclosure vulnerability in the Android media framework (libstagefright). Product: Android. Versions: 4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0. Android ID: A-63522430.",2017-10-04T01:29:01.433,2017-10-12T13:55:14.817,cvssMetricV30,Exposure of Sensitive Information to an Unauthorized Actor
1069,CVE-2017-0818,2017,OCT,,A-63581671,https://android.googlesource.com/platform/frameworks/av/+/d07f5c14e811951ff9b411ceb84e7288e0d04aaf,"NSI, DoS","NSI, High","7.0, 7.1.1, 7.1.2, 8.0, 6.0, 6.0.1",,,CWE-772,"A vulnerability in the Android media framework (n/a). Product: Android. Versions: 7.0, 7.1.1, 7.1.2, 8.0. Android ID: A-63581671.",2017-10-04T01:29:01.497,2019-10-03T00:03:26.223,cvssMetricV30,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,"A vulnerability in the Android media framework (n/a). Product: Android. Versions: 7.0, 7.1.1, 7.1.2, 8.0. Android ID: A-63581671.",2017-10-04T01:29:01.497,2019-10-03T00:03:26.223,cvssMetricV30,Missing Release of Resource after Effective Lifetime
1070,CVE-2017-0819,2017,OCT,,A-63045918,https://android.googlesource.com/platform/external/libhevc/+/87fb7909c49e6a4510ba86ace1ffc83459c7e1b9,"NSI, DoS","NSI, High","7.0, 7.1.1, 7.1.2, 8.0, 6.0, 6.0.1",,,CWE-682,"A vulnerability in the Android media framework (n/a). Product: Android. Versions: 7.0, 7.1.1, 7.1.2, 8.0. Android ID: A-63045918.",2017-10-04T01:29:01.590,2019-10-03T00:03:26.223,cvssMetricV30,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,"A vulnerability in the Android media framework (n/a). Product: Android. Versions: 7.0, 7.1.1, 7.1.2, 8.0. Android ID: A-63045918.",2017-10-04T01:29:01.590,2019-10-03T00:03:26.223,cvssMetricV30,Incorrect Calculation
1071,CVE-2017-0820,2017,OCT,,A-62187433,https://android.googlesource.com/platform/frameworks/av/+/8a3a2f6ea7defe1a81bb32b3c9f3537f84749b9d,"NSI, DoS","NSI, High","7.0, 7.1.1, 7.1.2, 8.0, 4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1",,,NVD-CWE-noinfo,"A vulnerability in the Android media framework (n/a). Product: Android. Versions: 7.0, 7.1.1, 7.1.2, 8.0. Android ID: A-62187433.",2017-10-04T01:29:01.620,2019-10-03T00:03:26.223,cvssMetricV30,NETWORK,LOW,NONE,NONE,NONE,NONE,HIGH,7.5,HIGH,"A vulnerability in the Android media framework (n/a). Product: Android. Versions: 7.0, 7.1.1, 7.1.2, 8.0. Android ID: A-62187433.",2017-10-04T01:29:01.620,2019-10-03T00:03:26.223,cvssMetricV30,
1072,CVE-2017-0822,2017,OCT,,A-63787722,https://android.googlesource.com/platform/frameworks/base/+/c574568aaede7f652432deb7707f20ae54bbdf9a,EoP,Moderate,"6.0.1, 7.0, 7.1.1, 7.1.2, 8.0",,,NVD-CWE-noinfo,"An elevation of privilege vulnerability in the Android system (camera). Product: Android. Versions: 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0. Android ID: A-63787722.",2017-10-04T01:29:01.650,2019-10-03T00:03:26.223,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,HIGH,HIGH,9.8,CRITICAL,"An elevation of privilege vulnerability in the Android system (camera). Product: Android. Versions: 6.0.1, 7.0, 7.1.1, 7.1.2, 8.0. Android ID: A-63787722.",2017-10-04T01:29:01.650,2019-10-03T00:03:26.223,cvssMetricV30,
1073,CVE-2017-0823,2017,OCT,,A-37896655,https://android.googlesource.com/platform/hardware/ril/+/cd5f15f588a5d27e99ba12f057245bfe507f8c42,ID,Moderate,"4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2",,,CWE-200,"An information disclosure vulnerability in the Android system (rild). Product: Android. Versions: 4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2. Android ID: A-37896655.",2017-10-04T01:29:01.697,2017-10-12T13:55:01.193,cvssMetricV30,NETWORK,LOW,NONE,NONE,HIGH,NONE,NONE,7.5,HIGH,"An information disclosure vulnerability in the Android system (rild). Product: Android. Versions: 4.4.4, 5.0.2, 5.1.1, 6.0, 6.0.1, 7.0, 7.1.1, 7.1.2. Android ID: A-37896655.",2017-10-04T01:29:01.697,2017-10-12T13:55:01.193,cvssMetricV30,Exposure of Sensitive Information to an Unauthorized Actor
