ID,CVE,year,month,spl_type,date,bug,link,Type,Severity,vul_true,component,devices,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,cwe,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity,cwe_info,Date
120,CVE-2023-40085,2024,01,1/1/24,,A-269271098,"https://android.googlesource.com/platform/packages/modules/NeuralNetworks/+/ed6ee1f7eca7b33160e36ac6d730a9ef395ca4f1"" rel=""noreferrer",ID,High,"12, 12L, 13",,,"In convertSubgraphFromHAL of ShimConverter.cpp, there is a possible out of bounds read due to a missing bounds check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-16T19:15:08.093,2024-02-16T19:26:55.393,,,,,,,,,,,,,2024-01-01
599,CVE-2018-9364,2018,06,6/5/18,,A-69163111,,EoP,Critical,,Bootloader,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
600,CVE-2018-9409,2018,06,6/5/18,,"A-63144992,QC-CR#2114346",,EoP,High,8.1,,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
602,CVE-2018-9366,2018,06,6/5/18,,"A-72314499,M-ALPS03762526",,EoP,High,,IMSA,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
605,CVE-2018-9369,2018,06,6/5/18,,"A-70514573,M-ALPS03666161",,EoP,High,,bootloader,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
606,CVE-2018-9370,2018,06,6/5/18,,"A-70515281,M-ALPS03693488",,EoP,High,,bootloader,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
607,CVE-2018-9371,2018,06,6/5/18,,"A-70515752,M-ALPS03683903",,EoP,High,,Bootloader,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
608,CVE-2018-9372,2018,06,6/5/18,,"A-70730215,M-ALPS03676237",,EoP,High,,bootloader,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-06-01
686,CVE-2018-11922,2018,12,12/5/18,,A-112279564,,,High,,Closed-source component,,CVE ID Not Found,,,,,,,,,,,,,,,,2018-12-01
2004,CVE-2014-9794,2016,07,7/5/16,8-Aug-14,"A-28821172,,QC-CR646385",https://us.codeaurora.org/cgit/quic/la//kernel/lk/commit/?id=f39085971c8c4e36cadbf8a72aabe6c7ff538ffa,,Critical,,,Nexus 7 (2013),Rejected reason: DO NOT USE THIS CANDIDATE NUMBER.  ConsultIDs: CVE-2014-0973.  Reason: This candidate is a reservation duplicate of CVE-2014-0973.  Notes: All CVE users should reference CVE-2014-0973 instead of this candidate.  All references and descriptions in this candidate have been removed to prevent accidental usage,,2016-07-11T01:59:17.490,2023-11-07T02:23:11.517,,,,,,,,,,,,,2016-07-01
