ID,CVE,year,month,spl_type,date,bug,link,Type,Severity,vul_true,component,devices,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,cwe,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity,cwe_info,Date,earliest_version,latest_version
2497,CVE-2023-40106,2023,11,11/1/23,,A-278558814,"https://android.googlesource.com/platform/frameworks/base/+/442b4390c1f04b0e74ae4a7e349418dad4e7522e"" rel=""noreferrer",EoP,High,"11, 12, 12L, 13, 14",,,"In sanitizeSbn of NotificationManagerService.java, there is a possible way to launch an activity from the background due to BAL Bypass. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-15T23:15:08.137,2024-02-16T13:37:55.033,,,,,,,,,,,,,2023-11-01,11,14
2498,CVE-2023-40107,2023,11,11/1/23,,A-287298721,"https://android.googlesource.com/platform/frameworks/av/+/acb81624b4f50fed52cb1b3829809ee2f7377093"" rel=""noreferrer",EoP,High,"12, 12L, 13, 14",,,"In ARTPWriter of ARTPWriter.cpp, there is a possible use after free due to uninitialized data. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-15T23:15:08.197,2024-02-16T13:37:55.033,,,,,,,,,,,,,2023-11-01,12,14
2499,CVE-2023-40109,2023,11,11/1/23,,A-291299076,"https://android.googlesource.com/platform/frameworks/base/+/387d258cf10a30537fc48dc0e48d28071efa92e7"" rel=""noreferrer",EoP,High,"11, 12, 12L, 13, 14",,,"In createFromParcel of UsbConfiguration.java, there is a possible background activity launch (BAL) due to a permissions bypass. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation.",,2024-02-15T23:15:08.260,2024-02-16T13:37:55.033,,,,,,,,,,,,,2023-11-01,11,14
2500,CVE-2023-40110,2023,11,11/1/23,,A-243463593,"https://android.googlesource.com/platform/frameworks/av/+/53243faf690a49e00952b3d3956d2fff0b8d4a3c"" rel=""noreferrer",EoP,High,"11, 12, 12L, 13, 14",,,"In multiple functions of MtpPacket.cpp, there is a possible out of bounds write due to a heap buffer overflow. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation.",,2024-02-15T23:15:08.420,2024-02-16T13:37:55.033,,,,,,,,,,,,,2023-11-01,11,14
2501,CVE-2023-40111,2023,11,11/1/23,,A-272024837,"https://android.googlesource.com/platform/frameworks/base/+/55d3d57cbffc838c52d610af14a056dea87b422e"" rel=""noreferrer",EoP,High,14,,,"In setMediaButtonReceiver of MediaSessionRecord.java, there is a possible way to send a pending intent on behalf of system_server due to a confused deputy. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation.",,2024-02-15T23:15:08.487,2024-02-16T13:37:55.033,,,,,,,,,,,,,2023-11-01,14,14
2502,CVE-2023-40114,2023,11,11/1/23,,A-243381410,"https://android.googlesource.com/platform/frameworks/av/+/2fdf54b050f728fd965c9afdd03116e9b9dafbae"" rel=""noreferrer",EoP,High,"11, 12, 12L, 13, 14",,,"In multiple functions of MtpFfsHandle.cpp , there is a possible out of bounds write due to a use after free. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is needed for exploitation.",,2024-02-15T23:15:08.647,2024-02-16T13:37:55.033,,,,,,,,,,,,,2023-11-01,11,14
2503,CVE-2023-40105,2023,11,11/1/23,,A-289549315,"https://android.googlesource.com/platform/frameworks/base/+/935eb5ed6be35860a99ea242fb753f687d54a308"" rel=""noreferrer",ID,High,"11, 12, 12L, 13, 14",,,"In backupAgentCreated of ActivityManagerService.java, there is a possible way to leak sensitive data due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-15T23:15:08.083,2024-02-16T13:37:55.033,,,,,,,,,,,,,2023-11-01,11,14
2504,CVE-2023-40124,2023,11,11/1/23,,A-272025416,"https://android.googlesource.com/platform/frameworks/base/+/86c8421c1181816b6cb333eb62a78e32290c4b17"" rel=""noreferrer",ID,High,"11, 12, 12L, 13",,,"In multiple locations, there is a possible cross-user read due to a confused deputy. This could lead to local information disclosure of photos or other images with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-15T23:15:08.743,2024-02-16T13:37:55.033,,,,,,,,,,,,,2023-11-01,11,13
2505,CVE-2023-40113,2023,11,11/1/23,,A-289242655,"https://android.googlesource.com/platform/packages/providers/TelephonyProvider/+/64ca6ba981745875dbf2064e0b2a47f8194c4f0a"" rel=""noreferrer",ID,Critical,"11, 12, 12L, 13",,,"In multiple locations, there is a possible way for apps to access cross-user message data due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-15T23:15:08.597,2024-02-16T13:37:55.033,,,,,,,,,,,,,2023-11-01,11,13
2506,CVE-2023-40100,2023,11,11/1/23,,A-278303745,"https://android.googlesource.com/platform/packages/modules/DnsResolver/+/8e1561fb603fdaec15798372f865fb1750537f4f"" rel=""noreferrer",EoP,High,"11, 12, 12L, 13, 14",,,"In discovery_thread of Dns64Configuration.cpp, there is a possible memory corruption due to a use after free. This could lead to local escalation of privilege with no additional execution privileges needed. User interaction is not needed for exploitation.",,2024-02-15T23:15:07.743,2024-02-16T13:38:00.047,,,,,,,,,,,,,2023-11-01,11,14
