CVE,SMR,no_sam,vul_true,SAMSUNG,cwe,cwe_info,NVD_descriptions,android_versions,NVD_published,NVD_last_modified,NVD_version,attack_vector,attack_complexity,privileges_required,user_interaction,confidentiality_impact,integrity_impact,availability_impact,base_score,base_severity,Month,Year,Date_samsung
CVE-2017-13319,SMR-MAY 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,05,2018,2018-05-01
CVE-2017-13320,SMR-MAY 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,05,2018,2018-05-01
CVE-2017-13316,SMR-MAY 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,05,2018,2018-05-01
CVE-2017-13317,SMR-MAY 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,05,2018,2018-05-01
CVE-2017-13318,SMR-MAY 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,05,2018,2018-05-01
CVE-2017-13323,SMR-MAY 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,05,2018,2018-05-01
CVE-2017-13321,SMR-MAY 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,05,2018,2018-05-01
CVE-2018-9349,SMR-JUN 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,06,2018,2018-06-01
CVE-2018-9350,SMR-AUG 2019,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,08,2019,2019-08-01
CVE-2018-9351,SMR-JUN 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,06,2018,2018-06-01
CVE-2018-9352,SMR-JUN 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,06,2018,2018-06-01
CVE-2018-9353,SMR-JUN 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,06,2018,2018-06-01
CVE-2018-9354,SMR-JUN 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,06,2018,2018-06-01
CVE-2017-18153,SMR-JUN 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,06,2018,2018-06-01
CVE-2017-15832,SMR-JUN 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,06,2018,2018-06-01
CVE-2018-5852,SMR-JUN 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,06,2018,2018-06-01
CVE-2018-9374,SMR-JUN 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,06,2018,2018-06-01
CVE-2018-9375,SMR-JUN 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,06,2018,2018-06-01
CVE-2018-9378,SMR-JUN 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,06,2018,2018-06-01
CVE-2018-9379,SMR-JUN 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,06,2018,2018-06-01
CVE-2018-9380,SMR-JUN 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,06,2018,2018-06-01
CVE-2018-9381,SMR-JUN 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,06,2018,2018-06-01
CVE-2018-9382,SMR-JUN 2018,False,,,,,CVE ID Not Found,,,,,,,,,,,,,,06,2018,2018-06-01
