id,device,country,region,last_android_version,last_update_date
sm-g920s/skc,galaxy s6,Korea,Asia,android 7.0,2022-08-18
sm-g925s/skc,galaxy s6 edge,Korea,Asia,android 7.0,2022-08-18
sm-g9209/ctc,galaxy s6,China,Asia,android 7.0,2018-10-05
sm-p355y/bri,"galaxy tab a 8"" w/ s-pen",Taiwan,Asia,android 6.0.1,2018-10-23
sm-p355y/tgy,"galaxy tab a 8"" w/ s-pen",Hong Kong,Asia,android 6.0.1,2018-10-23
sm-g9200/tgy,galaxy s6,Hong Kong,Asia,android 7.0,2018-11-12
sm-t550/chn,"galaxy tab a 9.7""",China,Asia,android 6.0.1,2018-12-14
sm-p550/chn,"galaxy tab a 9.7"" w/ s-pen",China,Asia,android 6.0.1,2018-12-13
sm-j5008/chm,galaxy j5 (2015),China,Asia,android 5.1,2018-09-14
sm-g9250/chc,galaxy s6 edge,China,Asia,android 7.0,2018-09-28
sm-a8000/tgy,galaxy a8 (2015),Hong Kong,Asia,android 6.0.1,2018-10-02
sm-g9200/chc,galaxy s6,China,Asia,android 7.0,2018-11-14
sm-t555c/chn,"galaxy tab a 9.7""",China,Asia,android 6.0.1,2018-09-04
sm-g9280/chc,galaxy s6 edge+,China,Asia,android 7.0,2018-10-15
sm-n9200/tgy,galaxy note5,Hong Kong,Asia,android 7.0,2018-09-04
sm-n9208/bri,galaxy note5,Taiwan,Asia,android 7.0,2022-08-19
sm-t715c/chc,"galaxy tab s2 8.0"",galaxy tab s2",China,Asia,android 7.0,2020-12-14
sm-n920s/skc,galaxy note5,Korea,Asia,android 7.0,2022-08-18
sm-g9208/chm,galaxy s6,China,Asia,android 7.0,2018-10-29
sm-n920l/luc,galaxy note5,Korea,Asia,android 7.0,2022-08-18
sm-n920k/ktc,galaxy note5,Korea,Asia,android 7.0,2022-08-18
sm-g9287/tgy,galaxy s6 edge+,Hong Kong,Asia,android 7.0,2018-09-21
sm-j700f/bri,galaxy j7 (2015),Taiwan,Asia,android 5.1.1,2017-09-26
sm-n9200/chc,galaxy note5,China,Asia,android 7.0,2018-08-28
sm-g9287/bri,galaxy s6 edge+,Taiwan,Asia,android 7.0,2018-09-21
sm-p555s/skc,galaxy tab a plus 9.7,Korea,Asia,android 7.1.1,2020-10-05
sm-g9250/tgy,galaxy s6 edge,Hong Kong,Asia,android 7.0,2018-07-09
sm-g9250/bri,galaxy s6 edge,Taiwan,Asia,android 7.0,2018-04-24
sm-g9208/bri,galaxy s6,Taiwan,Asia,android 7.0,2018-11-12
sm-p350/bri,"galaxy tab a 8"" w/ s-pen",Taiwan,Asia,android 6.0.1,2017-12-01
sm-p350/tgy,"galaxy tab a 8"" w/ s-pen",Hong Kong,Asia,android 6.0.1,2017-12-01
sm-j200y/bri,galaxy j2 (2015),Taiwan,Asia,android 5.1.1,2018-09-08
sm-t710/chn,"galaxy tab s2 8.0"",galaxy tab s2",China,Asia,android 7.0,2020-12-02
sm-j3109/ctc,galaxy j3 (2016),China,Asia,android 5.1.1,2018-08-23
sm-a7100/chc,"galaxy a7 (2016),galaxy a7",China,Asia,android 7.1.1,2020-11-16
sm-j500f/tgy,galaxy j5 (2015),Hong Kong,Asia,android 5.1.1,2018-08-14
sm-w2016/ctc,w2016,China,Asia,android 5.1.1,2018-09-13
sm-a5100/chc,"galaxy a5 (2015),galaxy a5 ⑥",China,Asia,android 7.1.1,2020-11-18
sm-a710l/luc,galaxy a7 (2016),Korea,Asia,android 7.0,2021-06-07
sm-a710k/ktc,galaxy a7 (2016),Korea,Asia,android 7.0,2020-11-16
sm-a710s/skc,galaxy a7 (2016),Korea,Asia,android 7.0,2020-11-16
sm-a7100/tgy,"galaxy a7 (2016),galaxy a7",Hong Kong,Asia,android 7.1.1,2020-11-16
sm-a9000/chc,galaxy a9 (2016),China,Asia,android 6.0.1,2018-08-13
sm-a5100/tgy,"galaxy a5 (2015),galaxy a5 ⑥",Hong Kong,Asia,android 7.1.1,2020-11-18
sm-a9000/tgy,galaxy a9 (2016),Hong Kong,Asia,android 6.0.1,2019-01-03
sm-a510y/bri,"galaxy a5 (2016),galaxy a5 ⑥",Taiwan,Asia,android 6.0.1,2022-08-08
sm-a7108/chm,"galaxy a7 (2016),galaxy a7",China,Asia,android 7.1.1,2020-11-16
sm-a5108/chm,"galaxy a5 (2016),galaxy a5 ⑥",China,Asia,android 7.1.1,2020-11-18
sm-g935k/ktc,galaxy s7 edge,Korea,Asia,android 8.0.0,2022-08-18
sm-t670/tgy,galaxy view,Hong Kong,Asia,android 5.1.1,2017-03-02
sm-g930k/ktc,galaxy s7,Korea,Asia,android 8.0.0,2022-08-18
sm-g9300/chc,galaxy s7,China,Asia,android 8.0.0,2020-01-23
sm-g9350/chc,galaxy s7 edge,China,Asia,android 8.0.0,2020-01-23
sm-g9350/tgy,galaxy s7 edge,Hong Kong,Asia,android 8.0.0,2020-01-23
sm-j120f/tgy,galaxy j1 (2016),Hong Kong,Asia,android 5.1.1,2018-03-08
sm-t3777/bri,"galaxy tab e 8.0""",Taiwan,Asia,android 5.1.1,2017-08-04
sm-g9308/chm,galaxy s7,China,Asia,android 8.0.0,2020-01-23
sm-a9100/chc,galaxy a9 pro (2016),China,Asia,android 8.0.0,2018-12-04
sm-j5108/chm,galaxy j5 (2016),China,Asia,android 6.0.1,2018-08-13
sm-a710y/bri,galaxy a7 (2016),Taiwan,Asia,android 6.0.1,2017-12-08
sm-g930s/skc,galaxy s7,Korea,Asia,android 8.0.0,2022-08-18
sm-g930l/luc,galaxy s7,Korea,Asia,android 8.0.0,2022-08-18
sm-g935l/luc,galaxy s7 edge,Korea,Asia,android 8.0.0,2022-08-18
sm-g935s/skc,galaxy s7 edge,Korea,Asia,android 8.0.0,2022-08-18
sm-g930f/tgy,galaxy s7,Hong Kong,Asia,android 8.0.0,2022-08-18
sm-j7108/chm,galaxy j7 (2016),China,Asia,android 6.0.1,2018-04-04
sm-j7109/ctc,galaxy j7 (2016),China,Asia,android 6.0.1,2018-05-11
sm-g930f/bri,galaxy s7,Taiwan,Asia,android 8.0.0,2022-08-18
sm-j7108/tgy,galaxy j7 (2016),Hong Kong,Asia,android 6.0.1,2018-04-13
sm-g935f/bri,galaxy s7 edge,Taiwan,Asia,android 8.0.0,2022-08-19
sm-t375s/skc,"galaxy tab e 8.0""",Korea,Asia,android 6.0.1,2022-07-21
sm-t375l/luc,"galaxy tab e 8.0""",Korea,Asia,android 6.0.1,2022-07-21
sm-j5108/tgy,galaxy j5 (2016),Hong Kong,Asia,android 6.0.1,2018-03-06
sm-t713/chn,"galaxy tab s2 8.0"",galaxy tab s2",China,Asia,android 7.0,2020-11-30
sm-j510l/luc,galaxy j5 (2016),Korea,Asia,android 7.1.1,2020-11-02
sm-j710gn/bri,galaxy j7 (2016),Taiwan,Asia,android 6.0.1,2018-02-12
sm-j710k/ktc,galaxy j7 (2016),Korea,Asia,android 8.1.0,2020-11-17
sm-c5000/chc,galaxy c5,China,Asia,android 8.0.0,2019-01-17
sm-j3110/chc,galaxy j3 pro,China,Asia,android 5.1.1,2018-08-16
sm-t819c/chc,"galaxy tab s2 9.7"",galaxy tab s2",China,Asia,android 7.0,2020-12-18
sm-t580/chn,"galaxy tab a 10.1 (2016),galaxy tab a⑥",China,Asia,android 8.1.0,2020-07-27
sm-t585c/chc,"galaxy tab a 10.1 (2016),galaxy tab a⑥",China,Asia,android 8.1.0,2020-07-27
sm-c5000/tgy,galaxy c5,Hong Kong,Asia,android 8.0.0,2019-02-01
sm-c7000/chc,galaxy c7,China,Asia,android 8.0.0,2018-11-06
sm-j510s/skc,galaxy j5 (2016),Korea,Asia,android 7.1.1,2020-11-02
sm-c7000/tgy,galaxy c7,Hong Kong,Asia,android 8.0.0,2018-11-19
sm-j3119/ctc,galaxy j3 pro,China,Asia,android 5.1.1,2018-09-22
sm-t713/tgy,"galaxy tab s2 8.0"",galaxy tab s2",Hong Kong,Asia,android 7.0,2020-12-02
sm-t713/bri,"galaxy tab s2 8.0"",galaxy tab s2",Taiwan,Asia,android 7.0,2020-12-02
sm-g1600/chc,galaxy folder 2 dual sim,China,Asia,android 6.0.1,2018-06-28
sm-g600s/skc,galaxy on7 (2015),Korea,Asia,android 7.1.1,2020-11-12
sm-a810s/skc,galaxy a8 (2016),Korea,Asia,android 8.0.0,2020-10-26
sm-a810yz/bri,"galaxy a8 (2016),galaxy a8 ⑥",Taiwan,Asia,android 8.0.0,2020-11-30
sm-p588c/chc,"galaxy tab a 10.1"" w/ s-pen,galaxy tab a⑥ with s pen",China,Asia,android 8.1.0,2020-12-08
sm-t819c/tgy,"galaxy tab s2 9.7"",galaxy tab s2",Hong Kong,Asia,android 7.0,2020-12-18
sm-t813/bri,"galaxy tab s2 9.7"",galaxy tab s2",Taiwan,Asia,android 7.0,2020-12-08
sm-t813/tgy,"galaxy tab s2 9.7"",galaxy tab s2",Hong Kong,Asia,android 7.0,2020-12-08
sm-t813/chn,"galaxy tab s2 9.7"",galaxy tab s2",China,Asia,android 7.0,2020-11-23
sm-c9000/chc,galaxy c9 pro,China,Asia,android 8.0.0,2019-03-18
