model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-A035G,3IE,021596220217,SM-A035G/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A035GXXS5CXA1,T(Android 13),2024-01-23,2024-01-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021596220217/eng.html
SM-A035G,3IE,021596220217,SM-A035G/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A035GXXS4CWK1,T(Android 13),2023-11-17,2023-10-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021596220217/eng.html
SM-A035G,3IE,021596220217,SM-A035G/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A035GXXU4CWJ1,T(Android 13),2023-11-16,2023-08-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021596220217/eng.html
SM-A035G,3IE,021596220217,SM-A035G/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A035GXXS4CWH1,T(Android 13),2023-09-19,2023-08-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021596220217/eng.html
SM-A035G,3IE,021596220217,SM-A035G/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A035GXXU4CWF2,T(Android 13),2023-07-10,2023-06-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021596220217/eng.html
SM-A035G,3IE,021596220217,SM-A035G/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A035GXXU3CWE1,T(Android 13),2023-05-31,2023-04-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021596220217/eng.html
SM-A035G,3IE,021596220217,SM-A035G/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A035GXXS3CWC2,T(Android 13),2023-03-28,2023-03-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021596220217/eng.html
SM-A035G,3IE,021596220217,SM-A035G/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A035GXXU2CWA9,T(Android 13),2023-02-16,2023-01-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021596220217/eng.html
SM-A035G,3IE,021596220217,SM-A035G/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A035GXXS2BVL6,S(Android 12),2022-12-25,2022-11-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021596220217/eng.html
SM-A035G,3IE,021596220217,SM-A035G/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A035GXXS2BVJ2,S(Android 12),2022-10-25,2022-10-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021596220217/eng.html
SM-A035G,3IE,021596220217,SM-A035G/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A035GXXU1BVH9,S(Android 12),2022-10-10,2022-09-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021596220217/eng.html
SM-A035G,3IE,021596220217,SM-A035G/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A035GXXU1AVH1,R(Android 11),2022-08-18,2022-07-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021596220217/eng.html
SM-A035G,3IE,021596220217,SM-A035G/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A035GXXU1AVF5,R(Android 11),2022-06-30,2022-06-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021596220217/eng.html
SM-A035G,3IE,021596220217,SM-A035G/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A035GXXS1AVF3,R(Android 11),2022-06-17,2022-05-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021596220217/eng.html
SM-A035G,3IE,021596220217,SM-A035G/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A035GXXS1AVD4,R(Android 11),2022-05-25,2022-05-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021596220217/eng.html
SM-A035G,3IE,021596220217,SM-A035G/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A035GXXU1AVC1,R(Android 11),2022-04-12,2022-02-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021596220217/eng.html
SM-A035G,3IE,021596220217,SM-A035G/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A035GXXS1AVB1,R(Android 11),2022-03-03,2022-02-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021596220217/eng.html
SM-A035G,3IE,021596220217,SM-A035G/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A035GXXU1AVA2,R(Android 11),2022-02-17,2021-12-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021596220217/eng.html
SM-A035G,AMO,021535220216,SM-A035G/AMO, Spain (Orange),Spain,Orange,Europe,Southern Europe,A035GXXS5CXA1,T(Android 13),2024-01-18,2024-01-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021535220216/eng.html
SM-A035G,AMO,021535220216,SM-A035G/AMO, Spain (Orange),Spain,Orange,Europe,Southern Europe,A035GXXS4CWK1,T(Android 13),2023-11-20,2023-10-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021535220216/eng.html
SM-A035G,AMO,021535220216,SM-A035G/AMO, Spain (Orange),Spain,Orange,Europe,Southern Europe,A035GXXU4CWJ1,T(Android 13),2023-11-16,2023-08-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021535220216/eng.html
SM-A035G,AMO,021535220216,SM-A035G/AMO, Spain (Orange),Spain,Orange,Europe,Southern Europe,A035GXXS4CWH1,T(Android 13),2023-09-18,2023-08-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021535220216/eng.html
SM-A035G,AMO,021535220216,SM-A035G/AMO, Spain (Orange),Spain,Orange,Europe,Southern Europe,A035GXXU4CWF2,T(Android 13),2023-07-10,2023-06-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021535220216/eng.html
SM-A035G,AMO,021535220216,SM-A035G/AMO, Spain (Orange),Spain,Orange,Europe,Southern Europe,A035GXXU3CWE1,T(Android 13),2023-05-30,2023-04-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021535220216/eng.html
SM-A035G,AMO,021535220216,SM-A035G/AMO, Spain (Orange),Spain,Orange,Europe,Southern Europe,A035GXXS3CWC2,T(Android 13),2023-03-27,2023-03-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021535220216/eng.html
SM-A035G,AMO,021535220216,SM-A035G/AMO, Spain (Orange),Spain,Orange,Europe,Southern Europe,A035GXXU2CWA9,T(Android 13),2023-02-16,2023-01-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021535220216/eng.html
SM-A035G,AMO,021535220216,SM-A035G/AMO, Spain (Orange),Spain,Orange,Europe,Southern Europe,A035GXXS2BVL6,S(Android 12),2022-12-25,2022-11-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021535220216/eng.html
SM-A035G,AMO,021535220216,SM-A035G/AMO, Spain (Orange),Spain,Orange,Europe,Southern Europe,A035GXXS2BVJ2,S(Android 12),2022-10-12,2022-10-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021535220216/eng.html
SM-A035G,AMO,021535220216,SM-A035G/AMO, Spain (Orange),Spain,Orange,Europe,Southern Europe,A035GXXU1BVH9,S(Android 12),2022-10-10,2022-09-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021535220216/eng.html
SM-A035G,AMO,021535220216,SM-A035G/AMO, Spain (Orange),Spain,Orange,Europe,Southern Europe,A035GXXU1AVH1,R(Android 11),2022-08-18,2022-07-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021535220216/eng.html
SM-A035G,AMO,021535220216,SM-A035G/AMO, Spain (Orange),Spain,Orange,Europe,Southern Europe,A035GXXU1AVF5,R(Android 11),2022-06-30,2022-06-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021535220216/eng.html
SM-A035G,AMO,021535220216,SM-A035G/AMO, Spain (Orange),Spain,Orange,Europe,Southern Europe,A035GXXS1AVF3,R(Android 11),2022-06-17,2022-05-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021535220216/eng.html
SM-A035G,AMO,021535220216,SM-A035G/AMO, Spain (Orange),Spain,Orange,Europe,Southern Europe,A035GXXS1AVD4,R(Android 11),2022-05-25,2022-05-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021535220216/eng.html
SM-A035G,AMO,021535220216,SM-A035G/AMO, Spain (Orange),Spain,Orange,Europe,Southern Europe,A035GXXU1AVC1,R(Android 11),2022-04-04,2022-02-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021535220216/eng.html
SM-A035G,AMO,021535220216,SM-A035G/AMO, Spain (Orange),Spain,Orange,Europe,Southern Europe,A035GXXS1AVB1,R(Android 11),2022-03-03,2022-02-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021535220216/eng.html
SM-A035G,AMO,021535220216,SM-A035G/AMO, Spain (Orange),Spain,Orange,Europe,Southern Europe,A035GXXU1AVA2,R(Android 11),2022-02-16,2021-12-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021535220216/eng.html
SM-A035G,ATL,021536220216,SM-A035G/ATL, Spain (Vodafone),Spain,Vodafone,Europe,Southern Europe,A035GXXS5CXA1,T(Android 13),2024-01-18,2024-01-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021536220216/eng.html
SM-A035G,ATL,021536220216,SM-A035G/ATL, Spain (Vodafone),Spain,Vodafone,Europe,Southern Europe,A035GXXS4CWK1,T(Android 13),2023-11-17,2023-10-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021536220216/eng.html
SM-A035G,ATL,021536220216,SM-A035G/ATL, Spain (Vodafone),Spain,Vodafone,Europe,Southern Europe,A035GXXU4CWJ1,T(Android 13),2023-11-16,2023-08-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021536220216/eng.html
SM-A035G,ATL,021536220216,SM-A035G/ATL, Spain (Vodafone),Spain,Vodafone,Europe,Southern Europe,A035GXXS4CWH1,T(Android 13),2023-09-18,2023-08-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021536220216/eng.html
SM-A035G,ATL,021536220216,SM-A035G/ATL, Spain (Vodafone),Spain,Vodafone,Europe,Southern Europe,A035GXXU4CWF2,T(Android 13),2023-07-07,2023-06-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021536220216/eng.html
SM-A035G,ATL,021536220216,SM-A035G/ATL, Spain (Vodafone),Spain,Vodafone,Europe,Southern Europe,A035GXXU3CWE1,T(Android 13),2023-05-24,2023-04-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021536220216/eng.html
SM-A035G,ATL,021536220216,SM-A035G/ATL, Spain (Vodafone),Spain,Vodafone,Europe,Southern Europe,A035GXXS3CWC2,T(Android 13),2023-03-27,2023-03-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021536220216/eng.html
SM-A035G,ATL,021536220216,SM-A035G/ATL, Spain (Vodafone),Spain,Vodafone,Europe,Southern Europe,A035GXXU2CWA9,T(Android 13),2023-02-16,2023-01-01,Galaxy A03 ,https://doc.samsungmobile.com/SM-A035G/021536220216/eng.html
