model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-A037W,BMC,021617220224,SM-A037W/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,A037WVLS7DXE1,T(Android 13),2024-05-31,2024-01-01,Galaxy A03s ,https://doc.samsungmobile.com/SM-A037W/021617220224/eng.html
SM-A037W,BMC,021617220224,SM-A037W/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,A037WVLS7DWK1,T(Android 13),2024-01-12,2023-11-01,Galaxy A03s ,https://doc.samsungmobile.com/SM-A037W/021617220224/eng.html
SM-A037W,BMC,021617220224,SM-A037W/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,A037WVLU6DWJ3,T(Android 13),2023-11-07,2023-09-01,Galaxy A03s ,https://doc.samsungmobile.com/SM-A037W/021617220224/eng.html
SM-A037W,BMC,021617220224,SM-A037W/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,A037WVLU4DWG1,T(Android 13),2023-07-18,2023-06-01,Galaxy A03s ,https://doc.samsungmobile.com/SM-A037W/021617220224/eng.html
SM-A037W,BMC,021617220224,SM-A037W/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,A037WVLS4DWF2,T(Android 13),2023-06-23,2023-04-01,Galaxy A03s ,https://doc.samsungmobile.com/SM-A037W/021617220224/eng.html
SM-A037W,BMC,021617220224,SM-A037W/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,A037WVLU3DWD3,T(Android 13),2023-05-02,2023-03-01,Galaxy A03s ,https://doc.samsungmobile.com/SM-A037W/021617220224/eng.html
SM-A037W,BMC,021617220224,SM-A037W/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,A037WVLS3CWC1,T(Android 13),2023-03-28,2023-02-01,Galaxy A03s ,https://doc.samsungmobile.com/SM-A037W/021617220224/eng.html
SM-A037W,BMC,021617220224,SM-A037W/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,A037WVLU3CWB5,T(Android 13),2023-03-14,2022-12-01,Galaxy A03s ,https://doc.samsungmobile.com/SM-A037W/021617220224/eng.html
SM-A037W,BMC,021617220224,SM-A037W/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,A037WVLS3BVJ1,S(Android 12),2022-10-25,2022-10-01,Galaxy A03s ,https://doc.samsungmobile.com/SM-A037W/021617220224/eng.html
SM-A037W,BMC,021617220224,SM-A037W/BMC, Canada (Bell Mobile),Canada,Bell Mobile,Americas,Northern America,A037WVLU2BVH1,S(Android 12),2022-08-24,2022-07-01,Galaxy A03s ,https://doc.samsungmobile.com/SM-A037W/021617220224/eng.html
