model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-A145FB,GLB,026817230602,SM-A145FB/GLB, Philippines (Globe),Philippines,Globe,Asia,South-eastern Asia,A145FBDXS6BXE3,U(Android 14),2024-05-31,2024-05-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145FB/026817230602/eng.html
SM-A145FB,GLB,026817230602,SM-A145FB/GLB, Philippines (Globe),Philippines,Globe,Asia,South-eastern Asia,A145FBDXS5BXA1,U(Android 14),2024-02-28,2024-02-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145FB/026817230602/eng.html
SM-A145FB,GLB,026817230602,SM-A145FB/GLB, Philippines (Globe),Philippines,Globe,Asia,South-eastern Asia,A145FBDXU4BWK8,U(Android 14),2024-01-09,2023-11-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145FB/026817230602/eng.html
SM-A145FB,GLB,026817230602,SM-A145FB/GLB, Philippines (Globe),Philippines,Globe,Asia,South-eastern Asia,A145FBDXS4AWJ4,T(Android 13),2023-10-31,2023-08-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145FB/026817230602/eng.html
SM-A145FB,GLB,026817230602,SM-A145FB/GLB, Philippines (Globe),Philippines,Globe,Asia,South-eastern Asia,A145FBDXU3AWG5,T(Android 13),2023-09-05,2023-08-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145FB/026817230602/eng.html
SM-A145FB,GLB,026817230602,SM-A145FB/GLB, Philippines (Globe),Philippines,Globe,Asia,South-eastern Asia,A145FBDXS2AWF3,T(Android 13),2023-06-10,2023-05-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145FB/026817230602/eng.html
SM-A145FB,GLB,026817230602,SM-A145FB/GLB, Philippines (Globe),Philippines,Globe,Asia,South-eastern Asia,A145FBDXU2AWE8,T(Android 13),2023-06-01,2023-05-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145FB/026817230602/eng.html
SM-A145FB,INS,026868230623,SM-A145FB/INS, India,India,No-carrier,Asia,Southern Asia,A145FBDXS6BXE3,U(Android 14),2024-05-31,2024-05-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145FB/026868230623/eng.html
SM-A145FB,INS,026868230623,SM-A145FB/INS, India,India,No-carrier,Asia,Southern Asia,A145FBDXS5BXA1,U(Android 14),2024-02-29,2024-02-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145FB/026868230623/eng.html
SM-A145FB,INS,026868230623,SM-A145FB/INS, India,India,No-carrier,Asia,Southern Asia,A145FBDXS5BWL1,U(Android 14),2024-01-04,2023-12-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145FB/026868230623/eng.html
