model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-A145MB,ARO,027751230908,SM-A145MB/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,A145MBUBS6BXD5,U(Android 14),2024-06-10,2024-05-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145MB/027751230908/eng.html
SM-A145MB,ARO,027751230908,SM-A145MB/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,A145MBUBS5BXB1,U(Android 14),2024-03-14,2024-03-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145MB/027751230908/eng.html
SM-A145MB,ARO,027751230908,SM-A145MB/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,A145MBUBS4BXA1,U(Android 14),2024-01-26,2024-01-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145MB/027751230908/eng.html
SM-A145MB,ARO,027751230908,SM-A145MB/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,A145MBUBU4BWL1,U(Android 14),2024-01-02,2023-11-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145MB/027751230908/eng.html
SM-A145MB,ARO,027751230908,SM-A145MB/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,A145MBUBS4AWJ2,T(Android 13),2023-10-30,2023-10-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145MB/027751230908/eng.html
SM-A145MB,ARO,027751230908,SM-A145MB/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,A145MBUBU3AWH1,T(Android 13),2023-09-07,2023-08-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145MB/027751230908/eng.html
SM-A145MB,ZTO,026781230523,SM-A145MB/ZTO, Brazil,Brazil,No-carrier,Americas,Latin America and the Caribbean,A145MBUBS6BXD5,U(Android 14),2024-06-10,2024-05-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145MB/026781230523/eng.html
SM-A145MB,ZTO,026781230523,SM-A145MB/ZTO, Brazil,Brazil,No-carrier,Americas,Latin America and the Caribbean,A145MBUBS5BXB1,U(Android 14),2024-03-14,2024-03-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145MB/026781230523/eng.html
SM-A145MB,ZTO,026781230523,SM-A145MB/ZTO, Brazil,Brazil,No-carrier,Americas,Latin America and the Caribbean,A145MBUBS4BXA1,U(Android 14),2024-01-26,2024-01-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145MB/026781230523/eng.html
SM-A145MB,ZTO,026781230523,SM-A145MB/ZTO, Brazil,Brazil,No-carrier,Americas,Latin America and the Caribbean,A145MBUBU4BWL1,U(Android 14),2023-12-28,2023-11-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145MB/026781230523/eng.html
SM-A145MB,ZTO,026781230523,SM-A145MB/ZTO, Brazil,Brazil,No-carrier,Americas,Latin America and the Caribbean,A145MBUBS4AWJ2,T(Android 13),2023-10-30,2023-10-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145MB/026781230523/eng.html
SM-A145MB,ZTO,026781230523,SM-A145MB/ZTO, Brazil,Brazil,No-carrier,Americas,Latin America and the Caribbean,A145MBUBU3AWH1,T(Android 13),2023-09-07,2023-08-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145MB/026781230523/eng.html
SM-A145MB,ZTO,026781230523,SM-A145MB/ZTO, Brazil,Brazil,No-carrier,Americas,Latin America and the Caribbean,A145MBUBU2AWF5,T(Android 13),2023-06-16,2023-05-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145MB/026781230523/eng.html
SM-A145MB,ZTO,026781230523,SM-A145MB/ZTO, Brazil,Brazil,No-carrier,Americas,Latin America and the Caribbean,A145MBUBS1AWE1,T(Android 13),2023-05-22,2023-05-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145MB/026781230523/eng.html
