model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-A145R,BOG,026441230321,SM-A145R/BOG, France (Bouygues),France,Bouygues,Europe,Western Europe,A145RXXU5CXE1,U(Android 14),2024-06-06,2024-04-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026441230321/eng.html
SM-A145R,BOG,026441230321,SM-A145R/BOG, France (Bouygues),France,Bouygues,Europe,Western Europe,A145RXXU5BXD4,U(Android 14),2024-05-08,2024-04-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026441230321/eng.html
SM-A145R,BOG,026441230321,SM-A145R/BOG, France (Bouygues),France,Bouygues,Europe,Western Europe,A145RXXS5BXD1,U(Android 14),2024-04-26,2024-04-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026441230321/eng.html
SM-A145R,BOG,026441230321,SM-A145R/BOG, France (Bouygues),France,Bouygues,Europe,Western Europe,A145RXXS4BXB1,U(Android 14),2024-02-21,2024-02-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026441230321/eng.html
SM-A145R,BOG,026441230321,SM-A145R/BOG, France (Bouygues),France,Bouygues,Europe,Western Europe,A145RXXS4BXA2,U(Android 14),2024-01-26,2023-11-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026441230321/eng.html
SM-A145R,BOG,026441230321,SM-A145R/BOG, France (Bouygues),France,Bouygues,Europe,Western Europe,A145RXXU4BWL1,U(Android 14),2024-01-16,2023-11-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026441230321/eng.html
SM-A145R,BOG,026441230321,SM-A145R/BOG, France (Bouygues),France,Bouygues,Europe,Western Europe,A145RXXS4AWK6,T(Android 13),2023-12-18,2023-11-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026441230321/eng.html
SM-A145R,BOG,026441230321,SM-A145R/BOG, France (Bouygues),France,Bouygues,Europe,Western Europe,A145RXXS4AWJ1,T(Android 13),2023-10-31,2023-09-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026441230321/eng.html
SM-A145R,BOG,026441230321,SM-A145R/BOG, France (Bouygues),France,Bouygues,Europe,Western Europe,A145RXXU3AWI3,T(Android 13),2023-10-13,2023-09-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026441230321/eng.html
SM-A145R,BOG,026441230321,SM-A145R/BOG, France (Bouygues),France,Bouygues,Europe,Western Europe,A145RXXS3AWH2,T(Android 13),2023-09-07,2023-08-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026441230321/eng.html
SM-A145R,BOG,026441230321,SM-A145R/BOG, France (Bouygues),France,Bouygues,Europe,Western Europe,A145RXXU2AWG3,T(Android 13),2023-08-08,2023-06-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026441230321/eng.html
SM-A145R,BOG,026441230321,SM-A145R/BOG, France (Bouygues),France,Bouygues,Europe,Western Europe,A145RXXU1AWD1,T(Android 13),2023-05-04,2023-04-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026441230321/eng.html
SM-A145R,BOG,026441230321,SM-A145R/BOG, France (Bouygues),France,Bouygues,Europe,Western Europe,A145RXXU1AWC2,T(Android 13),2023-04-07,2023-03-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026441230321/eng.html
SM-A145R,BOG,026441230321,SM-A145R/BOG, France (Bouygues),France,Bouygues,Europe,Western Europe,A145RXXU1AWB1,T(Android 13),2023-03-21,2023-01-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026441230321/eng.html
SM-A145R,EVR,026458230321,SM-A145R/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,A145RXXU5CXE1,U(Android 14),2024-06-06,2024-04-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026458230321/eng.html
SM-A145R,EVR,026458230321,SM-A145R/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,A145RXXU5BXD4,U(Android 14),2024-05-08,2024-04-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026458230321/eng.html
SM-A145R,EVR,026458230321,SM-A145R/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,A145RXXS5BXD1,U(Android 14),2024-04-26,2024-04-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026458230321/eng.html
SM-A145R,EVR,026458230321,SM-A145R/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,A145RXXS4BXB1,U(Android 14),2024-02-21,2024-02-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026458230321/eng.html
SM-A145R,EVR,026458230321,SM-A145R/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,A145RXXS4BXA2,U(Android 14),2024-01-26,2023-11-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026458230321/eng.html
SM-A145R,EVR,026458230321,SM-A145R/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,A145RXXU4BWL1,U(Android 14),2024-01-16,2023-11-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026458230321/eng.html
SM-A145R,EVR,026458230321,SM-A145R/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,A145RXXS4AWK6,T(Android 13),2023-12-18,2023-11-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026458230321/eng.html
SM-A145R,EVR,026458230321,SM-A145R/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,A145RXXS4AWJ1,T(Android 13),2023-10-31,2023-09-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026458230321/eng.html
SM-A145R,EVR,026458230321,SM-A145R/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,A145RXXU3AWI3,T(Android 13),2023-10-13,2023-09-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026458230321/eng.html
SM-A145R,EVR,026458230321,SM-A145R/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,A145RXXS3AWH2,T(Android 13),2023-09-07,2023-08-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026458230321/eng.html
SM-A145R,EVR,026458230321,SM-A145R/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,A145RXXU2AWG3,T(Android 13),2023-08-08,2023-06-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026458230321/eng.html
SM-A145R,EVR,026458230321,SM-A145R/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,A145RXXU1AWD1,T(Android 13),2023-05-04,2023-04-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026458230321/eng.html
SM-A145R,EVR,026458230321,SM-A145R/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,A145RXXU1AWC2,T(Android 13),2023-04-07,2023-03-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026458230321/eng.html
SM-A145R,EVR,026458230321,SM-A145R/EVR, United Kingdom (EE),United Kingdom,EE,Europe,Northern Europe,A145RXXU1AWB1,T(Android 13),2023-03-21,2023-01-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026458230321/eng.html
SM-A145R,MEO,026446230321,SM-A145R/MEO, Portugal,Portugal,No-carrier,Europe,Southern Europe,A145RXXU5CXE1,U(Android 14),2024-06-06,2024-04-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026446230321/eng.html
SM-A145R,MEO,026446230321,SM-A145R/MEO, Portugal,Portugal,No-carrier,Europe,Southern Europe,A145RXXU5BXD4,U(Android 14),2024-05-08,2024-04-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026446230321/eng.html
SM-A145R,MEO,026446230321,SM-A145R/MEO, Portugal,Portugal,No-carrier,Europe,Southern Europe,A145RXXS5BXD1,U(Android 14),2024-04-26,2024-04-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026446230321/eng.html
SM-A145R,MEO,026446230321,SM-A145R/MEO, Portugal,Portugal,No-carrier,Europe,Southern Europe,A145RXXS4BXB1,U(Android 14),2024-02-21,2024-02-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026446230321/eng.html
SM-A145R,MEO,026446230321,SM-A145R/MEO, Portugal,Portugal,No-carrier,Europe,Southern Europe,A145RXXS4BXA2,U(Android 14),2024-01-26,2023-11-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026446230321/eng.html
SM-A145R,MEO,026446230321,SM-A145R/MEO, Portugal,Portugal,No-carrier,Europe,Southern Europe,A145RXXU4BWL1,U(Android 14),2024-01-16,2023-11-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026446230321/eng.html
SM-A145R,MEO,026446230321,SM-A145R/MEO, Portugal,Portugal,No-carrier,Europe,Southern Europe,A145RXXS4AWK6,T(Android 13),2023-12-18,2023-11-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026446230321/eng.html
SM-A145R,MEO,026446230321,SM-A145R/MEO, Portugal,Portugal,No-carrier,Europe,Southern Europe,A145RXXS4AWJ1,T(Android 13),2023-10-31,2023-09-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026446230321/eng.html
SM-A145R,MEO,026446230321,SM-A145R/MEO, Portugal,Portugal,No-carrier,Europe,Southern Europe,A145RXXU3AWI3,T(Android 13),2023-10-13,2023-09-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026446230321/eng.html
SM-A145R,MEO,026446230321,SM-A145R/MEO, Portugal,Portugal,No-carrier,Europe,Southern Europe,A145RXXS3AWH2,T(Android 13),2023-09-07,2023-08-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026446230321/eng.html
SM-A145R,MEO,026446230321,SM-A145R/MEO, Portugal,Portugal,No-carrier,Europe,Southern Europe,A145RXXU2AWG3,T(Android 13),2023-08-08,2023-06-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026446230321/eng.html
SM-A145R,MEO,026446230321,SM-A145R/MEO, Portugal,Portugal,No-carrier,Europe,Southern Europe,A145RXXU1AWD1,T(Android 13),2023-05-04,2023-04-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026446230321/eng.html
SM-A145R,MEO,026446230321,SM-A145R/MEO, Portugal,Portugal,No-carrier,Europe,Southern Europe,A145RXXU1AWC2,T(Android 13),2023-04-07,2023-03-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026446230321/eng.html
SM-A145R,MEO,026446230321,SM-A145R/MEO, Portugal,Portugal,No-carrier,Europe,Southern Europe,A145RXXU1AWB1,T(Android 13),2023-03-21,2023-01-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026446230321/eng.html
SM-A145R,MET,026415230321,SM-A145R/MET, Ireland (Meteor),Ireland,Meteor,Europe,Northern Europe,A145RXXU5CXE1,U(Android 14),2024-06-06,2024-04-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026415230321/eng.html
SM-A145R,MET,026415230321,SM-A145R/MET, Ireland (Meteor),Ireland,Meteor,Europe,Northern Europe,A145RXXU5BXD4,U(Android 14),2024-05-08,2024-04-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026415230321/eng.html
SM-A145R,MET,026415230321,SM-A145R/MET, Ireland (Meteor),Ireland,Meteor,Europe,Northern Europe,A145RXXS5BXD1,U(Android 14),2024-04-26,2024-04-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026415230321/eng.html
SM-A145R,MET,026415230321,SM-A145R/MET, Ireland (Meteor),Ireland,Meteor,Europe,Northern Europe,A145RXXS4BXB1,U(Android 14),2024-02-21,2024-02-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026415230321/eng.html
SM-A145R,MET,026415230321,SM-A145R/MET, Ireland (Meteor),Ireland,Meteor,Europe,Northern Europe,A145RXXS4BXA2,U(Android 14),2024-01-26,2023-11-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026415230321/eng.html
SM-A145R,MET,026415230321,SM-A145R/MET, Ireland (Meteor),Ireland,Meteor,Europe,Northern Europe,A145RXXU4BWL1,U(Android 14),2024-01-16,2023-11-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026415230321/eng.html
SM-A145R,MET,026415230321,SM-A145R/MET, Ireland (Meteor),Ireland,Meteor,Europe,Northern Europe,A145RXXS4AWK6,T(Android 13),2023-12-18,2023-11-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026415230321/eng.html
SM-A145R,MET,026415230321,SM-A145R/MET, Ireland (Meteor),Ireland,Meteor,Europe,Northern Europe,A145RXXS4AWJ1,T(Android 13),2023-10-31,2023-09-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026415230321/eng.html
SM-A145R,MET,026415230321,SM-A145R/MET, Ireland (Meteor),Ireland,Meteor,Europe,Northern Europe,A145RXXU3AWI3,T(Android 13),2023-10-13,2023-09-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026415230321/eng.html
SM-A145R,MET,026415230321,SM-A145R/MET, Ireland (Meteor),Ireland,Meteor,Europe,Northern Europe,A145RXXS3AWH2,T(Android 13),2023-09-07,2023-08-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026415230321/eng.html
SM-A145R,MET,026415230321,SM-A145R/MET, Ireland (Meteor),Ireland,Meteor,Europe,Northern Europe,A145RXXU2AWG3,T(Android 13),2023-08-08,2023-06-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026415230321/eng.html
SM-A145R,MET,026415230321,SM-A145R/MET, Ireland (Meteor),Ireland,Meteor,Europe,Northern Europe,A145RXXU1AWD1,T(Android 13),2023-05-04,2023-04-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026415230321/eng.html
SM-A145R,MET,026415230321,SM-A145R/MET, Ireland (Meteor),Ireland,Meteor,Europe,Northern Europe,A145RXXU1AWC2,T(Android 13),2023-04-07,2023-03-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026415230321/eng.html
SM-A145R,MET,026415230321,SM-A145R/MET, Ireland (Meteor),Ireland,Meteor,Europe,Northern Europe,A145RXXU1AWB1,T(Android 13),2023-03-21,2023-01-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026415230321/eng.html
SM-A145R,MOT,026399230321,SM-A145R/MOT, Slovenia (Mobitel),Slovenia,Mobitel,Europe,Southern Europe,A145RXXU5CXE1,U(Android 14),2024-06-06,2024-04-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026399230321/eng.html
SM-A145R,MOT,026399230321,SM-A145R/MOT, Slovenia (Mobitel),Slovenia,Mobitel,Europe,Southern Europe,A145RXXU5BXD4,U(Android 14),2024-05-08,2024-04-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026399230321/eng.html
SM-A145R,MOT,026399230321,SM-A145R/MOT, Slovenia (Mobitel),Slovenia,Mobitel,Europe,Southern Europe,A145RXXS5BXD1,U(Android 14),2024-04-26,2024-04-01,Galaxy A14 ,https://doc.samsungmobile.com/SM-A145R/026399230321/eng.html
