model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-A146P,ACR,026780230523,SM-A146P/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,A146PXXU7DXD3,U(Android 14),2024-05-20,2024-04-01,Galaxy A14 5G ,https://doc.samsungmobile.com/SM-A146P/026780230523/eng.html
SM-A146P,ACR,026780230523,SM-A146P/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,A146PXXS6CXD1,U(Android 14),2024-04-25,2024-03-01,Galaxy A14 5G ,https://doc.samsungmobile.com/SM-A146P/026780230523/eng.html
SM-A146P,ACR,026780230523,SM-A146P/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,A146PXXU5CWL6,U(Android 14),2023-12-27,2023-12-01,Galaxy A14 5G ,https://doc.samsungmobile.com/SM-A146P/026780230523/eng.html
SM-A146P,ACR,026780230523,SM-A146P/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,A146PXXS5BWK1,T(Android 13),2023-11-30,2023-11-01,Galaxy A14 5G ,https://doc.samsungmobile.com/SM-A146P/026780230523/eng.html
SM-A146P,ACR,026780230523,SM-A146P/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,A146PXXU4BWH4,T(Android 13),2023-10-02,2023-09-01,Galaxy A14 5G ,https://doc.samsungmobile.com/SM-A146P/026780230523/eng.html
SM-A146P,ACR,026780230523,SM-A146P/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,A146PXXU3BWF1,T(Android 13),2023-06-27,2023-06-01,Galaxy A14 5G ,https://doc.samsungmobile.com/SM-A146P/026780230523/eng.html
SM-A146P,ACR,026780230523,SM-A146P/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,A146PXXU2BWD1,T(Android 13),2023-05-22,2023-04-01,Galaxy A14 5G ,https://doc.samsungmobile.com/SM-A146P/026780230523/eng.html
SM-A146P,AFR,026879230628,SM-A146P/AFR, Kenya,Kenya,No-carrier,Africa,Sub-Saharan Africa,A146PXXU7DXD3,U(Android 14),2024-05-20,2024-04-01,Galaxy A14 5G ,https://doc.samsungmobile.com/SM-A146P/026879230628/eng.html
SM-A146P,AFR,026879230628,SM-A146P/AFR, Kenya,Kenya,No-carrier,Africa,Sub-Saharan Africa,A146PXXS6CXD1,U(Android 14),2024-04-25,2024-03-01,Galaxy A14 5G ,https://doc.samsungmobile.com/SM-A146P/026879230628/eng.html
SM-A146P,AFR,026879230628,SM-A146P/AFR, Kenya,Kenya,No-carrier,Africa,Sub-Saharan Africa,A146PXXU5CWL6,U(Android 14),2023-12-27,2023-12-01,Galaxy A14 5G ,https://doc.samsungmobile.com/SM-A146P/026879230628/eng.html
SM-A146P,AFR,026879230628,SM-A146P/AFR, Kenya,Kenya,No-carrier,Africa,Sub-Saharan Africa,A146PXXS5BWK1,T(Android 13),2023-11-30,2023-11-01,Galaxy A14 5G ,https://doc.samsungmobile.com/SM-A146P/026879230628/eng.html
SM-A146P,AFR,026879230628,SM-A146P/AFR, Kenya,Kenya,No-carrier,Africa,Sub-Saharan Africa,A146PXXU4BWH4,T(Android 13),2023-10-02,2023-09-01,Galaxy A14 5G ,https://doc.samsungmobile.com/SM-A146P/026879230628/eng.html
SM-A146P,AFR,026879230628,SM-A146P/AFR, Kenya,Kenya,No-carrier,Africa,Sub-Saharan Africa,A146PXXU3BWF1,T(Android 13),2023-06-27,2023-06-01,Galaxy A14 5G ,https://doc.samsungmobile.com/SM-A146P/026879230628/eng.html
SM-A146P,BOG,026710230419,SM-A146P/BOG, France (Bouygues),France,Bouygues,Europe,Western Europe,A146PXXU7DXE1,U(Android 14),2024-06-11,2024-04-01,Galaxy A14 5G ,https://doc.samsungmobile.com/SM-A146P/026710230419/eng.html
SM-A146P,BOG,026710230419,SM-A146P/BOG, France (Bouygues),France,Bouygues,Europe,Western Europe,A146PXXU7DXD3,U(Android 14),2024-05-24,2024-04-01,Galaxy A14 5G ,https://doc.samsungmobile.com/SM-A146P/026710230419/eng.html
