model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-A205YN,XSA,007990190725,SM-A205YN/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,A205YNDVS8CWC3,R(Android 11),2023-04-06,2023-03-01,Galaxy A20 ,https://doc.samsungmobile.com/SM-A205YN/007990190725/eng.html
SM-A205YN,XSA,007990190725,SM-A205YN/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,A205YNDVS8CVI2,R(Android 11),2022-10-29,2022-09-01,Galaxy A20 ,https://doc.samsungmobile.com/SM-A205YN/007990190725/eng.html
SM-A205YN,XSA,007990190725,SM-A205YN/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,A205YNDVU7CVF3,R(Android 11),2022-07-07,2022-03-01,Galaxy A20 ,https://doc.samsungmobile.com/SM-A205YN/007990190725/eng.html
SM-A205YN,XSA,007990190725,SM-A205YN/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,A205YNDVS7CVC1,R(Android 11),2022-03-22,2022-03-01,Galaxy A20 ,https://doc.samsungmobile.com/SM-A205YN/007990190725/eng.html
SM-A205YN,XSA,007990190725,SM-A205YN/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,A205YNDVU7CUI1,R(Android 11),2021-09-30,2021-09-01,Galaxy A20 ,https://doc.samsungmobile.com/SM-A205YN/007990190725/eng.html
SM-A205YN,XSA,007990190725,SM-A205YN/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,A205YNDVU7CUF2,R(Android 11),2021-06-17,2021-06-01,Galaxy A20 ,https://doc.samsungmobile.com/SM-A205YN/007990190725/eng.html
SM-A205YN,XSA,007990190725,SM-A205YN/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,A205YNDVS7BUD2,Q(Android 10),2021-04-23,2021-04-01,Galaxy A20 ,https://doc.samsungmobile.com/SM-A205YN/007990190725/eng.html
SM-A205YN,XSA,007990190725,SM-A205YN/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,A205YNDVS7BUB1,Q(Android 10),2021-03-18,2021-03-01,Galaxy A20 ,https://doc.samsungmobile.com/SM-A205YN/007990190725/eng.html
SM-A205YN,XSA,007990190725,SM-A205YN/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,A205YNDVS6BTL1,Q(Android 10),2020-12-23,2020-12-01,Galaxy A20 ,https://doc.samsungmobile.com/SM-A205YN/007990190725/eng.html
SM-A205YN,XSA,007990190725,SM-A205YN/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,A205YNDVU6BTJ5,Q(Android 10),2020-11-12,2020-10-01,Galaxy A20 ,https://doc.samsungmobile.com/SM-A205YN/007990190725/eng.html
SM-A205YN,XSA,007990190725,SM-A205YN/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,A205YNDVS6BTI1,Q(Android 10),2020-09-28,2020-09-01,Galaxy A20 ,https://doc.samsungmobile.com/SM-A205YN/007990190725/eng.html
SM-A205YN,XSA,007990190725,SM-A205YN/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,A205YNDVU5BTG1,Q(Android 10),2020-09-03,2020-07-01,Galaxy A20 ,https://doc.samsungmobile.com/SM-A205YN/007990190725/eng.html
SM-A205YN,XSA,007990190725,SM-A205YN/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,A205YNDVU5BTF4,Q(Android 10),2020-07-20,2020-07-01,Galaxy A20 ,https://doc.samsungmobile.com/SM-A205YN/007990190725/eng.html
SM-A205YN,XSA,007990190725,SM-A205YN/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,A205YNDVU4BTD2,Q(Android 10),2020-04-27,2020-04-01,Galaxy A20 ,https://doc.samsungmobile.com/SM-A205YN/007990190725/eng.html
SM-A205YN,XSA,007990190725,SM-A205YN/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,A205YNDVU4ATA2,Pie(Android 9),2020-02-27,2020-02-01,Galaxy A20 ,https://doc.samsungmobile.com/SM-A205YN/007990190725/eng.html
SM-A205YN,XSA,007990190725,SM-A205YN/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,A205YNDVU3ASJ4,Pie(Android 9),2019-11-21,2019-10-01,Galaxy A20 ,https://doc.samsungmobile.com/SM-A205YN/007990190725/eng.html
SM-A205YN,XSA,007990190725,SM-A205YN/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,A205YNDVU2ASI4,Pie(Android 9),2019-10-25,2019-10-01,Galaxy A20 ,https://doc.samsungmobile.com/SM-A205YN/007990190725/eng.html
SM-A205YN,XSA,007990190725,SM-A205YN/XSA, Australia,Australia,No-carrier,Oceania,Australia and New Zealand,A205YNDVU2ASF4,Pie(Android 9),2019-07-24,2019-06-01,Galaxy A20 ,https://doc.samsungmobile.com/SM-A205YN/007990190725/eng.html
