model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-A226BR,ANC,024175220825,SM-A226BR/ANC, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,A226BRUBSADXE1,T(Android 13),2024-05-22,2024-03-01,Galaxy A22 5G,https://doc.samsungmobile.com/SM-A226BR/024175220825/eng.html
SM-A226BR,ANC,024175220825,SM-A226BR/ANC, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,A226BRUBS9DXC1,T(Android 13),2024-04-05,2023-12-01,Galaxy A22 5G,https://doc.samsungmobile.com/SM-A226BR/024175220825/eng.html
SM-A226BR,ANC,024175220825,SM-A226BR/ANC, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,A226BRUBU8DWK2,T(Android 13),2023-12-04,2023-10-01,Galaxy A22 5G,https://doc.samsungmobile.com/SM-A226BR/024175220825/eng.html
SM-A226BR,ANC,024175220825,SM-A226BR/ANC, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,A226BRUBS6DWH3,T(Android 13),2023-09-20,2023-07-01,Galaxy A22 5G,https://doc.samsungmobile.com/SM-A226BR/024175220825/eng.html
SM-A226BR,ANC,024175220825,SM-A226BR/ANC, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,A226BRUBU6DWF2,T(Android 13),2023-08-11,2023-06-01,Galaxy A22 5G,https://doc.samsungmobile.com/SM-A226BR/024175220825/eng.html
SM-A226BR,ANC,024175220825,SM-A226BR/ANC, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,A226BRUBU5DWC3,T(Android 13),2023-04-26,2023-03-01,Galaxy A22 5G,https://doc.samsungmobile.com/SM-A226BR/024175220825/eng.html
SM-A226BR,ANC,024175220825,SM-A226BR/ANC, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,A226BRUBS4CWA9,T(Android 13),2023-03-10,2023-01-01,Galaxy A22 5G,https://doc.samsungmobile.com/SM-A226BR/024175220825/eng.html
SM-A226BR,ANC,024175220825,SM-A226BR/ANC, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,A226BRUBU4CVK8,T(Android 13),2023-01-18,2022-11-01,Galaxy A22 5G,https://doc.samsungmobile.com/SM-A226BR/024175220825/eng.html
SM-A226BR,ANC,024175220825,SM-A226BR/ANC, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,A226BRUBU4BVJ1,S(Android 12),2022-11-05,2022-09-01,Galaxy A22 5G,https://doc.samsungmobile.com/SM-A226BR/024175220825/eng.html
SM-A226BR,ANC,024175220825,SM-A226BR/ANC, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,A226BRUBU3BVF7,S(Android 12),2022-08-25,2022-07-01,Galaxy A22 5G,https://doc.samsungmobile.com/SM-A226BR/024175220825/eng.html
SM-A226BR,ARO,023026220502,SM-A226BR/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,A226BRUBSADXE1,T(Android 13),2024-05-29,2024-03-01,Galaxy A22 5G,https://doc.samsungmobile.com/SM-A226BR/023026220502/eng.html
SM-A226BR,ARO,023026220502,SM-A226BR/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,A226BRUBS9DXC1,T(Android 13),2024-03-28,2023-12-01,Galaxy A22 5G,https://doc.samsungmobile.com/SM-A226BR/023026220502/eng.html
SM-A226BR,ARO,023026220502,SM-A226BR/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,A226BRUBU8DWK2,T(Android 13),2023-11-27,2023-10-01,Galaxy A22 5G,https://doc.samsungmobile.com/SM-A226BR/023026220502/eng.html
SM-A226BR,ARO,023026220502,SM-A226BR/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,A226BRUBS6DWH3,T(Android 13),2023-09-22,2023-07-01,Galaxy A22 5G,https://doc.samsungmobile.com/SM-A226BR/023026220502/eng.html
SM-A226BR,ARO,023026220502,SM-A226BR/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,A226BRUBU6DWF2,T(Android 13),2023-08-07,2023-06-01,Galaxy A22 5G,https://doc.samsungmobile.com/SM-A226BR/023026220502/eng.html
SM-A226BR,ARO,023026220502,SM-A226BR/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,A226BRUBS5DWE1,T(Android 13),2023-05-23,2023-05-01,Galaxy A22 5G,https://doc.samsungmobile.com/SM-A226BR/023026220502/eng.html
SM-A226BR,ARO,023026220502,SM-A226BR/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,A226BRUBU5DWC3,T(Android 13),2023-05-04,2023-03-01,Galaxy A22 5G,https://doc.samsungmobile.com/SM-A226BR/023026220502/eng.html
SM-A226BR,ARO,023026220502,SM-A226BR/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,A226BRUBS4CWA9,T(Android 13),2023-03-10,2023-01-01,Galaxy A22 5G,https://doc.samsungmobile.com/SM-A226BR/023026220502/eng.html
SM-A226BR,ARO,023026220502,SM-A226BR/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,A226BRUBU4CVK8,T(Android 13),2023-01-13,2022-11-01,Galaxy A22 5G,https://doc.samsungmobile.com/SM-A226BR/023026220502/eng.html
SM-A226BR,ARO,023026220502,SM-A226BR/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,A226BRUBS4BVK2,S(Android 12),2022-12-17,2022-11-01,Galaxy A22 5G,https://doc.samsungmobile.com/SM-A226BR/023026220502/eng.html
SM-A226BR,ARO,023026220502,SM-A226BR/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,A226BRUBU4BVI3,S(Android 12),2022-10-14,2022-09-01,Galaxy A22 5G,https://doc.samsungmobile.com/SM-A226BR/023026220502/eng.html
SM-A226BR,ARO,023026220502,SM-A226BR/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,A226BRUBU3BVF7,S(Android 12),2022-09-15,2022-07-01,Galaxy A22 5G,https://doc.samsungmobile.com/SM-A226BR/023026220502/eng.html
SM-A226BR,ARO,023026220502,SM-A226BR/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,A226BRUBU3BVF7,S(Android 12),2022-08-08,2022-07-01,Galaxy A22 5G,https://doc.samsungmobile.com/SM-A226BR/023026220502/eng.html
SM-A226BR,ARO,023026220502,SM-A226BR/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,A226BRUBU3AVD4,R(Android 11),2022-06-17,2022-04-01,Galaxy A22 5G,https://doc.samsungmobile.com/SM-A226BR/023026220502/eng.html
