model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-A310M,ALE,007066190608,SM-A310M/ALE, Ecuador,Ecuador,No-carrier,Americas,Latin America and the Caribbean,A310MUBS3CSE1,Nougat(Android 7.0),2019-06-08,2019-05-01,Galaxy A3 ⑥ ,https://doc.samsungmobile.com/SM-A310M/007066190608/eng.html
SM-A310M,ARO,006892190602,SM-A310M/ARO, Argentina,Argentina,No-carrier,Americas,Latin America and the Caribbean,A310MUBS3CSE1,Nougat(Android 7.0),2019-06-01,2019-05-01,Galaxy A3 ⑥ ,https://doc.samsungmobile.com/SM-A310M/006892190602/eng.html
SM-A310M,BAT,007311190618,SM-A310M/BAT, Mexico,Mexico,No-carrier,Americas,Latin America and the Caribbean,A310MUBS3CSE1,Nougat(Android 7.0),2019-06-18,2019-05-01,Galaxy A3 ⑥ ,https://doc.samsungmobile.com/SM-A310M/007311190618/eng.html
SM-A310M,BVO,010447200118,SM-A310M/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,A310MUBS3CTH7,Nougat(Android 7.0),2020-10-12,2019-08-01,Galaxy A3 ⑥ ,https://doc.samsungmobile.com/SM-A310M/010447200118/eng.html
SM-A310M,BVO,010447200118,SM-A310M/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,A310MUBU3CSL1,Nougat(Android 7.0),2020-01-18,2019-08-01,Galaxy A3 ⑥ ,https://doc.samsungmobile.com/SM-A310M/010447200118/eng.html
SM-A310M,CDR,007064190608,SM-A310M/CDR, Dominican Republic,Dominican Republic,No-carrier,Americas,Latin America and the Caribbean,A310MUBS3CSE1,Nougat(Android 7.0),2019-06-08,2019-05-01,Galaxy A3 ⑥ ,https://doc.samsungmobile.com/SM-A310M/007064190608/eng.html
SM-A310M,CHO,006893190602,SM-A310M/CHO, Chile,Chile,No-carrier,Americas,Latin America and the Caribbean,A310MUBS3CSE1,Nougat(Android 7.0),2019-06-01,2019-05-01,Galaxy A3 ⑥ ,https://doc.samsungmobile.com/SM-A310M/006893190602/eng.html
SM-A310M,COB,007288190616,SM-A310M/COB, Colombia (Movistar),Colombia,Movistar,Americas,Latin America and the Caribbean,A310MUBS3CSE3,Nougat(Android 7.0),2019-06-15,2019-05-01,Galaxy A3 ⑥ ,https://doc.samsungmobile.com/SM-A310M/007288190616/eng.html
SM-A310M,COM,007063190608,SM-A310M/COM, Colombia (Comcel),Colombia,Comcel,Americas,Latin America and the Caribbean,A310MUBS3CSE1,Nougat(Android 7.0),2019-06-08,2019-05-01,Galaxy A3 ⑥ ,https://doc.samsungmobile.com/SM-A310M/007063190608/eng.html
SM-A310M,COO,006883190601,SM-A310M/COO, Colombia,Colombia,No-carrier,Americas,Latin America and the Caribbean,A310MUBS3CSE1,Nougat(Android 7.0),2019-05-31,2019-05-01,Galaxy A3 ⑥ ,https://doc.samsungmobile.com/SM-A310M/006883190601/eng.html
SM-A310M,CTI,006882190601,SM-A310M/CTI, Argentina (Claro),Argentina,Claro,Americas,Latin America and the Caribbean,A310MUBS3CSE2,Nougat(Android 7.0),2019-05-31,2019-05-01,Galaxy A3 ⑥ ,https://doc.samsungmobile.com/SM-A310M/006882190601/eng.html
SM-A310M,CTP,006896190602,SM-A310M/CTP, Paraguay (Claro),Paraguay,Claro,Americas,Latin America and the Caribbean,A310MUBS3CSE2,Nougat(Android 7.0),2019-06-01,2019-05-01,Galaxy A3 ⑥ ,https://doc.samsungmobile.com/SM-A310M/006896190602/eng.html
SM-A310M,CTU,006924190604,SM-A310M/CTU, Uruguay (Claro),Uruguay,Claro,Americas,Latin America and the Caribbean,A310MUBS3CSE2,Nougat(Android 7.0),2019-06-04,2019-05-01,Galaxy A3 ⑥ ,https://doc.samsungmobile.com/SM-A310M/006924190604/eng.html
SM-A310M,EON,006895190602,SM-A310M/EON, Trinidad and Tobago,Trinidad and Tobago,No-carrier,Americas,Latin America and the Caribbean,A310MUBS3CSE1,Nougat(Android 7.0),2019-06-01,2019-05-01,Galaxy A3 ⑥ ,https://doc.samsungmobile.com/SM-A310M/006895190602/eng.html
SM-A310M,IUS,006689190529,SM-A310M/IUS, Mexico,Mexico,No-carrier,Americas,Latin America and the Caribbean,A310MUBS3CSE1,Nougat(Android 7.0),2019-05-29,2019-05-01,Galaxy A3 ⑥ ,https://doc.samsungmobile.com/SM-A310M/006689190529/eng.html
SM-A310M,JDI,007130190611,SM-A310M/JDI, Jamaica,Jamaica,No-carrier,Americas,Latin America and the Caribbean,A310MUBS3CSE3,Nougat(Android 7.0),2019-06-10,2019-05-01,Galaxy A3 ⑥ ,https://doc.samsungmobile.com/SM-A310M/007130190611/eng.html
SM-A310M,PSN,007287190616,SM-A310M/PSN, Argentina (Personal),Argentina,Personal,Americas,Latin America and the Caribbean,A310MUBS3CSE5,Nougat(Android 7.0),2019-06-15,2019-05-01,Galaxy A3 ⑥ ,https://doc.samsungmobile.com/SM-A310M/007287190616/eng.html
SM-A310M,PSP,006891190602,SM-A310M/PSP, Paraguay (Personal),Paraguay,Personal,Americas,Latin America and the Caribbean,A310MUBS3CSE1,Nougat(Android 7.0),2019-06-01,2019-05-01,Galaxy A3 ⑥ ,https://doc.samsungmobile.com/SM-A310M/006891190602/eng.html
SM-A310M,TCE,010793200208,SM-A310M/TCE, Mexico (Telcel),Mexico,Telcel,Americas,Latin America and the Caribbean,A310MUBS3CTH8,Nougat(Android 7.0),2020-10-09,2019-08-01,Galaxy A3 ⑥ ,https://doc.samsungmobile.com/SM-A310M/010793200208/eng.html
SM-A310M,TCE,010793200208,SM-A310M/TCE, Mexico (Telcel),Mexico,Telcel,Americas,Latin America and the Caribbean,A310MUBU3CTA1,Nougat(Android 7.0),2020-02-08,2019-08-01,Galaxy A3 ⑥ ,https://doc.samsungmobile.com/SM-A310M/010793200208/eng.html
SM-A310M,TMM,007214190614,SM-A310M/TMM, Mexico (Movistar),Mexico,Movistar,Americas,Latin America and the Caribbean,A310MUBS3CSE1,Nougat(Android 7.0),2019-06-13,2019-05-01,Galaxy A3 ⑥ ,https://doc.samsungmobile.com/SM-A310M/007214190614/eng.html
SM-A310M,TPA,006884190601,SM-A310M/TPA, Panama,Panama,No-carrier,Americas,Latin America and the Caribbean,A310MUBS3CSE1,Nougat(Android 7.0),2019-05-31,2019-05-01,Galaxy A3 ⑥ ,https://doc.samsungmobile.com/SM-A310M/006884190601/eng.html
SM-A310M,TTT,006888190601,SM-A310M/TTT, Trinidad and Tobago,Trinidad and Tobago,No-carrier,Americas,Latin America and the Caribbean,A310MUBS3CSE1,Nougat(Android 7.0),2019-05-31,2019-05-01,Galaxy A3 ⑥ ,https://doc.samsungmobile.com/SM-A310M/006888190601/eng.html
SM-A310M,UFN,007675190706,SM-A310M/UFN, Argentina (Movistar),Argentina,Movistar,Americas,Latin America and the Caribbean,A310MUBS3CSE4,Nougat(Android 7.0),2019-07-06,2019-05-01,Galaxy A3 ⑥ ,https://doc.samsungmobile.com/SM-A310M/007675190706/eng.html
SM-A310M,UPO,006889190601,SM-A310M/UPO, Uruguay,Uruguay,No-carrier,Americas,Latin America and the Caribbean,A310MUBS3CSE1,Nougat(Android 7.0),2019-05-31,2019-05-01,Galaxy A3 ⑥ ,https://doc.samsungmobile.com/SM-A310M/006889190601/eng.html
SM-A310M,UYO,006885190601,SM-A310M/UYO, Uruguay,Uruguay,No-carrier,Americas,Latin America and the Caribbean,A310MUBS3CSE1,Nougat(Android 7.0),2019-05-31,2019-05-01,Galaxy A3 ⑥ ,https://doc.samsungmobile.com/SM-A310M/006885190601/eng.html
SM-A310M,ZTO,006675190529,SM-A310M/ZTO, Brazil,Brazil,No-carrier,Americas,Latin America and the Caribbean,A310MUBS3CSE1,Nougat(Android 7.0),2019-05-29,2019-05-01,Galaxy A3 ⑥ ,https://doc.samsungmobile.com/SM-A310M/006675190529/eng.html
