model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-A320FL,3IE,008936190830,SM-A320FL/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A320FLXXS9CTL4,Oreo(Android 8.0.0),2020-12-24,2020-11-01,Galaxy A3 ,https://doc.samsungmobile.com/SM-A320FL/008936190830/eng.html
SM-A320FL,3IE,008936190830,SM-A320FL/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A320FLXXS7CTFF,Oreo(Android 8.0.0),2020-07-07,2020-06-01,Galaxy A3 ,https://doc.samsungmobile.com/SM-A320FL/008936190830/eng.html
SM-A320FL,3IE,008936190830,SM-A320FL/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A320FLXXS5CTA3,Oreo(Android 8.0.0),2020-02-12,2020-01-01,Galaxy A3 ,https://doc.samsungmobile.com/SM-A320FL/008936190830/eng.html
SM-A320FL,3IE,008936190830,SM-A320FL/3IE, Ireland (Three),Ireland,Three,Europe,Northern Europe,A320FLXXS4CSG2,Oreo(Android 8.0.0),2019-08-30,2019-07-01,Galaxy A3 ,https://doc.samsungmobile.com/SM-A320FL/008936190830/eng.html
SM-A320FL,AMO,008949190830,SM-A320FL/AMO, Spain (Orange),Spain,Orange,Europe,Southern Europe,A320FLXXS9CTL4,Oreo(Android 8.0.0),2020-12-23,2020-11-01,Galaxy A3 ,https://doc.samsungmobile.com/SM-A320FL/008949190830/eng.html
SM-A320FL,AMO,008949190830,SM-A320FL/AMO, Spain (Orange),Spain,Orange,Europe,Southern Europe,A320FLXXS7CTFF,Oreo(Android 8.0.0),2020-07-15,2020-06-01,Galaxy A3 ,https://doc.samsungmobile.com/SM-A320FL/008949190830/eng.html
SM-A320FL,AMO,008949190830,SM-A320FL/AMO, Spain (Orange),Spain,Orange,Europe,Southern Europe,A320FLXXS5CTA3,Oreo(Android 8.0.0),2020-02-19,2020-01-01,Galaxy A3 ,https://doc.samsungmobile.com/SM-A320FL/008949190830/eng.html
SM-A320FL,AMO,008949190830,SM-A320FL/AMO, Spain (Orange),Spain,Orange,Europe,Southern Europe,A320FLXXS4CSG2,Oreo(Android 8.0.0),2019-08-30,2019-07-01,Galaxy A3 ,https://doc.samsungmobile.com/SM-A320FL/008949190830/eng.html
SM-A320FL,ATL,009080190906,SM-A320FL/ATL, Spain (Vodafone),Spain,Vodafone,Europe,Southern Europe,A320FLXXS9CTK2,Oreo(Android 8.0.0),2020-12-10,2020-11-01,Galaxy A3 ,https://doc.samsungmobile.com/SM-A320FL/009080190906/eng.html
SM-A320FL,ATL,009080190906,SM-A320FL/ATL, Spain (Vodafone),Spain,Vodafone,Europe,Southern Europe,A320FLXXS7CTFK,Oreo(Android 8.0.0),2020-07-09,2020-06-01,Galaxy A3 ,https://doc.samsungmobile.com/SM-A320FL/009080190906/eng.html
SM-A320FL,ATL,009080190906,SM-A320FL/ATL, Spain (Vodafone),Spain,Vodafone,Europe,Southern Europe,A320FLXXS5CSL5,Oreo(Android 8.0.0),2019-12-25,2019-12-01,Galaxy A3 ,https://doc.samsungmobile.com/SM-A320FL/009080190906/eng.html
SM-A320FL,ATL,009080190906,SM-A320FL/ATL, Spain (Vodafone),Spain,Vodafone,Europe,Southern Europe,A320FLXXS4CSG5,Oreo(Android 8.0.0),2019-09-05,2019-06-01,Galaxy A3 ,https://doc.samsungmobile.com/SM-A320FL/009080190906/eng.html
SM-A320FL,ATO,008808190826,SM-A320FL/ATO, Austria (Open),Austria,Open,Europe,Western Europe,A320FLXXS4CSG5,Oreo(Android 8.0.0),2019-08-26,2019-06-01,Galaxy A3 ,https://doc.samsungmobile.com/SM-A320FL/008808190826/eng.html
SM-A320FL,AUT,008796190826,SM-A320FL/AUT, Switzerland,Switzerland,No-carrier,Europe,Western Europe,A320FLXXS4CSG5,Oreo(Android 8.0.0),2019-08-26,2019-06-01,Galaxy A3 ,https://doc.samsungmobile.com/SM-A320FL/008796190826/eng.html
SM-A320FL,BGL,009120190909,SM-A320FL/BGL, Bulgaria,Bulgaria,No-carrier,Europe,Eastern Europe,A320FLXXS9CTK2,Oreo(Android 8.0.0),2020-12-23,2020-11-01,Galaxy A3 ,https://doc.samsungmobile.com/SM-A320FL/009120190909/eng.html
SM-A320FL,BGL,009120190909,SM-A320FL/BGL, Bulgaria,Bulgaria,No-carrier,Europe,Eastern Europe,A320FLXXS7CTFK,Oreo(Android 8.0.0),2020-07-15,2020-06-01,Galaxy A3 ,https://doc.samsungmobile.com/SM-A320FL/009120190909/eng.html
SM-A320FL,BGL,009120190909,SM-A320FL/BGL, Bulgaria,Bulgaria,No-carrier,Europe,Eastern Europe,A320FLXXS5CSL5,Oreo(Android 8.0.0),2020-03-08,2019-12-01,Galaxy A3 ,https://doc.samsungmobile.com/SM-A320FL/009120190909/eng.html
SM-A320FL,BGL,009120190909,SM-A320FL/BGL, Bulgaria,Bulgaria,No-carrier,Europe,Eastern Europe,A320FLXXS4CSG5,Oreo(Android 8.0.0),2019-09-09,2019-06-01,Galaxy A3 ,https://doc.samsungmobile.com/SM-A320FL/009120190909/eng.html
SM-A320FL,BHT,008815190826,SM-A320FL/BHT, Bosnia and Herzegovina (BH TELECOM),Bosnia and Herzegovina,BH TELECOM,Europe,Southern Europe,A320FLXXS4CSG5,Oreo(Android 8.0.0),2019-08-26,2019-06-01,Galaxy A3 ,https://doc.samsungmobile.com/SM-A320FL/008815190826/eng.html
SM-A320FL,BOG,009199190915,SM-A320FL/BOG, France (Bouygues),France,Bouygues,Europe,Western Europe,A320FLXXS9CTK2,Oreo(Android 8.0.0),2021-01-04,2020-11-01,Galaxy A3 ,https://doc.samsungmobile.com/SM-A320FL/009199190915/eng.html
