model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-A320Y,ALE,005314190418,SM-A320Y/ALE, Ecuador,Ecuador,No-carrier,Americas,Latin America and the Caribbean,A320YDXU4CSB2,Oreo(Android 8.0.0),2019-04-18,2019-02-01,Galaxy A3 ,https://doc.samsungmobile.com/SM-A320Y/005314190418/eng.html
SM-A320Y,BVO,003724190317,SM-A320Y/BVO, Bolivia,Bolivia,No-carrier,Americas,Latin America and the Caribbean,A320YDXU4CSB2,Oreo(Android 8.0.0),2019-03-16,2019-02-01,Galaxy A3 ,https://doc.samsungmobile.com/SM-A320Y/003724190317/eng.html
SM-A320Y,CHO,004122190326,SM-A320Y/CHO, Chile,Chile,No-carrier,Americas,Latin America and the Caribbean,A320YDXU4CSB2,Oreo(Android 8.0.0),2019-03-26,2019-02-01,Galaxy A3 ,https://doc.samsungmobile.com/SM-A320Y/004122190326/eng.html
SM-A320Y,COO,003806190320,SM-A320Y/COO, Colombia,Colombia,No-carrier,Americas,Latin America and the Caribbean,A320YDXU4CSB3,Oreo(Android 8.0.0),2019-03-19,2019-02-01,Galaxy A3 ,https://doc.samsungmobile.com/SM-A320Y/003806190320/eng.html
SM-A320Y,EBE,007285190616,SM-A320Y/EBE, Ecuador,Ecuador,No-carrier,Americas,Latin America and the Caribbean,A320YDXU4CSB2,Oreo(Android 8.0.0),2019-06-15,2019-02-01,Galaxy A3 ,https://doc.samsungmobile.com/SM-A320Y/007285190616/eng.html
SM-A320Y,EON,007777190716,SM-A320Y/EON, Trinidad and Tobago,Trinidad and Tobago,No-carrier,Americas,Latin America and the Caribbean,A320YDXS5CSG1,Oreo(Android 8.0.0),2019-07-16,2019-07-01,Galaxy A3 ,https://doc.samsungmobile.com/SM-A320Y/007777190716/eng.html
SM-A320Y,IUS,006192190516,SM-A320Y/IUS, Mexico,Mexico,No-carrier,Americas,Latin America and the Caribbean,A320YDXU4CSB2,Oreo(Android 8.0.0),2019-05-15,2019-02-01,Galaxy A3 ,https://doc.samsungmobile.com/SM-A320Y/006192190516/eng.html
SM-A320Y,MXO,007752190713,SM-A320Y/MXO, Mexico,Mexico,No-carrier,Americas,Latin America and the Caribbean,A320YDXS5CSG1,Oreo(Android 8.0.0),2019-07-13,2019-07-01,Galaxy A3 ,https://doc.samsungmobile.com/SM-A320Y/007752190713/eng.html
SM-A320Y,TCE,003716190317,SM-A320Y/TCE, Mexico (Telcel),Mexico,Telcel,Americas,Latin America and the Caribbean,A320YDXU4CSB2,Oreo(Android 8.0.0),2019-03-16,2019-02-01,Galaxy A3 ,https://doc.samsungmobile.com/SM-A320Y/003716190317/eng.html
SM-A320Y,TMM,006376190522,SM-A320Y/TMM, Mexico (Movistar),Mexico,Movistar,Americas,Latin America and the Caribbean,A320YDXU4CSB2,Oreo(Android 8.0.0),2019-05-22,2019-02-01,Galaxy A3 ,https://doc.samsungmobile.com/SM-A320Y/006376190522/eng.html
