model,csc,csc_code,device_id,carrier_country,country,carrier,region,subregion,build_number,android_version,release_date,security_patch_level,device,model_url
SM-A336E,ACR,023179220526,SM-A336E/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,A336EDXS9EXE2,U(Android 14),2024-05-31,2024-05-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023179220526/eng.html
SM-A336E,ACR,023179220526,SM-A336E/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,A336EDXU8EXDD,U(Android 14),2024-05-24,2024-04-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023179220526/eng.html
SM-A336E,ACR,023179220526,SM-A336E/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,A336EDXS8DXC1,U(Android 14),2024-04-12,2024-03-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023179220526/eng.html
SM-A336E,ACR,023179220526,SM-A336E/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,A336EDXS8DXA3,U(Android 14),2024-02-26,2024-01-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023179220526/eng.html
SM-A336E,ACR,023179220526,SM-A336E/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,A336EDXU7DWL1,U(Android 14),2024-01-12,2023-11-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023179220526/eng.html
SM-A336E,ACR,023179220526,SM-A336E/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,A336EDXS7CWJ1,T(Android 13),2023-11-06,2023-10-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023179220526/eng.html
SM-A336E,ACR,023179220526,SM-A336E/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,A336EDXU7CWH2,T(Android 13),2023-09-22,2023-08-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023179220526/eng.html
SM-A336E,ACR,023179220526,SM-A336E/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,A336EDXS7CWG1,T(Android 13),2023-07-31,2023-07-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023179220526/eng.html
SM-A336E,ACR,023179220526,SM-A336E/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,A336EDXU6CWF1,T(Android 13),2023-07-06,2023-06-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023179220526/eng.html
SM-A336E,ACR,023179220526,SM-A336E/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,A336EDXU5CWD1,T(Android 13),2023-05-21,2023-04-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023179220526/eng.html
SM-A336E,ACR,023179220526,SM-A336E/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,A336EDXU5CWB4,T(Android 13),2023-03-23,2023-02-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023179220526/eng.html
SM-A336E,ACR,023179220526,SM-A336E/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,A336EDXS4BWA1,T(Android 13),2023-02-07,2023-01-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023179220526/eng.html
SM-A336E,ACR,023179220526,SM-A336E/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,A336EDXU4BVKB,T(Android 13),2023-01-20,2022-11-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023179220526/eng.html
SM-A336E,ACR,023179220526,SM-A336E/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,A336EDXU4BVK2,T(Android 13),2022-11-28,2022-10-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023179220526/eng.html
SM-A336E,ACR,023179220526,SM-A336E/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,A336EDXU4AVI4,S(Android 12),2022-11-05,2022-09-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023179220526/eng.html
SM-A336E,ACR,023179220526,SM-A336E/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,A336EDXU4AVI4,S(Android 12),2022-09-30,2022-09-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023179220526/eng.html
SM-A336E,ACR,023179220526,SM-A336E/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,A336EDXU3AVH1,S(Android 12),2022-08-24,2022-08-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023179220526/eng.html
SM-A336E,ACR,023179220526,SM-A336E/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,A336EDXU2AVG2,S(Android 12),2022-07-26,2022-07-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023179220526/eng.html
SM-A336E,ACR,023179220526,SM-A336E/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,A336EDXU2AVF2,S(Android 12),2022-07-01,2022-06-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023179220526/eng.html
SM-A336E,ACR,023179220526,SM-A336E/ACR, Saudi Arabia,Saudi Arabia,No-carrier,Asia,Western Asia,A336EDXU2AVD7,S(Android 12),2022-05-25,2022-05-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023179220526/eng.html
SM-A336E,AFG,023183220527,SM-A336E/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,A336EDXS9EXE2,U(Android 14),2024-05-31,2024-05-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023183220527/eng.html
SM-A336E,AFG,023183220527,SM-A336E/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,A336EDXU8EXDD,U(Android 14),2024-05-24,2024-04-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023183220527/eng.html
SM-A336E,AFG,023183220527,SM-A336E/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,A336EDXS8DXC1,U(Android 14),2024-04-12,2024-03-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023183220527/eng.html
SM-A336E,AFG,023183220527,SM-A336E/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,A336EDXS8DXA3,U(Android 14),2024-02-26,2024-01-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023183220527/eng.html
SM-A336E,AFG,023183220527,SM-A336E/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,A336EDXU7DWL1,U(Android 14),2024-01-09,2023-11-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023183220527/eng.html
SM-A336E,AFG,023183220527,SM-A336E/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,A336EDXS7CWJ1,T(Android 13),2023-11-02,2023-10-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023183220527/eng.html
SM-A336E,AFG,023183220527,SM-A336E/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,A336EDXU7CWH2,T(Android 13),2023-09-22,2023-08-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023183220527/eng.html
SM-A336E,AFG,023183220527,SM-A336E/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,A336EDXS7CWG1,T(Android 13),2023-07-31,2023-07-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023183220527/eng.html
SM-A336E,AFG,023183220527,SM-A336E/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,A336EDXU5CWD1,T(Android 13),2023-05-12,2023-04-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023183220527/eng.html
SM-A336E,AFG,023183220527,SM-A336E/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,A336EDXU5CWB4,T(Android 13),2023-03-23,2023-02-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023183220527/eng.html
SM-A336E,AFG,023183220527,SM-A336E/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,A336EDXS4BWA1,T(Android 13),2023-02-07,2023-01-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023183220527/eng.html
SM-A336E,AFG,023183220527,SM-A336E/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,A336EDXU4BVKB,T(Android 13),2023-01-11,2022-11-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023183220527/eng.html
SM-A336E,AFG,023183220527,SM-A336E/AFG, Afghanistan,Afghanistan,No-carrier,Asia,Southern Asia,A336EDXU4BVK2,T(Android 13),2022-11-25,2022-10-01,Galaxy-A33-5g,https://doc.samsungmobile.com/SM-A336E/023183220527/eng.html
